%%  AutoUniv Version 1 User Guide 

%%  1 About AutoUniv 
%%  AutoUniv (AU) is a tool for creating classification models and generating 
%%  classified examples. 
%%  AU was designed by 
%%  Ray J. Hickey 
%%  E: ray.j.hickey@gmail.com
%%  W: http://sites.google.com/site/autouniv
%%  AU was programmed in Win-Prolog, version 4.9 from Logic Programming 
%%  Associates and makes use of the Prolog compiler and reasoning engine. 

%%  2 Installation 
%%  AU runs under Windows. Around 2GB of memory will be sufficient. Simply 
%%  extract AU.zip. AU does not alter registry settings. 
%%  All files are in the top-level folder. AU consists of four files: au.exe, au.dll, au.ini, 
%%  au.ovl. Two sub-folders exist containing examples of models and of data sets. 
%%  In addition to this User Guide there is also a Reference Manual. 
%%  Memory settings are in au.ini. These have been set to cater for the largest 
%%  models and should not need adjusting. 

%%  3 Running AU 
%%  Run au.exe. This will start the Launcher. From here you can run the two 
%%  applications namely the model builder, Create Model, and the data generator, 
%%  Generate Data. 
%%  The following sections provide a brief description of the use of the model builder 
%%  and data generator. These should be read in conjunction with the more detailed 
%%  account of AU in the Reference Manual. 

%%  4 The model builder tool 
%%  The Build Classification Model dialog is available from the Launcher. Settings 
%%  are made for attributes, classes and rules. The order in which settings are 
%%  entered is controlled. For example, the number of relevant attributes cannot be 
%%  specified until the number of attributes overall is specified. Validity checks 
%%  operate to prevent illegitimate entries. There is also auto completion. 
%%  The Class Distribution Settings dialog is available from the Customise 
%%  Distribution button or these settings can be randomised from the Randomise 
%%  Distributions button. A total weight of 1000 must be distributed across the 
%%  classes to reflect the prominence of each class. Applying Hold to any weight will 
%%  cause it to be retained when randomisation is applied. Minimum and maximum 
%%  values for the majority class probability are set for each class. These are 
%%  expressed as integers up to 1000 subject to a minimum necessary to secure a 
%%  majority class (which is displayed). Randomisation is also available, with hold. 
%%  Selecting Zero Noise followed by randomisation will set minimum and maximum - 2 - 
%%  to 1000 for unheld classes. Illegitimate values will be notified to the user when 
%%  the Apply button is pressed. 
%%  When all build settings have been made the Apply button in the Build 
%%  Classification Model dialog is enabled. When activated, this will enable the Start
%%  button for model building. Progress in the building of the model is echoed in the 
%%  Build Log window. After completion or failure, the model may be rebuilt with or 
%%  without attribute definitions and attribute factorisation being retained. 
%%  Once built, a model may be saved which creates its .aupl, .aurules and 
%%  .auprops files. The .aupl file provides the Prolog source code definition of the 
%%  model. 
%%  A new model may now be built or drift may be applied to the existing model by 
%%  selecting Keep attribute definitions and, possibly, other keep options depending 
%%  on the type of drift required. 
%%  When the user returns to the Launcher, the current build settings are retained. 

%%  5 The data generator tool 
%%  The Generate Data Set from Model dialog is available from the Launcher. Here 
%%  a model is selected and will be compiled into the Prolog system. A file format 
%%  for the examples is selected. The three available formats are CSV, ARFF (for 
%%  WEKA) and C4.5. Examples may be generated with or without header attribute 
%%  information. The latter is useful for appending examples to existing files. 

%%  6 Modification of the .aupl file 
%%  The user can edit the .aupl file for a model in order to manually alter the model 
%%  definition. Caution should be exercised when doing this. It is the user’s 
%%  responsibility to ensure the logical integrity and syntactic correctness of any 
%%  alterations. Logical flaws will cause the data generator to crash. In this situation, 
%%  the system should be exited and restarted. Syntax errors will produce a Prolog 
%%  compiler error message. 

@relation autoUniv-au6-250-drift-au6-cd1-500

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 {v1,v2}
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 {v1,v2}
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 {v1,v2,v3}
@attribute Class {class1,class2,class3,class4,class5,class6,class7,class8}

@data
3.76,50539,35.9,2.18,58138,0.17,75.3,70,4.53,9.2,51.7,v2,0.658,58.8,5962,748,0.75,6.09,0.46,816,25.7,0.19,3.57,85.1,8.2,0.113,0.361,0.66,9.1,0.31,v1,61.4,0.42,29.8,60.4,0.35,17478,7.49,0.847,v1,class2
3.31,55040,14.3,2.95,57862,0.316,73.1,86,4.67,9,51.5,v2,0.818,99.1,6170,801,0.243,6.34,0.37,785,28.9,0.35,2.29,87.9,6.95,0.782,0.578,0.61,8.21,0.42,v1,61.8,0.42,42.1,72.5,0.34,59281,7.19,0.757,v2,class7
3.5,56421,39.2,2,58959,0.15,77.6,56,4.49,6.5,55.8,v2,0.664,94.5,5408,799,0.661,6.08,0.45,271,34.5,0.27,1.14,79.6,7.01,0.905,0.42,0.82,9.76,0.62,v2,56.1,0.43,59.6,72.8,0.59,53774,8.16,0.74,v2,class7
3.78,48600,51.4,0.68,63301,0.227,77.6,94,4.51,3.8,50.2,v2,0.487,75.3,7082,766,0.646,5.21,0.38,602,26.3,0.25,2.46,90.7,7,0.4,0.331,0.87,9.09,0.41,v2,61,0.48,59.8,64.8,0.86,56207,6.37,0.823,v2,class1
2.11,56654,16.2,2.76,24369,0.158,78.6,72,4.63,6,50.2,v2,0.621,95.6,7330,749,0.349,4.73,0.15,666,25.1,0.2,0.52,84.2,7.06,0.101,0.625,0.97,9.09,0.46,v2,58.2,0.43,66.8,72.7,0.26,20358,6.2,0.828,v2,class3
2.51,52479,37.5,3.3,58763,0.149,77.5,91,4.55,7.6,55.9,v2,0.863,77.4,4576,808,0.589,6.21,0.72,769,29.6,0.3,3.25,92.1,7.61,0.343,0.624,0.55,9.77,0.59,v2,58.2,0.42,65,70.6,0.78,24493,7.29,0.842,v2,class3
2.32,49759,38.1,2.17,80413,0.169,73,70,4.62,6.4,50.2,v1,0.678,82.1,6510,761,0.644,5.32,0.66,603,25.2,0.15,1.37,83.9,6.99,0.531,0.599,0.87,9.15,0.26,v1,59.5,0.59,66.5,70.3,0.66,16040,7.39,0.817,v1,class8
2.86,54566,28.2,2.79,47625,0.315,78.2,94,4.24,7.9,50.2,v1,0.684,79.6,7119,804,0.287,4.48,0.16,600,33.1,0.47,1.52,89.8,6.98,0.687,0.373,0.97,9.31,0.26,v1,60.2,0.43,73.3,72.1,0.44,57427,6.37,0.737,v2,class3
3.36,54782,36.2,1.83,83240,0.498,77.7,93,4.35,8.9,51.5,v2,0.683,68.7,5871,761,0.647,5.77,0.44,245,32.1,0.24,2.48,85.1,6.76,0.836,0.549,0.93,9.19,0.59,v2,59.1,0.45,75,60.4,0.32,17778,6.87,0.767,v1,class2
2.4,47488,42.3,1.78,25901,0.316,77.4,92,4.34,4.5,50.9,v1,0.681,76.4,4611,788,0.635,4.26,0.2,479,26.2,0.2,3.52,80.6,6.8,0.124,0.332,0.98,9.1,0.28,v2,60.9,0.38,69.6,71.6,0.68,39431,7.56,0.831,v3,class3
1.92,53463,32.6,2.5,59757,0.162,78.3,71,4.26,9.1,55.9,v2,0.66,73.5,5250,807,0.349,5.2,0.57,602,28.3,0.38,2.85,93.6,7,0.31,0.406,0.96,9.33,0.22,v1,53.1,0.55,57.1,55.4,0.21,23129,7.85,0.698,v1,class4
2.64,53875,48,2.31,86815,0.315,76.2,51,4.68,3.6,50.2,v1,0.863,80.6,4338,806,0.243,6.26,0.55,563,26.4,0.16,0.9,86.2,6.87,0.245,0.415,0.89,9.1,0.35,v1,56.8,0.44,69.1,67.6,0.5,22029,7.53,0.796,v1,class3
2.24,54466,11.7,1.84,60076,0.171,73.2,67,4.48,5.9,52.2,v1,0.666,87,6222,777,0.239,5.68,0.15,666,27.6,0.45,1.29,92.4,6.9,0.293,0.619,0.95,9.04,0.62,v1,55,0.47,18.2,65.6,0.84,64286,6.24,0.841,v3,class3
3.8,52938,39.7,1.95,58146,0.179,73.1,93,4.67,3.6,50.2,v2,0.691,62.1,4239,761,0.468,6.23,0.22,815,25.5,0.46,3.79,96.9,6.76,0.782,0.492,0.96,9.04,0.47,v1,52.3,0.43,19.6,58.1,0.78,71830,7.38,0.807,v3,class2
3.31,55040,45.3,2.3,59705,0.169,71.7,67,4.69,7.8,50.7,v1,0.68,97.6,6836,770,0.408,5.33,0.41,380,34.1,0.21,1.61,77,7.02,0.175,0.492,0.86,9.86,0.25,v2,54.8,0.45,85.3,64.9,0.35,80404,8.06,0.813,v1,class4
3.88,55821,49.3,2.1,67238,0.145,77.6,75,4.6,3.8,54.9,v1,0.647,74.6,4827,805,0.495,6.14,0.13,574,26.2,0.19,1.64,88.8,8.17,0.125,0.345,0.85,9.05,0.41,v2,59.8,0.51,35.4,62.2,0.52,33110,6.6,0.806,v3,class6
3.36,51117,31.4,2.08,23563,0.172,77.4,93,4.31,4.6,50.2,v1,0.632,98.8,6919,742,0.643,6.08,0.19,366,30.9,0.45,3.62,82,8.23,0.841,0.57,0.6,9.2,0.61,v1,57.4,0.39,59.7,66.8,0.88,54846,6.63,0.812,v2,class6
3.29,55101,33.3,0.89,80867,0.33,79.4,82,4.68,5.7,54.8,v1,0.681,76.7,4610,803,0.641,4.87,0.39,816,28.2,0.22,2.36,87.7,7.3,0.84,0.489,0.88,9.19,0.3,v2,47.6,0.45,82.7,61.1,0.76,16437,6.51,0.701,v3,class2
2.4,50116,16.2,2.1,88564,0.168,78.4,78,4.37,8.3,50.2,v2,0.622,86.1,4656,744,0.48,4,0.72,819,24,0.17,3.92,74.6,8.43,0.58,0.326,0.75,9.13,0.25,v2,58.9,0.44,84.4,56.8,0.84,14163,7.46,0.757,v2,class8
3.48,46352,45.2,2.99,44226,0.171,78.6,79,4.7,8.8,51.4,v1,0.646,85,7282,776,0.485,4.22,0.28,606,25.3,0.25,0.58,74.6,6.91,0.629,0.367,0.9,9.4,0.44,v1,54.4,0.39,59.5,71.4,0.88,20959,6.5,0.838,v1,class5
3.72,50625,26.5,2.05,85541,0.496,79.5,70,4.5,4.9,55.3,v2,0.689,96.3,4675,791,0.785,4.22,0.66,599,27.7,0.26,1.19,73.6,7.09,0.835,0.452,0.92,9.05,0.28,v2,62.2,0.39,62.1,70.3,0.33,42443,6.6,0.827,v2,class5
3,56246,36.1,2.09,93675,0.15,77.6,76,4.28,7.4,50.2,v1,0.813,77.8,4543,758,0.243,6.04,0.43,680,32,0.3,1.7,75.1,7.8,0.129,0.503,0.65,9.38,0.31,v2,52.6,0.52,31,72.7,0.31,46111,6.35,0.683,v1,class3
3.07,55874,40.6,1.98,54153,0.265,73.2,90,4.3,7.5,50.2,v1,0.664,87.9,7468,761,0.389,6.13,0.49,607,25.7,0.38,0.42,89.6,8.37,0.157,0.504,0.85,9.06,0.28,v2,52,0.38,18.1,59.2,0.64,40799,7.87,0.747,v2,class3
3.23,55134,31.7,2.04,37775,0.315,76.9,62,4.69,7.1,51.7,v1,0.691,60.9,5916,805,0.716,5.97,0.66,678,34.5,0.28,0.37,89.2,6.81,0.539,0.595,0.86,9.82,0.26,v2,59.6,0.42,73.4,71.2,0.64,52328,7.23,0.69,v3,class4
3.44,49753,27.5,1.92,80299,0.315,71.1,80,4.54,8.5,51.4,v1,0.616,89.2,5025,788,0.646,6.12,0.57,793,26.7,0.17,0.85,73.7,6.91,0.778,0.427,0.87,9.07,0.26,v1,55.3,0.43,70.1,56.1,0.49,22848,7.04,0.765,v1,class6
3.4,56386,31.9,2.36,42446,0.496,84.9,88,4.6,4.6,54,v1,0.676,53.2,6508,777,0.699,3.83,0.15,812,28.7,0.2,1.58,94.3,7.01,0.401,0.335,0.64,9.29,0.62,v1,59.8,0.43,81.5,72.9,0.67,47362,7.96,0.817,v3,class1
3.37,53374,14,1.13,77595,0.374,77.6,92,4.67,7.4,50.7,v1,0.692,94.5,4970,805,0.557,4.09,0.69,329,24.6,0.29,3.51,87.1,7.18,0.597,0.467,0.96,9.61,0.56,v1,60.7,0.45,27.9,71.2,0.31,56626,6.59,0.759,v3,class6
3.63,51416,29.4,2.03,77954,0.211,78.1,93,4.51,9.2,51,v1,0.657,99.2,5822,797,0.282,3.1,0.73,817,32.8,0.25,2.4,75.9,7.24,0.889,0.616,0.71,9.18,0.3,v1,61.3,0.43,20,72,0.18,14626,6.58,0.706,v1,class6
3.67,55616,40.4,1.83,57864,0.315,78.7,82,4.39,9.2,50.3,v2,0.863,81.4,6279,810,0.387,3.6,0.4,432,32.4,0.16,1.16,93.3,7.05,0.296,0.359,0.94,9.06,0.52,v2,60.7,0.45,60,59.8,0.27,63390,7.34,0.832,v3,class8
1.47,53048,40,1.92,91088,0.214,76.2,74,4.59,4.6,50.2,v1,0.672,96.1,6193,772,0.233,6.02,0.17,820,26,0.25,3.76,80.1,7.6,0.215,0.507,0.91,9.09,0.45,v2,56.5,0.44,39.6,57.2,0.6,15195,7.94,0.729,v1,class2
1.34,53842,28.7,1.87,49399,0.194,79.7,81,4.49,8.3,53.2,v1,0.684,84.1,4913,762,0.535,5.78,0.68,809,34.2,0.19,1.33,66.7,6.93,0.169,0.621,0.55,9.54,0.26,v2,49.3,0.37,43,70.2,0.26,23270,8.1,0.8,v2,class7
3.17,55753,18.2,2.94,50953,0.432,77.5,92,4.34,8.8,51.2,v1,0.603,95.6,4721,792,0.623,6.17,0.45,813,25.2,0.2,3.23,93.6,6.91,0.752,0.613,0.64,9.14,0.55,v1,61.6,0.4,18.3,72.2,0.3,52781,6.2,0.824,v2,class7
3.75,56015,44.8,1.86,58810,0.496,84.6,93,4.41,6.8,55.7,v1,0.665,99.2,6467,756,0.586,4,0.17,273,27.4,0.34,3.94,82.8,6.83,0.393,0.437,0.64,9.58,0.22,v1,48.1,0.42,62.2,56.7,0.29,56702,6.84,0.721,v3,class1
3.3,53411,39.8,1.86,23574,0.171,79,94,4.62,8.2,50.2,v2,0.678,79,4475,795,0.318,6.1,0.3,768,33.6,0.47,1.2,98.1,7.97,0.381,0.501,0.84,9.89,0.62,v1,60.2,0.39,66.1,66,0.64,76240,6.65,0.849,v3,class6
1.89,46511,28.5,1.83,41204,0.315,78.4,94,4.28,3.4,55.2,v1,0.651,88,6361,803,0.469,5.91,0.37,606,30.3,0.41,2.61,72.6,6.75,0.109,0.618,0.95,9.09,0.33,v2,58.7,0.38,29,71.2,0.64,59417,7.63,0.755,v1,class6
3.65,56448,45.1,2.11,20928,0.498,76.2,67,4.69,3.9,53.7,v1,0.864,97.4,5616,809,0.593,6.3,0.53,642,26.6,0.16,0.7,77.9,7.05,0.377,0.333,0.81,9.75,0.22,v2,60.4,0.51,50.8,66.6,0.73,24278,6.29,0.721,v1,class1
2.91,55039,37.6,2.31,53158,0.21,73.8,66,4.4,3.4,51.4,v2,0.609,96.6,6614,806,0.623,5.47,0.69,775,25.1,0.28,2.37,97.1,7.02,0.208,0.599,0.85,9.1,0.56,v1,54.6,0.38,37.2,58.5,0.82,39414,6.63,0.723,v3,class8
3.01,46201,44,1.52,21844,0.167,78.6,72,4.59,8.5,50.2,v1,0.613,83.5,5864,743,0.615,6.02,0.49,815,30.9,0.2,3.17,81.7,7.33,0.359,0.616,0.94,9.03,0.34,v1,52.1,0.43,22.4,71.4,0.4,55333,7.47,0.791,v2,class4
3.72,56016,51.2,3.19,57785,0.164,75.3,65,4.61,6.5,51,v1,0.645,90.6,7296,763,0.392,3.39,0.7,816,34.5,0.28,1.62,98.1,6.73,0.127,0.356,0.77,9.03,0.44,v2,49.9,0.42,64.1,64.5,0.44,14859,7.02,0.724,v1,class8
2.15,55592,51,1.84,83168,0.282,79.4,90,4.32,8.8,52.4,v2,0.634,94.6,4262,741,0.376,6.34,0.21,597,24.3,0.44,0.81,97.7,6.69,0.284,0.592,0.46,9.12,0.41,v2,59.8,0.42,77.9,58.2,0.69,15138,7.37,0.751,v2,class3
2.53,52307,41.7,2.25,24421,0.497,71.7,93,4.3,5.5,51.2,v2,0.53,78.9,5964,804,0.643,3.05,0.66,811,30,0.24,1.29,80.5,7.94,0.197,0.539,0.91,9.05,0.26,v1,60.4,0.42,85.1,68,0.88,52633,8.49,0.772,v1,class3
3.01,47118,37.9,0.59,22494,0.315,78.4,93,4.55,7.6,52.4,v1,0.637,98.4,4418,767,0.363,3.66,0.56,228,31.6,0.45,1.03,79.4,6.94,0.617,0.607,0.86,9.05,0.49,v1,56.1,0.35,61.9,58.4,0.86,59026,6.99,0.73,v2,class6
2.84,53318,43.7,2.21,24153,0.164,80.9,76,4.48,7.2,50.6,v2,0.684,97.7,6908,803,0.645,6.14,0.53,815,34.7,0.34,1.59,82.4,8.19,0.311,0.617,0.95,9.07,0.32,v1,52.5,0.5,79.3,56.6,0.6,53888,7.1,0.742,v3,class4
3.43,55281,43.7,2.05,19328,0.361,78.6,82,4.7,9.3,52,v1,0.678,82.4,4658,763,0.597,5.31,0.69,813,24.1,0.19,2.87,83,7.04,0.676,0.571,0.6,9.17,0.28,v2,53.1,0.58,61.5,55.6,0.78,36125,7.16,0.79,v3,class2
2.03,54936,37.4,1.85,83291,0.169,77.4,93,4.64,4.2,50.8,v2,0.678,81.7,4450,795,0.348,6.24,0.54,602,25.3,0.46,1.14,89.6,6.83,0.273,0.613,0.47,9.46,0.21,v1,47.6,0.42,73.9,59.4,0.63,55795,7.15,0.74,v3,class1
1.32,53207,38.8,1.85,84710,0.145,79.4,81,4.37,6.7,52.8,v1,0.863,80.4,4610,809,0.353,3.73,0.18,757,24.2,0.23,0.39,82,7.15,0.253,0.475,0.65,9.07,0.23,v2,55.9,0.45,40.1,59.4,0.75,57528,8.11,0.756,v1,class3
3.21,55714,27.2,3.24,34246,0.495,72.6,88,4.54,7.9,55.5,v1,0.695,76.6,6057,809,0.251,6.3,0.69,603,23.9,0.46,0.79,79.5,8.52,0.273,0.615,0.57,9.12,0.62,v2,50.1,0.38,20.5,64.4,0.63,22977,7.6,0.693,v3,class8
1.74,56347,11.8,2.08,19525,0.164,75.9,65,4.23,7.2,50.2,v2,0.864,87.5,5121,763,0.844,6.06,0.72,812,24.3,0.42,1.25,93.4,7.21,0.187,0.366,0.9,9.21,0.6,v2,56.8,0.57,40.8,55.6,0.79,47898,7.12,0.693,v2,class6
1.9,55692,36.4,2.18,38639,0.373,76,88,4.61,5.9,55,v2,0.686,78,7462,741,0.826,5.46,0.62,800,34.1,0.26,1.14,95.4,6.94,0.281,0.58,0.91,9.12,0.23,v2,59.4,0.34,60.2,58.1,0.23,35898,6.79,0.743,v3,class3
2.83,54810,15.4,2.08,46231,0.17,71.6,61,4.62,7.8,50.7,v1,0.688,96.5,7491,743,0.233,6.01,0.56,653,33.4,0.43,1.29,88,6.91,0.53,0.555,0.91,9.8,0.31,v2,47.7,0.41,59.3,72.5,0.72,47038,7.54,0.723,v3,class6
3.79,54398,15.8,2.28,59115,0.193,71.1,85,4.66,6.1,52,v1,0.694,81.1,5668,778,0.607,5.9,0.54,623,34.6,0.46,3.28,89.1,8.04,0.203,0.546,0.84,9.41,0.28,v1,52.7,0.42,41.8,60.7,0.49,54738,8.62,0.709,v1,class7
