%%  AutoUniv Version 1 User Guide 

%%  1 About AutoUniv 
%%  AutoUniv (AU) is a tool for creating classification models and generating 
%%  classified examples. 
%%  AU was designed by 
%%  Ray J. Hickey 
%%  E: ray.j.hickey@gmail.com
%%  W: http://sites.google.com/site/autouniv
%%  AU was programmed in Win-Prolog, version 4.9 from Logic Programming 
%%  Associates and makes use of the Prolog compiler and reasoning engine. 

%%  2 Installation 
%%  AU runs under Windows. Around 2GB of memory will be sufficient. Simply 
%%  extract AU.zip. AU does not alter registry settings. 
%%  All files are in the top-level folder. AU consists of four files: au.exe, au.dll, au.ini, 
%%  au.ovl. Two sub-folders exist containing examples of models and of data sets. 
%%  In addition to this User Guide there is also a Reference Manual. 
%%  Memory settings are in au.ini. These have been set to cater for the largest 
%%  models and should not need adjusting. 

%%  3 Running AU 
%%  Run au.exe. This will start the Launcher. From here you can run the two 
%%  applications namely the model builder, Create Model, and the data generator, 
%%  Generate Data. 
%%  The following sections provide a brief description of the use of the model builder 
%%  and data generator. These should be read in conjunction with the more detailed 
%%  account of AU in the Reference Manual. 

%%  4 The model builder tool 
%%  The Build Classification Model dialog is available from the Launcher. Settings 
%%  are made for attributes, classes and rules. The order in which settings are 
%%  entered is controlled. For example, the number of relevant attributes cannot be 
%%  specified until the number of attributes overall is specified. Validity checks 
%%  operate to prevent illegitimate entries. There is also auto completion. 
%%  The Class Distribution Settings dialog is available from the Customise 
%%  Distribution button or these settings can be randomised from the Randomise 
%%  Distributions button. A total weight of 1000 must be distributed across the 
%%  classes to reflect the prominence of each class. Applying Hold to any weight will 
%%  cause it to be retained when randomisation is applied. Minimum and maximum 
%%  values for the majority class probability are set for each class. These are 
%%  expressed as integers up to 1000 subject to a minimum necessary to secure a 
%%  majority class (which is displayed). Randomisation is also available, with hold. 
%%  Selecting Zero Noise followed by randomisation will set minimum and maximum - 2 - 
%%  to 1000 for unheld classes. Illegitimate values will be notified to the user when 
%%  the Apply button is pressed. 
%%  When all build settings have been made the Apply button in the Build 
%%  Classification Model dialog is enabled. When activated, this will enable the Start
%%  button for model building. Progress in the building of the model is echoed in the 
%%  Build Log window. After completion or failure, the model may be rebuilt with or 
%%  without attribute definitions and attribute factorisation being retained. 
%%  Once built, a model may be saved which creates its .aupl, .aurules and 
%%  .auprops files. The .aupl file provides the Prolog source code definition of the 
%%  model. 
%%  A new model may now be built or drift may be applied to the existing model by 
%%  selecting Keep attribute definitions and, possibly, other keep options depending 
%%  on the type of drift required. 
%%  When the user returns to the Launcher, the current build settings are retained. 

%%  5 The data generator tool 
%%  The Generate Data Set from Model dialog is available from the Launcher. Here 
%%  a model is selected and will be compiled into the Prolog system. A file format 
%%  for the examples is selected. The three available formats are CSV, ARFF (for 
%%  WEKA) and C4.5. Examples may be generated with or without header attribute 
%%  information. The latter is useful for appending examples to existing files. 

%%  6 Modification of the .aupl file 
%%  The user can edit the .aupl file for a model in order to manually alter the model 
%%  definition. Caution should be exercised when doing this. It is the user’s 
%%  responsibility to ensure the logical integrity and syntactic correctness of any 
%%  alterations. Logical flaws will cause the data generator to crash. In this situation, 
%%  the system should be exited and restarted. Syntax errors will produce a Prolog 
%%  compiler error message. 

@relation autoUniv-au6-1000

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 {v1,v2}
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 {v1,v2}
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 {v1,v2,v3}
@attribute Class {class1,class2,class3,class4,class5,class6,class7,class8}

@data
1.72,55309,42,2.02,25236,0.495,75.8,94,4.56,8.5,52.5,v1,0.699,79.2,5522,795,0.871,5.95,0.66,446,26.4,0.23,1.84,73.8,8.56,0.639,0.376,0.7,9.04,0.44,v1,57.9,0.61,36.7,63,0.65,64602,7.4,0.686,v3,class8
1.66,47408,46.6,1.95,45303,0.421,71.8,52,4.67,9.3,52.6,v1,0.679,82.3,5299,742,0.613,5.6,0.17,733,34.1,0.45,1.01,98.5,6.78,0.1,0.328,0.95,9.47,0.33,v2,58.7,0.34,60,61.8,0.28,87468,7.63,0.712,v1,class8
2.45,53777,26.9,2.07,78551,0.167,83,67,4.29,3.4,52.8,v2,0.649,96.1,6254,745,0.405,5.94,0.39,600,29.8,0.43,1.47,82.7,7.07,0.179,0.625,0.88,9.04,0.27,v2,56.7,0.57,41.7,67.2,0.51,31150,6.89,0.771,v2,class3
1.77,46865,39.3,3.15,24404,0.498,79.7,68,4.54,6.7,50.2,v2,0.593,96.8,5481,772,0.485,4.45,0.5,598,27.3,0.39,2.57,82.3,7.02,0.542,0.337,0.69,9.6,0.26,v1,58.8,0.43,21.7,64.6,0.42,50605,6.62,0.737,v2,class2
3.41,50792,31.8,0.65,19720,0.498,73,87,4.28,7.6,50.5,v1,0.683,53.7,4332,803,0.248,5.95,0.68,608,30,0.27,1.77,79.8,6.94,0.162,0.575,0.81,9.11,0.6,v1,59.6,0.39,18.2,62.1,0.59,19029,7.08,0.759,v1,class3
1.57,54873,51,2,36339,0.172,77.7,94,4.64,5.1,51.7,v1,0.729,60.4,5762,754,0.565,6.05,0.18,665,23.9,0.18,4.09,92.2,6.95,0.946,0.51,0.77,9.35,0.39,v2,59.5,0.37,19.8,58.1,0.66,45915,8.66,0.703,v2,class3
3.01,54942,18.9,1.97,22605,0.496,77.8,87,4.6,6.6,50.2,v1,0.676,55.7,6841,809,0.391,4.1,0.64,440,28.9,0.16,0.63,87.6,6.75,0.154,0.62,0.86,9.03,0.28,v2,62.2,0.45,20,60,0.51,14626,6.6,0.772,v3,class8
1.36,54009,38.1,1.85,60072,0.315,79.1,92,4.5,7.6,50.2,v1,0.643,97.5,6785,754,0.614,6,0.45,626,26.6,0.46,2.51,86.1,7.06,0.359,0.543,0.86,9.13,0.61,v2,61,0.53,69.5,58.1,0.88,56713,7.07,0.76,v3,class4
2.11,46200,36.6,1.88,37707,0.393,77.5,94,4.59,7.5,51.3,v2,0.656,81.3,6532,747,0.644,5.98,0.14,813,33.6,0.22,1.35,76.8,7.06,0.829,0.618,0.52,9.66,0.26,v2,59.2,0.41,61.7,56.1,0.45,39114,8.58,0.764,v3,class6
2.99,50406,37.7,2.1,89322,0.17,74,52,4.37,7.2,50.2,v1,0.563,77.9,6620,763,0.817,4.64,0.71,606,33.7,0.17,2.02,86,7.05,0.768,0.331,0.85,9.13,0.39,v2,58.1,0.47,65,70.7,0.41,30694,7.45,0.805,v2,class3
3.77,55378,49.9,3.2,58772,0.315,75.9,76,4.27,5.5,51.5,v2,0.692,86.3,6719,804,0.647,4.9,0.69,769,26,0.41,2.08,93.2,6.9,0.247,0.358,0.47,9.04,0.26,v1,60.6,0.44,70.1,63.8,0.54,49082,8.43,0.804,v2,class8
3.49,53661,36.8,0.97,58511,0.153,79,74,4.55,9,51.2,v2,0.691,63.5,6529,765,0.47,4.24,0.66,600,24.2,0.25,3.48,79.7,6.83,0.212,0.349,0.9,9.53,0.35,v1,61.9,0.63,49.4,68.3,0.74,53026,6.58,0.694,v2,class7
3.72,55125,15.4,1.53,35031,0.274,78,61,4.59,7.9,50.2,v2,0.646,82.1,6742,747,0.54,3.15,0.58,822,25.2,0.22,4.17,69.8,8.7,0.14,0.466,0.45,9.21,0.35,v2,50.3,0.35,36.6,58,0.83,69583,6.32,0.754,v3,class3
3.38,53622,13.9,2.5,44639,0.498,78.5,67,4.59,4.9,50.2,v2,0.648,75.5,4738,794,0.63,5.08,0.59,346,28.5,0.19,3.57,98.9,6.95,0.679,0.622,0.83,9.71,0.44,v1,47.8,0.42,66.1,56.2,0.89,27772,6.51,0.81,v3,class3
3.54,48749,16.8,2.07,85654,0.228,75.5,69,4.34,4.5,53.1,v1,0.694,81.8,4975,743,0.664,3.51,0.54,818,24.9,0.46,2.05,85.9,7.4,0.597,0.328,0.79,9.69,0.6,v2,58.8,0.43,24.9,68.9,0.89,66645,6.2,0.72,v3,class6
1.49,49448,38.8,3.23,95720,0.487,77.4,62,4.29,4.5,50.6,v2,0.802,86.6,4163,806,0.691,6.35,0.56,791,30.7,0.3,3.72,71.8,6.94,0.128,0.566,0.72,9.1,0.27,v2,56.1,0.41,18.4,70.2,0.4,14705,7.53,0.758,v2,class7
1.69,45999,25.9,2.11,59743,0.382,79.5,52,4.61,8.6,51,v1,0.675,47.7,7280,746,0.649,6.07,0.36,816,34,0.33,3.96,85.6,6.97,0.151,0.35,0.84,9.07,0.6,v1,59.8,0.46,73.2,60.3,0.33,56861,7.57,0.769,v2,class3
2.23,47465,13.2,1.85,28997,0.348,77.7,94,4.69,5.7,50.2,v1,0.682,99,6636,767,0.233,3.75,0.48,816,24,0.3,3.09,71,6.81,0.684,0.446,0.9,9.11,0.41,v1,59.6,0.48,19.4,56.8,0.86,76628,6.59,0.748,v1,class5
3.54,52506,23.5,0.3,57867,0.496,81.4,68,4.65,8.7,52.5,v2,0.672,94.5,7104,804,0.243,4.63,0.15,812,30.8,0.16,0.66,82.7,6.89,0.928,0.555,0.48,9.07,0.42,v2,57.7,0.42,32.2,61.4,0.48,66068,6.74,0.723,v1,class3
2.84,53698,39.9,3.37,84791,0.151,79.5,94,4.62,8.1,50.7,v1,0.53,78.7,7430,763,0.802,4.66,0.18,603,33.3,0.24,1.07,94.7,7.99,0.465,0.338,0.89,9.38,0.3,v2,52.9,0.61,18,62.8,0.64,17097,7.24,0.739,v1,class3
3.82,47416,26,1.83,58676,0.249,79,62,4.62,8.3,54,v1,0.784,99,5699,755,0.41,4.76,0.68,821,26.3,0.34,3.72,73.2,6.9,0.852,0.462,0.93,9.78,0.42,v2,47.5,0.45,63.3,70.9,0.61,16805,6.64,0.701,v1,class5
3.46,54014,39.8,1.99,90587,0.316,75.1,94,4.6,3.7,50.2,v1,0.665,37.5,6208,745,0.242,4.99,0.67,674,25.6,0.37,3.78,80.4,6.78,0.193,0.442,0.58,9.4,0.36,v1,53,0.44,70.6,71.9,0.22,55647,6.59,0.754,v3,class6
2.45,47196,32.8,3.15,46051,0.315,76.4,94,4.47,4.9,50.2,v1,0.691,43.8,7244,746,0.648,6.13,0.39,816,26.1,0.46,0.66,87.8,7.39,0.494,0.625,0.98,9.11,0.62,v2,56.1,0.45,59.9,56.9,0.69,39249,6.78,0.832,v2,class2
3.45,56001,23.9,2,93174,0.495,73.3,74,4.65,8.5,50.2,v2,0.589,98.7,6432,761,0.642,4.67,0.55,619,26.4,0.46,1.28,71.4,6.75,0.21,0.625,0.89,9.32,0.62,v1,55.9,0.51,23.5,64,0.4,76974,6.27,0.839,v3,class3
2.56,46587,25.2,1.65,21946,0.164,73.3,83,4.39,7.5,50.2,v1,0.765,86.3,6324,762,0.828,5.88,0.69,514,25.3,0.15,2.56,94,6.96,0.844,0.617,0.88,9.19,0.62,v1,51.8,0.43,86.9,68.8,0.87,64973,7.54,0.765,v1,class7
3.75,51858,41.3,1.84,57544,0.172,77.9,81,4.6,7.9,51.5,v2,0.491,99,4959,761,0.567,6.21,0.71,610,27.5,0.35,3.63,86,6.69,0.121,0.585,0.92,9.22,0.43,v2,51.6,0.45,19.1,61.8,0.85,54581,6.31,0.741,v3,class5
3.1,47666,51,0.81,78380,0.164,72.9,86,4.43,3.7,52,v1,0.641,96,4380,796,0.267,3.3,0.64,598,28.2,0.47,0.69,92.1,7.18,0.335,0.611,0.93,9.06,0.62,v1,60.7,0.42,55,64.7,0.82,71053,6.6,0.72,v2,class3
1.7,56076,27.8,0.31,91105,0.353,78.9,88,4.43,8.2,50.5,v2,0.63,62.5,7141,747,0.245,5.51,0.41,599,28.2,0.41,3.66,78.4,7.36,0.481,0.53,0.73,9.06,0.62,v1,60.1,0.39,19,61.5,0.48,21993,7.86,0.768,v1,class2
2.9,46180,45.5,2.03,86151,0.225,77.6,89,4.65,8.1,50.7,v1,0.646,42.9,4348,803,0.335,6.03,0.38,818,28.3,0.23,0.41,75.3,6.71,0.722,0.509,0.62,9.43,0.24,v2,60.3,0.45,18.8,59.9,0.42,23278,7.07,0.724,v3,class4
3.42,56697,28.7,2.31,83813,0.157,76.4,86,4.65,9,52.8,v1,0.76,75.4,7409,809,0.43,5.72,0.13,298,26.3,0.41,3.79,82.5,6.82,0.538,0.476,0.42,9.88,0.5,v2,55.7,0.45,61.6,59.3,0.64,85297,6.58,0.695,v1,class8
3.45,54942,38.2,1.92,82030,0.316,78,76,4.45,4.1,50.2,v2,0.661,84.5,7510,745,0.319,5.98,0.14,228,24,0.22,0.51,63.1,8.53,0.753,0.467,0.93,9.05,0.26,v1,60.4,0.47,67.4,55.6,0.6,17210,7.47,0.698,v2,class3
3.41,52831,51.3,1.89,49052,0.353,77.3,61,4.51,4.2,50.2,v1,0.742,94.5,6147,742,0.851,3.17,0.44,599,24,0.45,1.05,66.8,6.7,0.391,0.353,0.95,8.64,0.34,v2,48,0.39,64.7,72.8,0.75,53807,7.92,0.766,v3,class3
3.88,55119,36.4,2.01,20849,0.147,73.6,81,4.63,3.9,50.3,v2,0.645,80.3,5508,805,0.512,5.51,0.62,739,28.5,0.26,3,96.2,7.11,0.311,0.526,0.9,9.1,0.4,v1,61.4,0.58,88.1,63,0.25,29525,6.9,0.772,v3,class7
2.53,46224,21.7,2.05,77092,0.211,77.5,88,4.63,8,51.7,v1,0.66,68,7243,763,0.65,5.99,0.72,604,28.3,0.36,3.06,82.9,7.48,0.139,0.528,0.65,9.11,0.28,v1,49.5,0.53,18.9,70.5,0.7,29092,6.58,0.725,v3,class8
2.02,53813,26.4,2.3,75665,0.498,77.6,94,4.35,4,53.5,v2,0.683,97.9,5320,752,0.463,5.61,0.45,604,25.1,0.21,3.38,65.4,6.87,0.292,0.384,0.8,9.57,0.35,v2,59.8,0.59,28.7,70.4,0.88,72567,7.99,0.75,v2,class2
2.95,48637,28.4,2.06,54049,0.498,78.5,59,4.58,3.8,55,v1,0.49,85.7,6713,806,0.252,6.35,0.56,823,32.9,0.23,2.83,80,7.23,0.239,0.617,0.94,9.27,0.55,v2,60.2,0.36,42.3,66.7,0.64,59006,7.52,0.702,v2,class7
2.7,47450,43.8,2.29,96494,0.151,73.3,73,4.66,6.4,53,v2,0.696,88.7,4897,807,0.468,3.84,0.41,804,30.2,0.46,2.82,80.2,6.96,0.314,0.518,0.85,9.27,0.32,v1,58.3,0.55,71.4,71.5,0.86,35148,8.54,0.74,v1,class4
3.38,50534,27.4,1.84,79677,0.495,83.2,68,4.34,9.2,54.6,v2,0.651,84,5038,806,0.41,4.18,0.61,606,28.9,0.23,4.1,90.9,8.3,0.168,0.626,0.98,8.25,0.62,v2,61.4,0.44,64.1,58.4,0.64,39600,7.76,0.805,v3,class1
2,46655,35.9,0.76,78793,0.491,78.7,66,4.62,8.7,50.8,v2,0.727,96,6025,747,0.737,3.44,0.69,819,25.7,0.2,0.79,80.3,6.75,0.739,0.613,0.97,9.12,0.34,v2,50.5,0.42,77.3,62.6,0.73,58426,7.07,0.712,v3,class4
3.79,53291,49.2,2.19,87832,0.316,77.9,71,4.7,3.8,50.5,v2,0.679,76.7,5139,764,0.595,6.32,0.66,391,32.1,0.22,1.22,95.8,7.34,0.152,0.604,0.84,9.08,0.6,v2,53.3,0.57,69.1,72.2,0.65,29576,6.41,0.745,v1,class5
3.56,53543,41.5,2.65,21799,0.496,76.1,94,4.59,5.8,55.9,v1,0.645,95.4,6487,762,0.64,3.49,0.73,818,26.4,0.19,1.73,83.9,7,0.84,0.621,0.66,9.34,0.27,v2,59.2,0.57,21.9,57,0.54,30159,6.24,0.688,v1,class1
2.55,56046,51.2,2.06,23009,0.172,83.3,67,4.54,8,54,v1,0.65,91.7,6751,757,0.883,3.17,0.72,607,34,0.35,1.41,98.5,7.02,0.269,0.47,0.93,9.76,0.44,v1,47.8,0.35,70,70.4,0.77,68644,7.32,0.819,v2,class4
3.07,47855,41.7,1.83,81875,0.168,79.2,55,4.26,7.1,52.7,v2,0.864,81.7,4266,801,0.645,3.88,0.48,287,26.2,0.2,0.52,95.8,6.76,0.145,0.599,0.56,9.44,0.26,v1,61.2,0.5,18,65,0.26,56148,6.29,0.806,v1,class3
2.32,46075,28.7,2.19,57601,0.315,82.8,88,4.69,5.9,51.8,v1,0.748,76.3,5270,807,0.646,4.78,0.56,813,28.7,0.17,2.68,67.9,7.06,0.623,0.479,0.41,9.72,0.43,v2,49.8,0.45,74.8,60.3,0.41,14887,7.07,0.793,v2,class8
2.48,54125,28.5,2.55,87236,0.196,73.2,70,4.68,5.7,52.3,v1,0.669,93.9,7466,761,0.645,5.62,0.52,703,24.4,0.37,2.99,79.7,7.27,0.233,0.483,0.86,9.46,0.33,v1,58.7,0.53,72.6,60.6,0.51,23392,6.66,0.74,v1,class2
2.46,52777,27.1,2.08,21811,0.315,76.6,56,4.55,3.5,52.9,v1,0.659,43.6,4228,808,0.459,6.29,0.49,761,31.7,0.28,4.06,83.5,7.06,0.415,0.623,0.57,9.31,0.44,v1,47.3,0.4,70.9,71.9,0.89,38003,6.6,0.837,v1,class6
3.58,53385,21.7,2.46,37594,0.169,78.1,70,4.41,6.8,50.2,v2,0.654,97.1,5076,802,0.62,4.66,0.35,597,29.4,0.28,3.45,83.6,7.32,0.56,0.35,0.91,9.07,0.62,v1,49.3,0.43,30.8,58.6,0.56,21018,7.44,0.737,v2,class4
1.45,53409,41.3,2.13,43691,0.151,78.1,68,4.66,5.2,50.2,v2,0.636,76.5,6025,804,0.71,4.35,0.18,409,33.1,0.2,2.01,96.4,6.95,0.195,0.366,0.9,9.58,0.25,v1,54.5,0.34,62.7,69.8,0.41,41990,6.29,0.765,v1,class6
1.9,56050,45.3,1.92,91362,0.158,79.1,93,4.6,6.1,50.2,v2,0.863,95.2,6014,810,0.642,3.91,0.14,565,28.8,0.39,3.77,73.9,6.97,0.548,0.554,0.84,9.36,0.23,v1,62.2,0.4,60.5,55.2,0.42,52447,7.06,0.758,v3,class2
2.71,55858,13,2.08,23039,0.495,73.1,93,4.63,9,52.9,v2,0.623,88.4,6444,764,0.246,6.23,0.72,599,24.8,0.27,3.64,75,8.28,0.171,0.572,0.59,9.76,0.31,v2,59.5,0.35,36,64.5,0.53,52419,6.53,0.755,v2,class1
3.31,46484,29.8,2.73,20954,0.165,77.7,86,4.61,8.5,54.8,v2,0.66,88.8,6715,804,0.739,5.7,0.13,641,23.9,0.47,1.87,97.5,6.95,0.257,0.487,0.47,9.05,0.25,v2,60,0.45,40.4,54.8,0.44,57629,7.4,0.844,v3,class1
1.46,54562,50.6,1.93,24146,0.315,74,94,4.63,3.7,51.7,v2,0.692,85.5,7022,751,0.621,6.29,0.36,630,28.3,0.19,2.21,84.8,8.69,0.546,0.623,0.7,8.88,0.37,v2,56.7,0.45,49.7,62,0.86,58027,7.56,0.718,v3,class4
