@relation R_data_frame

@attribute V1 numeric
@attribute V2 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute V3 {1,2,3}
@attribute V4 {1,2,3,4}
@attribute V5 {1,2}
@attribute V6 numeric
@attribute V7 {1,2}
@attribute V8 {1,2}
@attribute V9 {1,2,3}
@attribute V10 numeric
@attribute V11 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 {1,2,3,4}
@attribute Class {1,2}

@data
44,10,2,2,1,0,2,1,3,5,9,225,2,-1,0,4,1
55,10,1,2,1,0,1,1,3,5,9,160,1,-1,0,4,1
29,5,3,3,1,0,2,1,3,5,9,363,1,-1,0,4,1
54,2,2,2,1,1291,2,1,3,5,9,266,1,-1,0,4,1
48,5,1,3,1,-244,2,1,3,5,9,253,1,-1,0,4,1
32,5,2,3,1,0,2,1,3,5,9,179,1,-1,0,4,1
42,1,3,2,1,-76,2,1,3,5,9,787,1,-1,0,4,1
24,10,3,2,1,-103,2,2,3,5,9,145,1,-1,0,4,1
38,3,3,3,1,243,1,2,3,5,9,174,1,-1,0,4,1
38,5,3,3,1,424,2,1,3,5,9,104,1,-1,0,4,1
47,2,2,4,1,306,2,1,3,5,9,13,1,-1,0,4,1
40,2,3,4,1,24,2,1,3,5,9,185,1,-1,0,4,1
46,8,2,1,1,179,2,1,3,5,9,1778,1,-1,0,4,1
32,1,2,3,1,0,2,1,3,5,9,138,1,-1,0,4,1
53,10,1,2,1,989,2,1,3,5,9,812,1,-1,0,4,1
57,2,2,1,1,249,2,1,3,5,9,164,1,-1,0,4,1
33,8,2,2,1,790,2,1,3,5,9,391,1,-1,0,4,1
49,2,2,4,1,154,2,1,3,5,9,357,1,-1,0,4,1
51,5,2,3,1,6530,2,1,3,5,9,91,1,-1,0,4,1
60,6,2,3,1,100,1,1,3,5,9,528,1,-1,0,4,1
59,5,1,3,1,59,2,1,3,5,9,273,1,-1,0,4,1
55,10,2,2,1,1205,2,1,3,5,9,158,2,-1,0,4,1
35,2,3,2,1,12223,2,2,3,5,9,177,1,-1,0,4,1
57,2,2,2,1,5935,2,2,3,5,9,258,1,-1,0,4,1
31,8,2,2,1,25,2,2,3,5,9,172,1,-1,0,4,1
54,5,2,2,1,282,2,2,3,5,9,154,1,-1,0,4,1
55,2,2,1,1,23,2,1,3,5,9,291,1,-1,0,4,1
43,10,2,2,1,1937,2,1,3,5,9,181,1,-1,0,4,1
53,10,2,2,1,384,2,1,3,5,9,176,1,-1,0,4,1
44,2,2,2,1,582,1,2,3,5,9,211,1,-1,0,4,1
55,8,1,2,1,91,1,1,3,5,9,349,1,-1,0,4,1
49,8,1,2,1,0,2,2,3,5,9,272,1,-1,0,4,1
55,8,1,2,2,1,2,1,3,5,9,208,1,-1,0,4,1
45,1,3,2,1,206,2,1,3,5,9,193,1,-1,0,4,1
47,8,1,2,1,164,1,1,3,5,9,212,1,-1,0,4,1
42,10,3,2,1,690,2,1,3,5,9,20,1,-1,0,4,1
59,1,2,2,1,2343,2,1,3,5,9,1042,1,-1,0,4,2
46,7,2,3,1,137,2,2,3,5,9,246,1,-1,0,4,1
51,2,2,1,1,173,2,1,3,5,9,529,2,-1,0,4,1
56,1,2,2,1,45,1,1,3,5,9,1467,1,-1,0,4,2
41,10,2,2,1,1270,2,1,3,5,9,1389,1,-1,0,4,2
46,5,1,2,1,16,2,2,3,5,9,188,2,-1,0,4,1
57,6,2,2,1,486,2,1,3,5,9,180,2,-1,0,4,1
42,5,3,2,1,50,1,1,3,5,9,48,1,-1,0,4,1
30,10,2,2,1,152,2,2,3,5,9,213,2,-1,0,4,1
60,1,2,2,1,290,2,1,3,5,9,583,1,-1,0,4,1
60,2,2,4,1,54,2,1,3,5,9,221,1,-1,0,4,1
57,3,1,2,1,-37,1,1,3,5,9,173,1,-1,0,4,1
36,5,2,3,1,101,2,2,3,5,9,426,1,-1,0,4,1
55,2,2,2,1,383,1,1,3,5,9,287,1,-1,0,4,1
60,6,2,3,1,81,2,1,3,5,9,101,1,-1,0,4,1
39,10,2,2,1,0,2,1,3,5,9,203,1,-1,0,4,1
46,5,2,3,1,229,2,1,3,5,9,197,1,-1,0,4,1
44,2,2,2,1,-674,2,1,3,5,9,257,1,-1,0,4,1
53,2,2,1,1,90,1,1,3,5,9,124,1,-1,0,4,1
52,2,2,1,1,128,2,1,3,5,9,229,1,-1,0,4,1
59,2,2,1,1,179,2,1,3,5,9,55,3,-1,0,4,1
27,10,3,3,1,0,2,1,3,5,9,400,1,-1,0,4,1
44,2,2,2,1,54,2,1,3,5,9,197,1,-1,0,4,1
47,10,2,3,1,151,2,1,3,5,9,190,1,-1,0,4,1
34,1,2,2,1,61,1,2,3,5,9,21,1,-1,0,4,1
59,6,3,2,1,30,2,1,3,5,9,514,1,-1,0,4,1
45,5,2,3,1,523,2,1,3,5,9,849,2,-1,0,4,1
29,8,1,2,1,31,2,1,3,5,9,194,1,-1,0,4,1
46,10,1,2,1,79,1,1,3,5,9,144,1,-1,0,4,1
56,7,2,1,1,-34,2,2,3,5,9,212,2,-1,0,4,1
36,2,2,1,1,448,2,1,3,5,9,286,1,-1,0,4,1
59,6,1,1,1,81,2,1,3,5,9,107,1,-1,0,4,1
44,2,2,2,1,144,2,1,3,5,9,247,2,-1,0,4,1
41,1,2,2,1,351,2,1,3,5,9,518,1,-1,0,4,1
33,5,3,3,1,-67,2,1,3,5,9,364,1,-1,0,4,1
59,5,1,3,1,262,1,1,3,5,9,178,1,-1,0,4,1
57,10,2,1,1,0,1,1,3,5,9,98,1,-1,0,4,1
56,10,1,4,1,56,2,1,3,5,9,439,1,-1,0,4,1
51,2,2,2,1,26,2,1,3,5,9,79,1,-1,0,4,1
34,1,2,4,1,3,2,1,3,5,9,120,3,-1,0,4,1
43,8,2,2,1,41,2,2,3,5,9,127,2,-1,0,4,1
52,10,2,3,1,7,1,2,3,5,9,175,1,-1,0,4,1
33,10,3,2,1,105,2,1,3,5,9,262,2,-1,0,4,1
29,1,3,2,1,818,2,2,3,5,9,61,1,-1,0,4,1
34,8,2,2,1,-16,2,2,3,5,9,78,1,-1,0,4,1
31,2,2,2,1,0,2,1,3,5,9,143,1,-1,0,4,1
55,8,2,2,1,2476,2,1,3,5,9,579,1,-1,0,4,2
55,5,2,4,1,1185,1,1,3,5,9,677,1,-1,0,4,1
32,1,3,2,1,217,2,1,3,5,9,345,1,-1,0,4,1
38,10,3,2,1,1685,2,1,3,5,9,185,1,-1,0,4,1
55,1,3,2,1,802,2,2,3,5,9,100,2,-1,0,4,1
28,11,3,3,1,0,2,1,3,5,9,125,2,-1,0,4,1
23,2,2,2,1,94,2,1,3,5,9,193,1,-1,0,4,1
32,10,3,2,1,0,2,1,3,5,9,136,1,-1,0,4,1
43,8,3,4,1,0,1,1,3,5,9,73,1,-1,0,4,1
32,2,2,2,1,517,2,1,3,5,9,528,1,-1,0,4,1
46,2,2,2,1,265,2,1,3,5,9,541,1,-1,0,4,1
53,4,1,1,1,947,2,1,3,5,9,163,1,-1,0,4,1
34,7,3,2,1,3,2,1,3,5,9,301,1,-1,0,4,1
57,11,2,3,1,42,1,1,3,5,9,46,1,-1,0,4,1
37,2,2,2,1,37,2,1,3,5,9,204,1,-1,0,4,1
59,2,2,2,1,57,2,1,3,5,9,98,1,-1,0,4,1
33,8,2,2,1,22,2,1,3,5,9,71,1,-1,0,4,1
56,2,1,1,1,8,2,1,3,5,9,157,2,-1,0,4,1
48,11,2,2,1,293,2,1,3,5,9,243,1,-1,0,4,1
43,8,2,1,1,3,2,1,3,5,9,186,2,-1,0,4,1
54,2,2,1,1,348,2,1,3,5,9,579,2,-1,0,4,1
51,2,2,4,1,-19,2,1,3,5,9,163,2,-1,0,4,1
26,9,3,2,1,0,2,1,3,5,9,610,2,-1,0,4,1
40,5,2,3,1,-4,2,1,3,5,9,2033,1,-1,0,4,1
39,5,2,2,1,18,2,1,3,5,9,85,1,-1,0,4,1
50,10,2,1,1,139,1,1,3,5,9,114,2,-1,0,4,1
41,8,2,2,1,0,2,1,3,5,9,114,2,-1,0,4,1
51,2,2,4,1,1883,2,1,3,5,9,57,1,-1,0,4,1
60,6,1,2,1,216,2,1,3,5,9,238,1,-1,0,4,1
52,2,2,2,1,782,2,1,3,5,9,93,3,-1,0,4,1
48,2,2,2,1,904,2,1,3,5,9,128,2,-1,0,4,1
48,8,2,4,1,1705,2,1,3,5,9,107,1,-1,0,4,1
39,10,3,3,1,47,2,1,3,5,9,181,1,-1,0,4,1
47,8,3,2,1,176,2,1,3,5,9,303,2,-1,0,4,1
40,2,2,2,1,1225,2,1,3,5,9,558,5,-1,0,4,1
45,10,2,2,1,86,2,1,3,5,9,270,1,-1,0,4,1
26,1,3,2,1,82,2,1,3,5,9,228,1,-1,0,4,1
52,5,2,3,1,271,2,1,3,5,9,99,1,-1,0,4,1
54,10,2,2,1,1378,2,1,3,5,9,240,1,-1,0,4,1
54,1,2,3,1,184,1,1,3,5,9,673,2,-1,0,4,2
50,2,2,1,1,0,1,1,3,5,9,233,3,-1,0,4,1
35,2,2,2,1,0,2,1,3,5,9,1056,1,-1,0,4,1
44,8,2,2,1,1357,2,2,3,5,9,250,1,-1,0,4,1
53,3,2,4,1,19,2,1,3,5,9,252,1,-1,0,4,1
35,6,3,1,1,434,1,1,3,5,9,138,1,-1,0,4,1
60,1,1,2,1,92,2,1,3,5,9,130,1,-1,0,4,1
53,1,1,2,1,1151,2,1,3,5,9,412,1,-1,0,4,1
48,11,2,2,1,41,2,1,3,5,9,179,2,-1,0,4,1
34,10,2,2,1,51,2,1,3,5,9,19,2,-1,0,4,1
54,8,2,2,1,214,2,1,3,5,9,458,2,-1,0,4,1
51,5,2,2,1,1161,2,1,3,5,9,717,1,-1,0,4,1
31,8,2,3,1,37,2,1,3,5,9,313,1,-1,0,4,1
35,10,1,2,1,787,2,1,3,5,9,683,2,-1,0,4,1
35,8,2,2,1,59,2,1,3,5,9,1077,1,-1,0,4,1
38,10,2,2,1,253,2,1,3,5,9,416,1,-1,0,4,1
36,1,2,3,1,211,2,1,3,5,9,146,2,-1,0,4,1
58,6,2,1,1,235,2,1,3,5,9,167,1,-1,0,4,1
40,8,1,4,1,4384,2,1,3,5,9,315,1,-1,0,4,1
54,5,2,2,1,4080,1,1,3,5,9,140,1,-1,0,4,1
34,2,3,2,1,53,2,2,3,5,9,346,1,-1,0,4,1
31,5,3,3,1,0,2,1,3,5,9,562,1,-1,0,4,1
51,6,2,2,1,2127,2,1,3,5,9,172,1,-1,0,4,1
33,5,2,3,1,377,2,1,3,5,9,217,1,-1,0,4,1
55,5,2,3,1,73,2,1,3,5,9,142,2,-1,0,4,1
42,1,2,2,1,445,2,1,3,5,9,67,1,-1,0,4,1
34,2,2,2,1,243,2,1,3,5,9,291,1,-1,0,4,1
33,2,3,2,1,307,2,1,3,5,9,309,2,-1,0,4,1
38,8,2,2,1,155,2,1,3,5,9,248,1,-1,0,4,1
50,10,1,3,1,173,1,2,3,5,9,98,1,-1,0,4,1
43,5,2,3,1,400,2,1,3,5,9,256,1,-1,0,4,1
61,2,1,1,1,1428,2,1,3,5,9,82,2,-1,0,4,1
47,1,2,2,1,219,2,1,3,5,9,577,1,-1,0,4,1
48,7,2,3,1,7,2,1,3,5,9,286,1,-1,0,4,1
44,2,2,2,1,575,2,1,3,5,9,477,1,-1,0,4,1
35,9,3,4,1,298,2,1,3,5,9,611,2,-1,0,4,1
35,8,2,2,1,0,2,1,3,5,9,471,1,-1,0,4,1
50,8,2,2,1,5699,2,1,3,5,9,381,2,-1,0,4,1
41,5,2,3,1,176,2,2,3,5,9,42,1,-1,0,4,1
41,5,2,3,1,517,2,1,3,5,9,251,1,-1,0,4,1
39,8,3,4,1,257,2,1,3,5,9,408,1,-1,0,4,1
42,6,2,2,1,56,2,1,3,5,9,215,1,-1,0,4,1
38,2,2,2,1,-390,2,1,3,5,9,287,1,-1,0,4,1
53,6,2,2,1,330,2,1,3,5,9,216,2,-1,0,4,1
59,4,1,1,1,195,1,1,3,5,9,366,2,-1,0,4,1
36,8,2,2,1,301,2,1,3,5,9,210,1,-1,0,4,1
54,2,2,1,1,-41,2,1,3,5,9,288,1,-1,0,4,1
40,10,2,3,1,483,2,1,3,5,9,168,1,-1,0,4,1
47,12,2,4,1,28,1,1,3,5,9,338,2,-1,0,4,1
53,11,2,4,1,13,1,1,3,5,9,410,3,-1,0,4,1
46,4,2,1,1,965,1,1,3,5,9,177,1,-1,0,4,1
39,5,2,3,1,378,2,2,3,5,9,127,2,-1,0,4,1
40,11,2,2,1,219,2,1,3,5,9,357,1,-1,0,4,1
28,2,2,1,1,324,2,1,3,5,9,175,1,-1,0,4,1
35,3,1,2,1,-69,2,1,3,5,9,300,1,-1,0,4,1
55,6,2,2,1,0,1,2,3,5,9,136,1,-1,0,4,1
43,10,1,4,1,205,2,1,3,5,9,1419,1,-1,0,4,1
48,2,2,1,1,278,2,1,3,5,9,125,2,-1,0,4,1
58,5,2,4,1,1065,2,1,3,5,9,213,3,-1,0,4,1
33,5,3,3,1,34,2,1,3,5,9,27,1,-1,0,4,1
36,2,2,4,1,1033,1,1,3,5,9,238,2,-1,0,4,1
53,8,1,2,1,1467,2,1,3,5,9,124,1,-1,0,4,1
47,2,2,1,1,-12,2,1,3,5,9,18,1,-1,0,4,1
31,8,2,2,1,388,2,1,3,5,9,730,2,-1,0,4,1
57,3,2,2,1,294,2,1,3,5,9,746,2,-1,0,4,1
53,2,2,4,1,1827,1,1,3,5,9,121,1,-1,0,4,1
55,2,2,1,1,627,2,1,3,5,9,247,1,-1,0,4,1
45,2,2,1,1,25,2,1,3,5,9,40,1,-1,0,4,1
53,1,1,2,1,315,2,1,3,5,9,181,2,-1,0,4,1
37,2,2,1,1,0,2,1,3,5,9,79,1,-1,0,4,1
44,1,1,2,1,66,2,1,3,5,9,206,1,-1,0,4,1
49,2,1,1,1,-9,2,2,3,5,9,389,1,-1,0,4,1
46,10,2,2,1,349,2,2,3,5,9,127,1,-1,0,4,1
43,3,2,4,1,100,2,1,3,5,9,702,1,-1,0,4,1
38,1,2,2,1,0,1,1,3,5,9,151,1,-1,0,4,1
43,10,2,2,1,434,2,1,3,5,9,117,1,-1,0,4,1
49,5,2,3,1,3237,2,1,3,5,9,232,3,-1,0,4,1
42,5,2,4,1,275,1,1,3,5,9,408,2,-1,0,4,1
22,2,3,2,1,0,2,1,3,5,9,179,2,-1,0,4,1
40,5,2,3,1,207,2,1,3,5,9,39,1,-1,0,4,1
39,2,2,2,1,483,2,1,3,5,9,282,1,-1,0,4,1
51,8,2,2,1,2248,2,1,3,5,9,714,2,-1,0,4,1
49,1,2,2,1,428,2,1,3,5,9,50,1,-1,0,4,1
53,2,2,2,1,0,2,2,3,5,9,181,1,-1,0,4,1
34,8,3,2,1,0,2,1,3,5,9,142,1,-1,0,4,1
33,10,1,2,1,140,2,1,3,5,9,227,1,-1,0,4,1
50,5,3,3,1,297,2,1,3,5,9,119,1,-1,0,4,1
39,2,2,1,1,279,2,1,3,5,9,361,1,-1,0,4,1
59,3,1,2,1,901,2,1,3,5,9,73,3,-1,0,4,1
30,10,3,2,1,2573,2,1,3,5,9,67,2,-1,0,4,1
36,8,2,2,1,143,2,2,3,5,9,350,1,-1,0,4,1
40,2,2,2,1,475,2,1,3,5,9,332,2,-1,0,4,1
53,2,2,2,1,70,2,1,3,5,9,611,2,-1,0,4,1
34,5,3,3,1,318,2,1,3,5,9,113,2,-1,0,4,1
37,10,2,2,1,275,2,1,3,5,9,132,1,-1,0,4,1
42,5,1,3,1,742,2,1,3,5,9,58,3,-1,0,4,1
41,3,2,1,1,236,2,1,3,5,9,151,1,-1,0,4,1
30,9,3,3,1,25,2,1,3,5,9,89,2,-1,0,4,1
37,5,3,3,1,600,2,1,3,5,9,152,1,-1,0,4,1
39,1,1,2,1,-349,2,1,3,5,9,611,2,-1,0,4,1
41,2,2,1,1,183,2,2,3,5,9,110,2,-1,0,4,1
40,2,2,1,1,0,2,1,3,5,9,463,1,-1,0,4,1
42,5,3,3,1,0,2,2,3,5,9,562,2,-1,0,4,2
40,2,1,1,1,0,2,1,3,5,9,962,1,-1,0,4,1
57,10,2,2,1,1078,2,1,3,5,9,10,4,-1,0,4,1
56,3,1,2,1,155,1,1,3,5,9,118,3,-1,0,4,1
37,1,2,2,1,190,2,1,3,5,9,92,2,-1,0,4,1
59,6,2,2,1,319,2,1,3,5,9,143,3,-1,0,4,1
39,8,1,2,1,-185,2,1,3,5,9,189,3,-1,0,4,1
49,8,2,2,1,47,1,1,3,5,9,234,2,-1,0,4,1
38,8,3,2,1,570,2,1,3,5,9,75,2,-1,0,4,1
36,7,2,3,1,19,1,1,3,5,9,189,2,-1,0,4,1
50,2,2,1,1,61,2,1,3,5,9,621,3,-1,0,4,1
41,1,2,2,1,-62,2,2,3,5,9,55,2,-1,0,4,1
54,10,2,3,1,258,1,1,3,5,9,310,4,-1,0,4,1
58,2,2,1,1,76,2,1,3,5,9,156,2,-1,0,4,1
30,2,3,2,1,0,2,1,3,5,9,5,2,-1,0,4,1
33,1,3,2,1,352,2,1,3,5,9,225,2,-1,0,4,1
47,1,2,2,1,368,2,1,3,5,9,125,2,-1,0,4,1
50,10,3,3,1,339,2,1,3,5,9,2,3,-1,0,4,1
32,2,2,2,1,1331,2,1,3,5,9,286,2,-1,0,4,1
40,7,2,2,1,672,2,1,3,5,9,164,2,-1,0,4,1
37,5,2,3,1,58,2,1,3,5,9,98,2,-1,0,4,1
54,10,3,4,1,447,2,1,3,5,9,742,2,-1,0,4,1
24,9,3,2,1,423,2,1,3,5,9,226,3,-1,0,4,1
54,5,2,3,1,0,1,1,3,5,9,120,2,-1,0,4,1
34,10,2,2,1,19,2,1,3,5,9,362,4,-1,0,4,1
56,10,1,1,1,13,2,1,3,5,9,357,2,-1,0,4,1
31,2,3,2,1,3,2,1,3,5,9,200,2,-1,0,4,1
24,9,3,2,1,82,2,1,3,5,9,204,2,-1,0,4,1
42,2,1,1,1,28,2,1,3,5,9,126,3,-1,0,4,1
57,10,2,2,1,792,2,1,3,5,9,65,2,-1,0,4,1
42,2,2,4,1,408,2,1,3,5,9,107,2,-1,0,4,1
51,1,2,2,1,531,2,1,3,5,9,267,2,-1,0,4,1
57,6,2,2,1,211,2,1,3,5,9,248,2,-1,0,4,1
36,8,3,2,1,62,2,1,3,5,9,215,2,-1,0,4,1
53,8,2,4,1,257,2,1,3,5,9,209,2,-1,0,4,1
50,10,2,2,1,1234,2,1,3,5,9,205,2,-1,0,4,1
54,5,2,3,1,313,2,1,3,5,9,83,2,-1,0,4,1
55,2,2,2,1,89,2,1,3,5,9,106,3,-1,0,4,1
44,2,2,2,1,129,2,2,3,5,9,189,2,-1,0,4,1
43,5,2,4,1,0,2,1,3,5,9,105,2,-1,0,4,1
56,1,2,2,1,353,2,1,3,5,9,106,2,-1,0,4,1
54,10,2,4,1,851,2,1,3,5,9,108,2,-1,0,4,1
55,8,1,1,1,96,2,2,3,5,9,311,2,-1,0,4,1
37,8,1,2,1,398,2,2,3,5,9,214,2,-1,0,4,1
33,1,3,3,1,193,1,1,3,5,9,132,2,-1,0,4,1
46,1,2,2,1,-358,2,1,3,5,9,358,2,-1,0,4,1
36,2,2,2,1,539,2,2,3,5,9,453,2,-1,0,4,1
51,10,3,2,1,0,2,1,3,5,9,364,2,-1,0,4,1
40,6,3,1,1,0,1,1,3,5,9,136,2,-1,0,4,1
42,2,2,2,1,490,2,1,3,5,9,386,2,-1,0,4,1
51,2,2,2,1,0,2,1,3,5,9,173,2,-1,0,4,1
49,2,2,4,1,403,2,1,3,5,9,241,2,-1,0,4,1
48,5,2,2,1,161,2,1,3,5,9,224,3,-1,0,4,1
32,10,1,3,1,2558,1,1,3,5,9,148,2,-1,0,4,1
31,1,3,2,1,98,2,1,3,5,9,196,2,-1,0,4,1
55,5,3,3,1,115,1,1,3,5,9,111,4,-1,0,4,1
40,2,3,2,1,436,2,1,3,5,9,231,3,-1,0,4,1
47,10,2,3,1,831,2,1,3,5,9,316,3,-1,0,4,1
57,10,2,4,1,206,2,1,3,5,9,216,3,-1,0,4,1
41,2,2,2,1,290,2,1,3,5,9,240,2,-1,0,4,1
48,2,2,2,1,1,1,1,3,5,9,669,3,-1,0,4,1
42,2,2,4,1,57,2,1,3,5,9,425,2,-1,0,4,1
30,2,3,2,1,-457,2,1,3,5,9,143,2,-1,0,4,1
58,5,3,3,1,1387,2,1,3,5,9,174,5,-1,0,4,1
45,5,1,3,1,24598,2,1,3,5,9,313,3,-1,0,4,1
49,2,2,2,1,30,2,1,3,5,9,135,4,-1,0,4,1
42,1,3,2,1,1022,2,1,3,5,9,146,2,-1,0,4,1
53,10,2,2,1,56,2,2,3,5,9,152,2,-1,0,4,1
51,1,3,2,2,-2,1,1,3,5,9,402,3,-1,0,4,1
32,8,3,2,1,121,2,1,3,5,9,213,2,-1,0,4,1
41,2,3,2,1,842,2,1,3,5,9,144,3,-1,0,4,1
43,5,1,2,1,693,2,1,3,5,9,124,3,-1,0,4,1
40,2,1,2,1,-333,2,1,3,5,9,183,2,-1,0,4,1
50,2,2,1,1,1533,2,1,3,5,9,325,2,-1,0,4,1
34,5,2,3,1,46,2,1,3,5,9,39,4,-1,0,4,1
53,8,2,4,1,18,1,1,3,5,9,503,2,-1,0,4,1
45,10,2,2,1,44,2,1,3,5,9,95,4,-1,0,4,1
39,2,2,1,1,-100,2,1,3,5,9,680,2,-1,0,4,1
44,8,2,3,1,510,2,1,3,5,9,421,4,-1,0,4,1
55,5,2,3,1,685,2,1,3,5,9,174,3,-1,0,4,1
46,5,3,3,1,187,2,1,3,5,9,113,2,-1,0,4,1
45,2,2,2,1,66,2,1,3,5,9,808,2,-1,0,4,1
34,1,2,2,1,560,2,1,3,5,9,198,3,-1,0,4,1
36,2,2,2,1,0,2,1,3,5,9,195,2,-1,0,4,1
59,12,1,4,1,27,1,1,3,5,9,347,3,-1,0,4,1
31,1,3,2,1,12,2,1,3,5,9,208,2,-1,0,4,1
44,2,3,2,1,34,2,1,3,5,9,404,4,-1,0,4,1
33,3,3,3,1,1068,2,1,3,5,9,396,2,-1,0,4,1
40,2,2,2,1,211,2,1,3,5,9,216,4,-1,0,4,1
46,1,3,3,1,377,2,1,3,5,9,98,2,-1,0,4,1
48,5,2,3,1,263,2,1,3,5,9,350,2,-1,0,4,1
42,8,2,2,1,1263,2,1,3,6,9,114,2,-1,0,4,1
27,8,2,2,1,8,2,1,3,6,9,88,3,-1,0,4,1
48,1,2,2,1,126,2,2,3,6,9,379,2,-1,0,4,1
59,1,2,2,1,230,2,1,3,6,9,190,3,-1,0,4,1
46,10,2,3,1,841,2,1,3,6,9,158,1,-1,0,4,1
38,1,1,2,1,308,2,1,3,6,9,102,1,-1,0,4,1
43,5,1,3,1,1,2,1,3,6,9,306,1,-1,0,4,1
38,1,1,3,1,86,2,1,3,6,9,218,1,-1,0,4,1
23,9,3,2,1,157,2,1,3,6,9,54,1,-1,0,4,1
34,8,2,2,1,22,2,1,3,6,9,344,1,-1,0,4,1
38,1,2,2,1,46,2,2,3,6,9,195,1,-1,0,4,1
37,2,2,2,1,1293,1,1,3,6,9,652,1,-1,0,4,1
25,1,3,2,1,122,2,1,3,6,9,286,1,-1,0,4,1
48,2,2,4,1,131,2,1,3,6,9,189,1,-1,0,4,1
49,2,3,2,1,143,2,1,3,6,9,83,1,-1,0,4,1
38,1,3,2,1,393,1,1,3,6,9,184,2,-1,0,4,1
43,2,2,1,1,98,2,1,3,6,9,235,1,-1,0,4,1
33,5,2,3,1,0,2,1,3,6,9,290,1,-1,0,4,1
55,2,2,2,1,224,2,1,3,6,9,232,1,-1,0,4,1
38,2,2,2,1,757,2,1,3,6,9,133,1,-1,0,4,1
49,8,2,2,1,245,2,2,3,6,9,318,1,-1,0,4,1
