@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 numeric
@attribute V48 numeric
@attribute V49 numeric
@attribute V50 numeric
@attribute V51 numeric
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 numeric
@attribute V56 numeric
@attribute V57 numeric
@attribute V58 numeric
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 numeric
@attribute V64 numeric
@attribute V65 numeric
@attribute V66 numeric
@attribute V67 numeric
@attribute V68 numeric
@attribute V69 numeric
@attribute V70 numeric
@attribute V71 numeric
@attribute V72 numeric
@attribute V73 numeric
@attribute V74 numeric
@attribute V75 numeric
@attribute V76 numeric
@attribute Class {1,2,3,4,5,6,7,8,9,10}

@data
0.031506,0.195689,0.050371,0.335048,0.607439,0.018546,0.355577,0.052755,0.333238,0.054464,0.035838,0.339589,0.021822,0.377071,0.222342,0.041302,0.056068,0.07085,0.222962,0.042594,0.024713,0.200992,0.051886,0.109897,0.150936,0.043664,0.027605,0.067978,0.187516,0.026451,0.023148,0.134363,0.058953,0.049222,0.117454,0.02719,0.013192,0.062828,0.136384,0.010399,0.018991,0.108967,0.03818,0.01475,0.037303,0.098162,0.04638,0.098091,0.021127,0.074447,0.022864,0.044517,0.036175,0.102426,0.036111,0.141175,0.014868,0.100772,0.039889,0.0101,0.027892,0.131824,0.020789,0.173908,0.013143,0.169918,0.024073,0.039349,0.024002,0.179871,0.025723,0.313572,0.007895,0.432757,0.007909,0.430104,1
0.059987,0.18284,0.071945,0.2323,0.540882,0.036473,0.430408,0.121311,0.352835,0.133088,0.01264,0.216326,0.086699,0.34899,0.154915,0.009748,0.159712,0.049325,0.064913,0.127074,0.005172,0.08483,0.034805,0.175895,0.064129,0.006956,0.126436,0.032287,0.034496,0.117465,0.01209,0.021477,0.03512,0.130638,0.018298,0.012593,0.122388,0.017866,0.013561,0.104848,0.015028,0.003173,0.013255,0.097636,0.022374,0.008563,0.052335,0.095104,0.031614,0.111476,0.026988,0.014064,0.02275,0.02751,0.055929,0.113921,0.023753,0.128805,0.039191,0.016765,0.032575,0.079761,0.038276,0.166725,0.029846,0.162451,0.053423,0.047511,0.033308,0.209118,0.078153,0.351372,0.0457,0.448882,0.095898,0.35298,1
0.043901,0.150196,0.11285,0.388171,0.491404,0.037144,0.386528,0.035463,0.412244,0.186529,0.032769,0.120802,0.014193,0.252422,0.124635,0.086239,0.180029,0.069867,0.100624,0.137536,0.074739,0.035265,0.066153,0.123768,0.039346,0.101655,0.108512,0.079039,0.07271,0.076548,0.090231,0.032733,0.073165,0.06084,0.048808,0.082731,0.042379,0.057806,0.066904,0.043907,0.087696,0.063765,0.028582,0.030403,0.075001,0.06277,0.086127,0.068996,0.103309,0.06797,0.07636,0.054144,0.108413,0.030407,0.087124,0.08841,0.100068,0.110708,0.105223,0.066036,0.104652,0.043301,0.091139,0.137347,0.068323,0.187059,0.074722,0.092649,0.075609,0.129439,0.062155,0.244394,0.019552,0.403151,0.074151,0.381283,1
0.015715,0.144933,0.017544,0.304308,0.52053,0.045659,0.417442,0.055274,0.399652,0.145417,0.034816,0.1882,0.067008,0.37311,0.125508,0.031139,0.172198,0.005198,0.029996,0.126045,0.040737,0.060145,0.037801,0.199336,0.027379,0.031752,0.122153,0.032884,0.031989,0.097857,0.03684,0.011688,0.03322,0.123846,0.023389,0.046762,0.086293,0.022364,0.047468,0.065921,0.02275,0.037305,0.053847,0.078436,0.056369,0.049847,0.011227,0.074423,0.028602,0.082371,0.062528,0.066959,0.03825,0.030556,0.031542,0.094454,0.050492,0.123888,0.055149,0.041018,0.024782,0.039966,0.037919,0.176494,0.048163,0.183878,0.026407,0.05178,0.013073,0.145987,0.051015,0.330473,0.06058,0.428234,0.025836,0.414485,1
0.052608,0.164092,0.051526,0.308999,0.539327,0.042992,0.421081,0.032785,0.413022,0.123154,0.029892,0.185131,0.066436,0.362841,0.141824,0.072059,0.157214,0.050163,0.022571,0.105862,0.021848,0.05902,0.068074,0.185189,0.045859,0.076491,0.114047,0.048962,0.002606,0.080185,0.037891,0.015594,0.080398,0.107915,0.006203,0.071386,0.066039,0.051604,0.020298,0.0502,0.054937,0.022101,0.072503,0.053763,0.066257,0.008904,0.060536,0.040047,0.045402,0.069252,0.090238,0.009932,0.079886,0.024347,0.062114,0.099094,0.033252,0.111608,0.092199,0.019216,0.081694,0.069491,0.062832,0.184347,0.033064,0.162955,0.089376,0.026298,0.08468,0.181433,0.062481,0.325294,0.022094,0.412465,0.057764,0.394113,1
0.023656,0.177572,0.067894,0.285655,0.59144,0.010783,0.423093,0.054754,0.361428,0.079786,0.044045,0.267815,0.039441,0.386149,0.219069,0.011638,0.129867,0.076878,0.120158,0.063502,0.049854,0.178153,0.004304,0.179517,0.149115,0.015488,0.075469,0.062522,0.13292,0.041013,0.066166,0.137068,0.0207,0.109361,0.113286,0.010989,0.045656,0.087914,0.149512,0.018665,0.077702,0.122407,0.006861,0.039242,0.009184,0.079844,0.050249,0.069371,0.063641,0.045477,0.019335,0.074129,0.018132,0.110267,0.041683,0.120222,0.039134,0.081119,0.023541,0.077839,0.007994,0.146853,0.018291,0.176662,0.025233,0.132429,0.014641,0.071289,0.007273,0.240342,0.013593,0.370078,0.017747,0.414653,0.037774,0.400279,1
0.020668,0.119582,0.013981,0.362986,0.550443,0.019128,0.399633,0.032963,0.381818,0.139932,0.020585,0.240161,0.017154,0.328934,0.192785,0.017328,0.154722,0.036927,0.065621,0.136949,0.027666,0.135497,0.019037,0.173506,0.126335,0.018496,0.137282,0.036946,0.053471,0.132102,0.031997,0.11589,0.023012,0.143398,0.100798,0.024836,0.112807,0.051703,0.067186,0.125573,0.045732,0.091172,0.026043,0.111883,0.025992,0.054362,0.003197,0.140811,0.014122,0.140811,0.027468,0.012786,0.021947,0.074652,0.024537,0.147114,0.003321,0.16222,0.010483,0.011862,0.012647,0.087132,0.025918,0.190598,0.013043,0.171148,0.031033,0.050785,0.011408,0.189684,0.020301,0.300556,0.015085,0.415519,0.044431,0.413029,1
0.080421,0.075129,0.066504,0.322236,0.662586,0.0514,0.375315,0.074838,0.350964,0.046451,0.064122,0.356094,0.053731,0.428897,0.223256,0.067566,0.014071,0.052307,0.269741,0.074914,0.04967,0.194328,0.07126,0.072932,0.111624,0.075777,0.088559,0.049597,0.211283,0.090967,0.042365,0.07973,0.083742,0.103581,0.055949,0.10122,0.085742,0.024802,0.054963,0.076627,0.01386,0.04423,0.106056,0.068811,0.094501,0.060694,0.055457,0.139346,0.045818,0.107307,0.092565,0.092097,0.091893,0.094328,0.095651,0.069275,0.081982,0.073659,0.06132,0.162164,0.072492,0.190607,0.070217,0.106676,0.087197,0.05934,0.087555,0.204494,0.070695,0.292698,0.063132,0.457965,0.047345,0.403164,0.079517,0.44816,1
0.044859,0.166502,0.031466,0.281352,0.571268,0.037488,0.426479,0.028873,0.401643,0.089449,0.039558,0.211171,0.050393,0.37654,0.173459,0.05082,0.150558,0.050142,0.075223,0.081519,0.032154,0.102934,0.058977,0.193734,0.086818,0.06041,0.104483,0.033165,0.05731,0.069318,0.030869,0.068409,0.052797,0.101896,0.051384,0.059458,0.062366,0.049894,0.034583,0.054224,0.028781,0.045835,0.049365,0.056588,0.068137,0.039138,0.035488,0.073006,0.033407,0.060378,0.069812,0.045604,0.068685,0.069184,0.049611,0.10418,0.036389,0.092541,0.09656,0.077232,0.071725,0.118348,0.03361,0.182064,0.039412,0.133803,0.089997,0.095664,0.071077,0.245699,0.031922,0.371963,0.025631,0.423278,0.048596,0.355962,1
0.091244,0.184688,0.055144,0.307966,0.556232,0.027083,0.423552,0.064893,0.36347,0.123362,0.051026,0.183328,0.057044,0.268264,0.189622,0.037604,0.169722,0.062823,0.042667,0.106893,0.057427,0.101067,0.039366,0.174767,0.116566,0.062003,0.118337,0.057916,0.016143,0.083341,0.057893,0.060257,0.05687,0.111981,0.083503,0.084185,0.086007,0.059243,0.018401,0.058428,0.045649,0.051809,0.061363,0.067978,0.119571,0.069249,0.031313,0.012496,0.033268,0.048891,0.141957,0.065504,0.110518,0.099027,0.039457,0.075838,0.029755,0.087131,0.119969,0.060455,0.095381,0.141371,0.026891,0.124129,0.018581,0.140478,0.1374,0.086867,0.094571,0.232968,0.08668,0.325671,0.013429,0.384536,0.084378,0.361676,1
0.049699,0.14973,0.0286,0.300511,0.596511,0.038474,0.420174,0.064612,0.393164,0.064853,0.052253,0.246406,0.073952,0.362864,0.203307,0.033571,0.114791,0.080501,0.071735,0.06237,0.055196,0.132519,0.061035,0.159602,0.127047,0.034771,0.072282,0.073414,0.089632,0.058364,0.060071,0.086098,0.039303,0.082145,0.095659,0.021737,0.062672,0.074496,0.066648,0.053039,0.054144,0.073109,0.038235,0.052683,0.018167,0.103108,0.02568,0.093481,0.040462,0.067601,0.024927,0.106623,0.017277,0.121763,0.041556,0.109009,0.038078,0.075,0.026072,0.128743,0.023381,0.174637,0.006391,0.166089,0.031295,0.124425,0.006265,0.161153,0.024175,0.275901,0.03894,0.408509,0.023213,0.411436,0.050125,0.376672,1
0.043549,0.19623,0.035742,0.219698,0.661122,0.016924,0.434498,0.001737,0.270469,0.035092,0.043307,0.397853,0.025994,0.449491,0.234172,0.010249,0.019315,0.037622,0.348439,0.057086,0.048966,0.230042,0.027861,0.016842,0.133515,0.017773,0.093398,0.051238,0.226621,0.069466,0.038851,0.120418,0.019168,0.107171,0.071439,0.028625,0.10296,0.046697,0.126641,0.064056,0.02361,0.050045,0.050993,0.135315,0.013312,0.075169,0.046244,0.036436,0.042546,0.031844,0.027562,0.123639,0.013044,0.109629,0.04098,0.078475,0.035301,0.036153,0.042362,0.127356,0.019228,0.166954,0.03943,0.116886,0.0446,0.050529,0.081342,0.199369,0.035764,0.307749,0.030525,0.435487,0.033211,0.427182,0.038176,0.401823,1
0.066572,0.175257,0.119038,0.289066,0.619524,0.018335,0.394918,0.096595,0.36211,0.041521,0.030535,0.266622,0.040623,0.370674,0.240806,0.024624,0.103912,0.036561,0.111099,0.016473,0.031218,0.185287,0.022091,0.182763,0.165174,0.041461,0.036391,0.027502,0.155613,0.012261,0.032971,0.139639,0.060372,0.074936,0.117588,0.063344,0.002627,0.031113,0.133212,0.026708,0.044886,0.097963,0.076504,0.043485,0.051178,0.114831,0.081898,0.053278,0.053698,0.03461,0.06497,0.151853,0.03509,0.173712,0.035672,0.090622,0.046073,0.054524,0.067422,0.152721,0.033238,0.206584,0.043218,0.174025,0.036366,0.132232,0.069837,0.116553,0.042755,0.259449,0.056281,0.362593,0.042581,0.403547,0.097958,0.362208,1
0.027201,0.167769,0.020937,0.243791,0.568735,0.022493,0.446925,0.042741,0.362592,0.09677,0.03613,0.254606,0.038948,0.400411,0.17613,0.026186,0.133822,0.05881,0.090597,0.09144,0.048517,0.111108,0.01542,0.177048,0.090198,0.020882,0.110389,0.058968,0.057948,0.082992,0.053146,0.068398,0.032338,0.136928,0.049069,0.029358,0.08726,0.056874,0.047998,0.072048,0.053562,0.038033,0.039233,0.088026,0.030003,0.034119,0.05516,0.08964,0.053045,0.087693,0.043062,0.031871,0.026149,0.058812,0.049171,0.101208,0.046148,0.102542,0.019474,0.057937,0.020595,0.104641,0.076053,0.17645,0.055144,0.132503,0.054165,0.091376,0.023918,0.240377,0.035527,0.383178,0.029533,0.434233,0.02506,0.384017,1
0.0654,0.166124,0.113353,0.328685,0.555533,0.007975,0.412265,0.087834,0.380606,0.118495,0.032771,0.216341,0.015545,0.352795,0.187051,0.066645,0.155658,0.049656,0.058849,0.089007,0.046875,0.117441,0.056467,0.179041,0.112484,0.108343,0.110162,0.058512,0.043287,0.05006,0.048985,0.099475,0.102666,0.132032,0.081411,0.125585,0.047208,0.060451,0.071775,0.031929,0.042402,0.067381,0.111951,0.04408,0.1243,0.060579,0.05006,0.024634,0.044455,0.030715,0.115503,0.047241,0.125676,0.081882,0.062957,0.044027,0.0519,0.077634,0.130502,0.057442,0.11169,0.097996,0.095285,0.134825,0.049019,0.142082,0.101137,0.024221,0.094677,0.179427,0.108631,0.265096,0.053876,0.388272,0.12373,0.376306,1
0.055846,0.187277,0.081429,0.248876,0.535726,0.052802,0.439535,0.031453,0.335043,0.121026,0.066964,0.240477,0.042288,0.38084,0.147979,0.048155,0.130356,0.065098,0.096902,0.076039,0.085975,0.093152,0.042855,0.132862,0.076611,0.057841,0.06485,0.084492,0.03977,0.034707,0.070296,0.069056,0.063211,0.064474,0.077989,0.053509,0.029279,0.069118,0.080345,0.011625,0.041892,0.081851,0.075653,0.019773,0.030628,0.092239,0.022502,0.062822,0.043414,0.012755,0.069561,0.083736,0.058981,0.092372,0.075261,0.074303,0.076414,0.056336,0.080286,0.029192,0.082005,0.080451,0.087655,0.099362,0.08521,0.149254,0.065511,0.031228,0.070667,0.1676,0.027412,0.318333,0.051973,0.436247,0.065831,0.394884,1
0.063214,0.149573,0.056149,0.296597,0.665732,0.028186,0.416561,0.051,0.429097,0.040252,0.030205,0.272731,0.011859,0.404513,0.245037,0.061289,0.086773,0.011582,0.135107,0.081362,0.062786,0.197764,0.067017,0.149603,0.129809,0.051246,0.036431,0.040303,0.139719,0.097935,0.089081,0.118167,0.063866,0.035565,0.051296,0.024165,0.068917,0.076983,0.112449,0.098858,0.112603,0.048013,0.029337,0.044626,0.038475,0.029503,0.117172,0.099571,0.115256,0.105445,0.057338,0.030718,0.003565,0.065697,0.158646,0.142552,0.117009,0.137486,0.055784,0.195893,0.054012,0.210007,0.120696,0.010289,0.082649,0.053093,0.09411,0.293861,0.070404,0.39938,0.050967,0.378877,0.044452,0.374311,0.066325,0.288467,1
0.078054,0.158707,0.108896,0.284171,0.564171,0.047919,0.40793,0.103607,0.368288,0.095112,0.116269,0.228504,0.102267,0.305337,0.170898,0.041983,0.106983,0.142202,0.057273,0.071119,0.131087,0.100323,0.072949,0.120005,0.079053,0.043395,0.039113,0.135255,0.046216,0.051363,0.130134,0.041775,0.056583,0.019194,0.03564,0.031017,0.033083,0.133589,0.042944,0.058148,0.116529,0.03804,0.034152,0.048804,0.028604,0.035288,0.096404,0.058756,0.118213,0.059668,0.049936,0.039844,0.043455,0.058564,0.09223,0.078612,0.112102,0.086569,0.076822,0.048165,0.059897,0.10821,0.073006,0.133356,0.093205,0.133813,0.078299,0.09144,0.068484,0.238816,0.051112,0.364055,0.049288,0.437516,0.074534,0.350357,1
0.017207,0.125539,0.028935,0.348457,0.561543,0.015982,0.410895,0.029855,0.373672,0.114887,0.019176,0.242169,0.008551,0.358911,0.185341,0.013804,0.159942,0.032026,0.06566,0.10827,0.027953,0.149504,0.019146,0.207296,0.107241,0.022774,0.109906,0.034401,0.091621,0.098652,0.043581,0.095562,0.016614,0.137555,0.070221,0.025332,0.097112,0.055386,0.076961,0.087832,0.050905,0.065677,0.021812,0.110098,0.033156,0.030814,0.019297,0.114246,0.03422,0.105993,0.03116,0.018433,0.026586,0.054284,0.03278,0.120801,0.030936,0.128063,0.039589,0.019847,0.026274,0.092157,0.021158,0.18415,0.025504,0.16971,0.052814,0.026231,0.023175,0.177276,0.059963,0.352788,0.020144,0.401869,0.038309,0.448094,1
0.057991,0.200655,0.08293,0.255302,0.606002,0.025652,0.433705,0.031447,0.282681,0.049681,0.040707,0.337687,0.042563,0.417554,0.206688,0.037059,0.067861,0.052557,0.239048,0.043565,0.031997,0.184951,0.018758,0.114483,0.125426,0.053742,0.026898,0.028517,0.170848,0.034726,0.040649,0.124459,0.045952,0.029501,0.08635,0.054,0.009388,0.03169,0.120655,0.025476,0.040669,0.083769,0.052707,0.006561,0.078648,0.050973,0.046266,0.042732,0.03718,0.046874,0.122707,0.032658,0.082623,0.077939,0.048698,0.083015,0.038071,0.079793,0.110006,0.038578,0.07468,0.117046,0.064194,0.129085,0.045918,0.119599,0.104833,0.077603,0.092277,0.236058,0.069249,0.305541,0.018477,0.422718,0.071766,0.369032,1
0.04369,0.190544,0.052294,0.27767,0.500048,0.012586,0.434796,0.05402,0.39502,0.17185,0.028769,0.140244,0.031822,0.290304,0.110617,0.021422,0.177272,0.021299,0.073922,0.15025,0.031395,0.019606,0.025254,0.136079,0.017384,0.027695,0.122133,0.023366,0.083092,0.118335,0.027381,0.049694,0.028242,0.078569,0.048211,0.027407,0.089072,0.018748,0.080584,0.081315,0.022972,0.063326,0.018958,0.039656,0.045005,0.070896,0.052627,0.065922,0.039917,0.102129,0.054259,0.073054,0.049531,0.043327,0.046338,0.091736,0.040705,0.131128,0.067093,0.040206,0.047278,0.045724,0.043416,0.165593,0.036179,0.183462,0.060727,0.052374,0.049214,0.175421,0.06766,0.310874,0.049448,0.425902,0.056063,0.355521,1
0.010488,0.205405,0.019157,0.268111,0.539744,0.002676,0.430441,0.043965,0.41347,0.132197,0.018525,0.150977,0.018693,0.302686,0.152055,0.010695,0.180699,0.019006,0.079923,0.12375,0.021962,0.04837,0.026697,0.151736,0.061275,0.016473,0.123537,0.018481,0.067496,0.110853,0.017599,0.020795,0.049719,0.113123,0.019824,0.028277,0.113003,0.014234,0.068581,0.095116,0.016892,0.031692,0.037619,0.089632,0.022946,0.026084,0.00869,0.121973,0.020504,0.117334,0.020185,0.033039,0.023668,0.040999,0.009832,0.148208,0.010747,0.117352,0.001739,0.07605,0.011978,0.113845,0.009271,0.212894,0.01605,0.154687,0.007528,0.075963,0.015213,0.250987,0.026532,0.368196,0.016423,0.435713,0.034671,0.320989,1
