%%  AutoUniv Version 1 User Guide 

%%  1 About AutoUniv 
%%  AutoUniv (AU) is a tool for creating classification models and generating 
%%  classified examples. 
%%  AU was designed by 
%%  Ray J. Hickey 
%%  E: ray.j.hickey@gmail.com
%%  W: http://sites.google.com/site/autouniv
%%  AU was programmed in Win-Prolog, version 4.9 from Logic Programming 
%%  Associates and makes use of the Prolog compiler and reasoning engine. 

%%  2 Installation 
%%  AU runs under Windows. Around 2GB of memory will be sufficient. Simply 
%%  extract AU.zip. AU does not alter registry settings. 
%%  All files are in the top-level folder. AU consists of four files: au.exe, au.dll, au.ini, 
%%  au.ovl. Two sub-folders exist containing examples of models and of data sets. 
%%  In addition to this User Guide there is also a Reference Manual. 
%%  Memory settings are in au.ini. These have been set to cater for the largest 
%%  models and should not need adjusting. 

%%  3 Running AU 
%%  Run au.exe. This will start the Launcher. From here you can run the two 
%%  applications namely the model builder, Create Model, and the data generator, 
%%  Generate Data. 
%%  The following sections provide a brief description of the use of the model builder 
%%  and data generator. These should be read in conjunction with the more detailed 
%%  account of AU in the Reference Manual. 

%%  4 The model builder tool 
%%  The Build Classification Model dialog is available from the Launcher. Settings 
%%  are made for attributes, classes and rules. The order in which settings are 
%%  entered is controlled. For example, the number of relevant attributes cannot be 
%%  specified until the number of attributes overall is specified. Validity checks 
%%  operate to prevent illegitimate entries. There is also auto completion. 
%%  The Class Distribution Settings dialog is available from the Customise 
%%  Distribution button or these settings can be randomised from the Randomise 
%%  Distributions button. A total weight of 1000 must be distributed across the 
%%  classes to reflect the prominence of each class. Applying Hold to any weight will 
%%  cause it to be retained when randomisation is applied. Minimum and maximum 
%%  values for the majority class probability are set for each class. These are 
%%  expressed as integers up to 1000 subject to a minimum necessary to secure a 
%%  majority class (which is displayed). Randomisation is also available, with hold. 
%%  Selecting Zero Noise followed by randomisation will set minimum and maximum - 2 - 
%%  to 1000 for unheld classes. Illegitimate values will be notified to the user when 
%%  the Apply button is pressed. 
%%  When all build settings have been made the Apply button in the Build 
%%  Classification Model dialog is enabled. When activated, this will enable the Start
%%  button for model building. Progress in the building of the model is echoed in the 
%%  Build Log window. After completion or failure, the model may be rebuilt with or 
%%  without attribute definitions and attribute factorisation being retained. 
%%  Once built, a model may be saved which creates its .aupl, .aurules and 
%%  .auprops files. The .aupl file provides the Prolog source code definition of the 
%%  model. 
%%  A new model may now be built or drift may be applied to the existing model by 
%%  selecting Keep attribute definitions and, possibly, other keep options depending 
%%  on the type of drift required. 
%%  When the user returns to the Launcher, the current build settings are retained. 

%%  5 The data generator tool 
%%  The Generate Data Set from Model dialog is available from the Launcher. Here 
%%  a model is selected and will be compiled into the Prolog system. A file format 
%%  for the examples is selected. The three available formats are CSV, ARFF (for 
%%  WEKA) and C4.5. Examples may be generated with or without header attribute 
%%  information. The latter is useful for appending examples to existing files. 

%%  6 Modification of the .aupl file 
%%  The user can edit the .aupl file for a model in order to manually alter the model 
%%  definition. Caution should be exercised when doing this. It is the user’s 
%%  responsibility to ensure the logical integrity and syntactic correctness of any 
%%  alterations. Logical flaws will cause the data generator to crash. In this situation, 
%%  the system should be exited and restarted. Syntax errors will produce a Prolog 
%%  compiler error message. 

@relation autoUniv-au6-cd1-400

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 {v1,v2}
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 {v1,v2}
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 {v1,v2,v3}
@attribute Class {class1,class2,class3,class4,class5,class6,class7,class8}

@data
3.82,55390,37.6,1.96,36547,0.171,74.5,92,4.6,3.5,51.1,v2,0.683,95.9,4502,810,0.638,3.38,0.72,597,31.8,0.26,2.94,94.3,6.97,0.152,0.37,0.96,9.05,0.62,v2,61.3,0.56,18.9,59,0.28,48802,7.36,0.757,v3,class3
3.87,47833,38.7,1.83,58592,0.162,77.9,93,4.66,9.1,50.2,v1,0.644,91.5,5507,740,0.868,3.1,0.43,816,29.6,0.45,3.98,64.4,6.98,0.347,0.354,0.74,9.53,0.41,v1,58.8,0.38,26.2,70.5,0.37,18363,8.48,0.726,v1,class3
1.88,53752,37.8,0.92,34308,0.315,77,58,4.24,3.7,51.8,v1,0.672,96.3,6813,760,0.648,6.1,0.44,713,27.4,0.43,4.12,82.7,7.41,0.215,0.555,0.73,9.11,0.62,v1,55.5,0.49,72.1,69.3,0.43,15334,7.2,0.727,v3,class5
3.68,54597,14.3,1.99,19714,0.163,79.2,53,4.64,7.2,50.4,v2,0.664,75.8,5010,799,0.476,5.73,0.57,791,28.3,0.24,1.25,79.1,6.97,0.442,0.61,0.42,9.11,0.24,v1,61,0.43,44.3,58.1,0.89,17429,8.14,0.7,v3,class1
3.1,53423,49.4,1.94,41408,0.498,79.6,84,4.68,8.6,50.4,v2,0.863,85,4401,769,0.635,6.02,0.38,820,26.4,0.46,3.83,81.7,6.84,0.828,0.359,0.87,9.24,0.33,v1,53,0.43,23.3,71.7,0.88,55409,6.91,0.801,v3,class3
2.89,53636,39.8,2.27,19741,0.227,71.4,69,4.7,8.2,50.7,v1,0.62,97.8,6243,775,0.247,6.32,0.59,285,34.4,0.27,2.17,76,6.72,0.291,0.608,0.9,9.05,0.36,v1,56.9,0.43,59.9,64.1,0.58,78133,6.46,0.707,v2,class8
2.25,53782,47.7,1.85,48563,0.316,74.1,67,4.55,6.7,52.7,v1,0.669,98.4,4476,760,0.622,5.11,0.73,683,26,0.47,1.46,92.8,6.91,0.164,0.365,0.69,9.13,0.62,v1,57.6,0.42,87.6,59.5,0.8,53489,7.24,0.765,v1,class1
3.86,45928,34.5,2.72,66134,0.166,77.5,67,4.7,9.4,56,v1,0.835,77.8,6336,752,0.65,6.3,0.44,490,29.2,0.27,1.16,73.6,6.85,0.232,0.62,0.95,9.65,0.62,v2,59.6,0.44,71.2,56,0.84,21945,7.42,0.745,v3,class1
2.8,52909,39.7,3.26,22000,0.498,73,72,4.67,9.1,53.2,v2,0.675,74.7,5694,756,0.802,5.91,0.7,607,26.3,0.19,2.77,78.7,7.77,0.381,0.433,0.78,9.1,0.27,v1,48.5,0.55,73.4,55.5,0.81,14002,8.06,0.686,v1,class3
3.57,46404,39.9,2.02,20070,0.464,79.6,89,4.26,5.8,51.6,v2,0.64,75,4618,757,0.459,6.08,0.31,286,26.3,0.25,2.22,86.9,8.71,0.267,0.468,0.88,9.22,0.6,v2,59.3,0.35,37.3,67.2,0.87,52268,7.11,0.756,v1,class3
2.7,54554,45.3,2.48,37145,0.408,78.6,82,4.3,9.5,51.5,v2,0.686,93.7,6667,746,0.394,4.14,0.71,430,25.4,0.25,1.13,85,7.18,0.357,0.582,0.57,9.39,0.31,v2,53.7,0.44,18.4,59.3,0.66,14600,6.51,0.758,v3,class7
2.06,46710,32.1,2.74,20992,0.276,73.4,91,4.68,8.3,55.3,v1,0.864,95.3,7479,749,0.632,5.19,0.56,747,32.8,0.37,2.98,79,6.69,0.781,0.583,0.62,9.08,0.4,v2,58.2,0.54,59.8,65.1,0.33,57523,7.29,0.756,v3,class1
2.68,56373,46,2.38,55068,0.156,72.8,83,4.59,9.3,55.9,v1,0.859,95.8,6685,768,0.649,3.85,0.6,642,27.1,0.27,2.67,88.1,6.97,0.118,0.522,0.57,9.09,0.6,v1,53.9,0.38,61,70.8,0.35,16075,7.15,0.839,v1,class2
3.73,56354,37.6,2.48,24148,0.316,71.8,54,4.63,8.4,52.1,v1,0.557,95.7,6553,801,0.813,5.26,0.15,610,25.3,0.45,1.99,92.5,7,0.716,0.449,0.9,9.07,0.52,v2,57.5,0.35,60.8,65.2,0.59,79939,7.19,0.764,v2,class3
3.6,54376,31.2,0.63,24395,0.493,73.1,69,4.67,3.6,52.3,v1,0.647,75.2,4759,772,0.792,3.82,0.47,816,26.2,0.23,1.17,83.6,7.07,0.22,0.435,0.95,9.16,0.42,v2,58.4,0.35,85.7,60.9,0.65,82046,6.58,0.736,v1,class2
3.71,55085,37.2,1.83,90269,0.164,78.6,93,4.59,9.2,50.2,v2,0.863,98.7,4920,770,0.647,6.3,0.37,532,30.5,0.28,4.1,79.9,8.73,0.826,0.537,0.83,9.68,0.58,v2,60.8,0.35,60.4,57.5,0.65,15824,6.96,0.702,v1,class3
3.81,49074,16.4,1.84,59551,0.498,72.7,64,4.4,8.3,52.4,v1,0.678,45.3,6207,755,0.325,3.55,0.49,349,31.8,0.22,2.36,77.5,7.95,0.238,0.365,0.66,9.52,0.27,v1,56.6,0.45,67,64.8,0.35,23435,7.04,0.719,v3,class6
3.69,53068,39.3,2.31,20928,0.415,76.7,94,4.63,6.9,52.7,v1,0.668,76.1,4314,810,0.616,3.61,0.68,756,24.9,0.47,3.24,98.3,6.9,0.203,0.441,0.49,9.46,0.29,v1,59.4,0.48,73.9,56.1,0.75,75771,6.86,0.844,v1,class8
3.85,54857,39.8,0.38,30286,0.315,77.9,87,4.42,8.7,50.2,v2,0.646,81.1,7258,741,0.568,6.24,0.42,812,33.2,0.25,0.73,85.1,6.92,0.253,0.355,0.67,9.76,0.26,v2,59.3,0.34,20.6,63.3,0.54,48718,6.58,0.802,v1,class4
3.25,54327,27.6,2.28,34036,0.303,77.4,94,4.67,5.7,53.6,v1,0.594,83.5,4949,754,0.428,4.64,0.14,701,24.2,0.46,3.27,65.7,7.96,0.27,0.446,0.92,9.08,0.22,v1,49.3,0.38,38,72,0.45,57435,6.59,0.851,v3,class2
3.77,53080,36.3,1.86,22837,0.315,80.1,86,4.44,3.8,53.7,v1,0.749,79.6,4682,786,0.248,4.06,0.53,815,31.7,0.21,4.04,83.9,6.85,0.77,0.484,0.84,9.12,0.54,v2,60.8,0.47,20.5,55,0.64,44524,7.55,0.733,v1,class3
3.6,56580,38.5,2.58,53486,0.495,78.8,68,4.29,6.2,54.1,v1,0.828,98.1,7244,766,0.648,6,0.68,725,28.3,0.16,3.69,93.6,7.19,0.713,0.609,0.62,9.58,0.61,v2,52.2,0.52,71.5,57,0.77,16496,7.59,0.732,v3,class4
2.42,54596,28.2,0.29,84586,0.419,71.6,85,4.61,4.2,55.1,v2,0.683,94,6988,803,0.298,6.05,0.73,313,27.8,0.46,3.76,75.7,6.75,0.103,0.354,0.87,9.46,0.52,v1,61.3,0.58,71.3,63.9,0.89,37377,7.02,0.847,v3,class3
2.98,49132,25.6,1.92,26909,0.239,77.8,94,4.47,4.2,51.8,v1,0.864,98.7,6059,741,0.643,3.18,0.15,815,32.4,0.23,2.33,70.6,6.71,0.168,0.377,0.95,9.04,0.31,v1,48.8,0.57,24.9,60.2,0.63,57779,7.18,0.715,v3,class6
3.32,50500,26,0.67,88506,0.316,84.9,58,4.64,9.4,50.9,v2,0.647,96.4,6308,746,0.373,6.37,0.69,649,34.6,0.24,3.7,90.5,6.75,0.827,0.36,0.84,9.16,0.35,v2,50.8,0.44,18,59.3,0.64,57305,6.58,0.839,v1,class6
1.86,48740,36.7,0.63,35804,0.158,74.4,87,4.65,4.3,50.9,v2,0.672,98,4420,746,0.252,6.1,0.44,814,28.3,0.47,3.31,85.6,7.42,0.163,0.606,0.93,9.04,0.3,v2,55.4,0.43,23.9,57.7,0.35,22659,6.6,0.772,v1,class2
3.86,46700,39.9,0.47,58143,0.271,72.2,69,4.32,3.4,53,v2,0.831,77.1,6005,763,0.645,5.3,0.71,227,26.3,0.25,1.54,78.9,6.84,0.261,0.397,0.97,9.61,0.23,v1,58,0.43,19.2,70.2,0.83,40052,8.18,0.705,v1,class7
3.48,56593,17.1,0.78,80778,0.166,78.8,74,4.51,7.7,52.9,v1,0.648,96.4,4970,797,0.642,5.95,0.71,238,24.7,0.23,3.85,80.8,7.28,0.158,0.49,0.89,9.05,0.42,v1,60.8,0.38,70.6,67.8,0.8,58190,7.3,0.828,v3,class4
3.88,52363,40.9,2.62,20652,0.164,72.8,82,4.61,7.8,50.2,v1,0.487,96.2,5093,746,0.646,4.26,0.63,427,24.2,0.26,3.37,85.4,6.95,0.264,0.497,0.54,9.3,0.46,v1,60.6,0.5,27.7,72.9,0.26,59022,6.65,0.818,v2,class8
3.45,56374,36.1,1.98,19584,0.498,78.3,89,4.36,4.6,53.5,v1,0.863,97.4,7245,784,0.642,6.2,0.72,821,32.9,0.17,1.86,87.2,8.18,0.727,0.623,0.92,9.85,0.3,v2,54,0.34,67.7,70.5,0.64,53587,7.42,0.811,v2,class3
2.1,49440,24.9,2.92,50826,0.315,78.4,67,4.69,8,50.2,v1,0.864,75.9,7285,742,0.243,5.38,0.53,777,28.2,0.45,0.55,87.9,7.3,0.747,0.625,0.43,9.11,0.4,v1,56.4,0.44,59.6,63.1,0.44,52657,6.81,0.759,v3,class5
3.68,49698,51.1,1.68,19653,0.316,80.9,84,4.31,7.4,52.1,v2,0.696,43.7,5490,764,0.609,5.31,0.36,605,26.3,0.24,0.91,94.8,6.97,0.23,0.624,0.66,9.85,0.26,v1,62.2,0.48,59.7,66.7,0.59,25508,7.27,0.752,v2,class3
2.57,55325,28.1,1.51,89205,0.162,74.1,87,4.38,9,51.9,v1,0.731,93.9,6997,804,0.632,6.03,0.37,708,24.2,0.47,3.08,80,8.08,0.558,0.464,0.87,9.13,0.6,v2,60.5,0.43,67,58.5,0.87,53822,7.6,0.762,v2,class3
3.32,54196,37.1,2.44,24443,0.157,77.8,55,4.65,7.9,52.2,v2,0.84,76.5,6357,747,0.643,5.39,0.64,607,29.5,0.25,3.88,82.8,6.68,0.456,0.437,0.63,9.05,0.38,v2,60.7,0.41,69.8,70.3,0.58,54260,6.44,0.719,v1,class4
3.58,53342,12.1,2.09,24512,0.231,77.7,77,4.7,9.3,55.4,v2,0.697,83.5,6625,802,0.493,4.94,0.47,598,23.9,0.43,1.41,88.7,7.42,0.236,0.554,0.74,9.76,0.44,v2,59.9,0.44,66.1,61.3,0.59,57354,7.19,0.698,v3,class5
3.4,52399,31.6,1.4,22078,0.423,85.3,71,4.58,9,52.9,v1,0.822,43.9,4347,760,0.619,6.34,0.62,449,24.4,0.32,0.54,86.3,7,0.389,0.345,0.94,9.15,0.6,v2,61,0.44,63.2,71.6,0.46,16430,7.44,0.742,v3,class5
2.84,46668,32.8,0.59,72337,0.171,72.7,87,4.49,8.6,50.2,v1,0.738,95.6,5717,771,0.299,4.32,0.33,608,26.2,0.27,3.48,93.2,6.69,0.551,0.394,0.86,9.36,0.5,v1,54,0.61,18.9,55,0.33,16591,7.08,0.836,v3,class2
2.28,46366,34.4,1.84,87395,0.171,79.7,90,4.24,8.4,51.5,v1,0.66,92.7,5898,809,0.246,5.86,0.48,818,24.1,0.47,4.14,72,7.02,0.958,0.501,0.89,8.85,0.23,v2,58.6,0.46,72.9,63.6,0.88,34496,7.79,0.722,v3,class3
3.31,53255,51.3,0.72,40832,0.359,72.8,94,4.33,8.9,51.7,v1,0.7,87.7,7494,756,0.251,6.03,0.44,823,24.3,0.3,1.15,82.6,6.78,0.221,0.447,0.56,9.08,0.46,v1,49.7,0.43,72.2,60.9,0.78,53673,7.63,0.693,v3,class4
3.51,54427,39.9,3.09,29406,0.316,73.5,78,4.48,8.4,52.8,v1,0.621,74.5,7477,749,0.325,6.01,0.45,607,25.7,0.24,2.33,67.8,6.87,0.437,0.463,0.6,8.45,0.46,v2,61.9,0.41,72.3,55.4,0.7,45993,7.46,0.825,v3,class3
2.76,54274,30.2,0.46,55490,0.16,78.7,55,4.52,9.2,52.8,v1,0.668,76.7,5264,804,0.632,5.79,0.64,815,32.9,0.3,0.49,87.3,6.79,0.291,0.507,0.81,9.15,0.5,v2,58.9,0.35,24.5,61,0.59,65757,7.22,0.717,v1,class1
3.31,47188,12.6,2.12,47654,0.237,72,73,4.48,9,52.2,v1,0.656,98.8,7354,799,0.361,6.03,0.64,414,25.5,0.28,2.71,81.5,7.5,0.835,0.353,0.92,9.12,0.31,v1,55.1,0.45,63.4,55.4,0.89,58518,6.98,0.726,v3,class4
2.78,53462,48.3,1.9,96739,0.169,78.9,53,4.63,4.5,50.2,v1,0.687,77.2,5676,805,0.439,6.27,0.68,605,34.4,0.29,4.09,80.9,7.34,0.266,0.468,0.95,9.04,0.25,v1,59.7,0.57,21.8,67.9,0.41,72793,8.15,0.689,v1,class3
1.34,53976,15.9,3.33,93861,0.315,81.8,58,4.64,7.8,50.4,v2,0.644,80.9,6381,808,0.443,6.25,0.62,605,26,0.25,3.56,92.8,7.22,0.771,0.607,0.74,9.4,0.46,v2,60.7,0.36,50.7,57.4,0.32,22212,7.17,0.815,v1,class6
3.84,52817,34.3,1.23,59666,0.315,77.7,93,4.48,3.9,50.2,v2,0.693,80.8,4331,744,0.238,4.64,0.56,811,34.1,0.43,0.88,78.5,6.69,0.812,0.533,0.67,9.59,0.5,v1,50.6,0.45,30.5,69.3,0.25,14992,7.95,0.746,v1,class7
3.53,49449,39.8,2.31,52116,0.495,81.7,72,4.55,4.9,50.7,v2,0.712,84.4,4700,760,0.822,5.49,0.49,243,24.4,0.42,3.75,78.6,7.06,0.165,0.345,0.73,9.58,0.34,v2,49.6,0.61,78.2,71.5,0.85,18999,8.22,0.735,v2,class5
3.85,55727,40,2.1,90621,0.316,83.9,75,4.7,5.1,53.7,v1,0.689,67.6,7393,761,0.241,6.31,0.14,584,29.1,0.23,3.74,77.4,6.69,0.169,0.588,0.57,9.12,0.54,v2,61.2,0.44,67.5,66.5,0.21,44773,7.38,0.796,v3,class5
2.44,53354,29.6,1.85,53469,0.495,76.9,89,4.65,7.7,52.7,v1,0.759,96.1,7097,761,0.59,6.03,0.17,743,29.5,0.28,1.55,80.7,6.8,0.775,0.46,0.92,8.37,0.33,v1,55.3,0.4,60.6,64.9,0.76,56743,7.58,0.765,v2,class1
3.86,54753,38.2,2.52,83666,0.496,74.2,84,4.6,7.5,54.7,v2,0.677,96.5,7234,797,0.647,3.77,0.68,818,29,0.23,3.54,94.8,6.71,0.81,0.582,0.56,9.09,0.3,v2,59.2,0.37,23.4,67.8,0.68,58046,7.49,0.83,v1,class3
2.72,53724,39.8,1.9,40826,0.281,80.6,51,4.58,5.8,50.3,v1,0.523,75.7,6604,740,0.648,4.7,0.58,598,33.7,0.26,1.14,93.9,6.99,0.541,0.503,0.47,8.78,0.26,v2,61.7,0.43,70.8,57,0.3,19596,7.25,0.785,v1,class7
1.86,52826,16.4,1.84,63144,0.496,78,81,4.32,7.9,50.2,v1,0.679,75.9,5831,763,0.401,4.63,0.45,812,31.4,0.21,4,86.7,7.12,0.152,0.479,0.98,8.81,0.29,v2,58.9,0.43,69.6,70.2,0.52,24131,7.98,0.847,v3,class3
