%%  Source:
%%  
%%  Muhammad Usman & Adeel Ahmed, usman.madspot '@' gmail.com adeel.ahmed92 
%%  '@' gmail.com, Air University, Students at Air University.
%%  
%%  
%%  Data Set Information:
%%  
%%  Style,  Price,  Rating, Size,   Season, NeckLine,   SleeveLength,   waiseline,  
%%  Material,   FabricType, Decoration, Pattern, Type,  Recommendation are Attributes
%%  in dataset. 
%%  
%%  
%%  Attribute Information:
%%  
%%  Style: Bohemia,brief,casual,cute,fashion,flare,novelty,OL,party,sexy,vintage,work. 
%%  Price:Low,Average,Medium,High,Very-High 
%%  Rating:1-5 
%%  Size:S,M,L,XL,Free  
%%  Season:Autumn,winter,Spring,Summer 
%%  NeckLine:O-neck,backless,board-neck,Bowneck,halter,mandarin-collor,open,peterpan-collor,
%%  ruffled,scoop,slash-neck,square-collar,sweetheart,turndowncollar,V-neck. 
%%  SleeveLength:full,half,halfsleeves,butterfly,sleveless,short,threequarter,turndown,null 
%%  waiseline:dropped,empire,natural,princess,null. 
%%  Material:wool,cotton,mix etc    
%%  FabricType:shafoon,dobby,popline,satin,knitted,jersey,flannel,corduroy etc 
%%  Decoration:applique,beading,bow,button,cascading,crystal,draped,embroridary,feathers,
%%  flowers etc. Pattern type: solid,animal,dot,leapard etc 
%%  Recommendation:0,1 

@relation dresses-sales

@attribute V2 {bohemian,Brief,Casual,cute,fashion,Flare,Novelty,OL,party,sexy,Sexy,vintage,work}
@attribute V3 {'?',Average,high,High,low,Low,Medium,very-high}
@attribute V4 numeric
@attribute V5 {free,L,M,s,S,small,XL}
@attribute V6 {'?',Automn,Autumn,spring,Spring,summer,Summer,winter,Winter}
@attribute V7 {'?',backless,boat-neck,bowneck,halter,mandarin-collor,o-neck,open,peterpan-collor,ruffled,Scoop,slash-neck,sqare-collor,sweetheart,Sweetheart,turndowncollor,v-neck}
@attribute V8 {'?',butterfly,capsleeves,cap-sleeves,full,half,halfsleeve,Petal,short,sleeevless,sleeveless,sleevless,sleveless,threequarter,threequater,thressqatar,turndowncollor,urndowncollor}
@attribute V9 {'?',dropped,empire,natural,princess}
@attribute V10 {'?',acrylic,cashmere,chiffonfabric,cotton,knitting,lace,linen,lycra,microfiber,milksilk,mix,modal,model,nylon,other,polyster,rayon,shiffon,silk,sill,spandex,viscos,wool}
@attribute V11 {'?',batik,broadcloth,chiffon,Corduroy,dobby,flannael,flannel,jersey,knitted,knitting,lace,organza,other,poplin,satin,sattin,shiffon,terry,tulle,wollen,woolen,worsted}
@attribute V12 {'?',applique,beading,bow,button,cascading,crystal,draped,embroidary,feathers,flowers,hollowout,lace,none,pearls,plain,pleat,pockets,rivet,ruched,ruffles,sashes,sequined,tassel,Tiered}
@attribute V13 {'?',animal,character,dot,floral,geometric,leapord,leopard,none,patchwork,plaid,print,solid,splice,striped}
@attribute Class {1,2}

@data
Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,1
Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,'?','?',bow,solid,2
party,High,4.7,M,Spring,o-neck,threequarter,'?','?','?','?',print,1
Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,'?','?',patchwork,2
vintage,Average,4.6,free,Winter,o-neck,full,natural,'?',chiffon,'?',print,2
Brief,Average,0,M,Automn,o-neck,short,natural,cotton,'?','?',print,1
party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,'?',lace,solid,2
Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,'?',button,solid,2
Brief,Average,5,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,2
Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,1
Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,1
Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,'?','?',print,1
vintage,Average,4.8,M,Winter,o-neck,sleevless,natural,cotton,'?','?',patchwork,2
Sexy,Average,0,M,Winter,o-neck,short,natural,'?','?',lace,solid,1
Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,'?',lace,geometric,1
Casual,Average,0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,2
Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,'?','?',solid,1
Casual,Medium,0,L,Winter,boat-neck,full,empire,'?','?','?',solid,2
Sexy,Low,5,free,Summer,v-neck,sleevless,empire,'?',chiffon,'?',animal,2
Casual,Low,4.3,free,Summer,o-neck,sleevless,'?',milksilk,'?','?',animal,1
Casual,Average,0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,2
Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,2
sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,'?',lace,geometric,1
Novelty,Average,0,S,Winter,turndowncollor,full,natural,cotton,'?','?',patchwork,1
Casual,Average,4.9,S,Winter,turndowncollor,full,natural,cotton,'?','?',solid,2
sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,'?','?',lace,solid,2
bohemian,Low,4.5,M,Summer,v-neck,sleevless,natural,polyster,'?','?',print,2
work,Average,0,M,Automn,slash-neck,sleevless,natural,polyster,'?',bow,patchwork,1
cute,High,0,M,Spring,v-neck,full,natural,rayon,'?','?',solid,2
Casual,Average,0,free,Spring,o-neck,short,natural,cotton,'?',hollowout,plaid,1
Casual,Average,5,M,Summer,o-neck,short,empire,polyster,chiffon,'?',animal,1
Casual,Average,4.7,M,spring,o-neck,sleevless,natural,'?',chiffon,sashes,solid,1
Sexy,Low,4,S,Automn,o-neck,sleevless,empire,cotton,'?','?',solid,2
Casual,Average,5,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid,1
Casual,Low,0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,1
Casual,Medium,4.5,S,Winter,o-neck,full,natural,polyster,'?','?',patchwork,2
work,Average,4.8,L,Summer,v-neck,short,natural,polyster,'?',hollowout,solid,1
Casual,Medium,0,M,Automn,v-neck,short,empire,polyster,'?','?',solid,1
bohemian,Average,5,free,Summer,v-neck,sleevless,natural,cotton,batik,'?',print,2
sexy,Low,0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,2
Sexy,Average,4.2,M,Winter,v-neck,sleevless,natural,cotton,flannael,'?',solid,1
Casual,Low,4.8,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid,1
Casual,Low,4.4,S,Automn,o-neck,sleevless,natural,polyster,'?','?',solid,1
Casual,Low,4.7,L,Spring,o-neck,short,'?',chiffonfabric,chiffon,bow,dot,1
Casual,Average,5,XL,Winter,boat-neck,full,'?',cotton,'?','?',geometric,2
Casual,Low,0,free,Spring,v-neck,sleevless,'?',cotton,'?','?',print,1
Casual,Average,0,free,Spring,o-neck,sleevless,natural,'?',chiffon,'?',solid,1
bohemian,very-high,4.7,free,Winter,v-neck,sleevless,'?',polyster,'?','?','?',2
Casual,Low,5,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal,1
party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,1
Sexy,Low,5,free,Spring,o-neck,full,natural,cotton,worsted,'?',striped,1
vintage,Low,4.6,M,Summer,o-neck,short,natural,'?',chiffon,'?',print,1
Casual,Average,0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,1
Casual,low,4.9,L,Summer,boat-neck,short,'?','?',chiffon,'?',patchwork,2
Casual,Low,0,S,Automn,o-neck,full,natural,'?','?',beading,solid,2
Sexy,Average,4,S,Automn,v-neck,sleevless,'?',rayon,chiffon,'?',patchwork,2
Sexy,Low,5,M,Automn,o-neck,full,natural,'?',chiffon,lace,print,2
Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,'?',cotton,'?','?',solid,1
Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,'?',applique,patchwork,2
Casual,Average,4.8,L,Winter,o-neck,short,natural,cotton,'?',pockets,solid,2
OL,Medium,0,M,Winter,mandarin-collor,halfsleeve,natural,cotton,'?',sashes,solid,1
Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,'?','?',solid,1
Casual,Medium,0,S,Spring,v-neck,full,'?','?','?','?',animal,2
Casual,Medium,0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,2
Casual,Average,0,M,Spring,o-neck,sleevless,natural,silk,'?','?',print,1
Casual,Average,0,free,Winter,v-neck,full,natural,'?',chiffon,ruffles,print,1
vintage,Low,4.8,S,Summer,o-neck,short,natural,'?',chiffon,ruffles,print,1
Sexy,Low,4.8,L,Summer,v-neck,full,natural,cotton,jersey,applique,print,2
fashion,Average,4,free,Summer,open,full,'?',cotton,'?',sequined,solid,1
Casual,Average,4.7,L,Summer,v-neck,short,natural,'?','?','?',print,2
Casual,Low,0,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,'?',patchwork,2
bohemian,Low,4.8,free,Summer,o-neck,short,'?','?','?','?',animal,2
work,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,'?',Tiered,solid,1
vintage,Average,4.7,L,Summer,o-neck,short,natural,cotton,'?',button,solid,1
cute,Low,4.7,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,2
Casual,Low,4.6,free,Automn,o-neck,full,natural,cotton,'?','?',solid,2
Casual,Medium,0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid,2
Casual,Average,4.7,L,Automn,o-neck,halfsleeve,'?','?','?',lace,'?',1
Sexy,Average,0,L,Automn,v-neck,sleevless,empire,'?',chiffon,'?',patchwork,1
Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,'?',solid,2
Casual,Average,0,M,Automn,o-neck,short,empire,polyster,'?',applique,print,1
cute,Average,4.8,L,Automn,slash-neck,sleevless,natural,'?',chiffon,hollowout,solid,1
party,Average,5,M,Spring,o-neck,halfsleeve,natural,'?','?','?','?',2
cute,Average,4.3,L,Winter,o-neck,sleevless,natural,'?',chiffon,'?',solid,1
Casual,Average,4.5,L,Spring,o-neck,short,natural,cotton,chiffon,'?',patchwork,1
Casual,Low,4.7,L,Automn,o-neck,full,'?',cotton,chiffon,lace,print,1
Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid,1
sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid,2
work,Average,4.8,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid,1
vintage,Average,0,free,Summer,o-neck,sleevless,'?','?','?','?','?',1
Sexy,Low,4.6,free,Spring,o-neck,full,natural,'?','?',lace,leopard,2
Sexy,Low,0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,'?',solid,2
work,Average,4.6,L,Spring,o-neck,short,empire,cotton,jersey,'?',patchwork,1
Casual,Average,4.4,M,Summer,o-neck,short,empire,'?','?',lace,patchwork,1
cute,Low,4.9,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,1
Sexy,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,1
party,Average,4.4,free,Automn,v-neck,threequarter,natural,'?','?','?',solid,1
Casual,Average,0,free,Spring,o-neck,short,'?',cotton,'?',lace,'?',2
Casual,Low,0,M,Summer,v-neck,full,natural,acrylic,'?',lace,solid,1
Sexy,Average,4.6,M,Winter,o-neck,full,natural,polyster,'?','?',patchwork,2
work,Average,4.6,M,Spring,v-neck,full,'?','?',chiffon,'?','?',1
cute,Average,4.7,L,Winter,o-neck,sleevless,natural,chiffonfabric,'?',lace,solid,1
bohemian,Average,4.7,L,Automn,o-neck,sleevless,natural,'?',chiffon,'?',solid,1
cute,High,0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,1
Casual,Average,0,XL,Winter,o-neck,short,empire,polyster,'?',button,solid,1
Novelty,Average,4.9,L,Automn,o-neck,short,natural,polyster,chiffon,'?',print,2
Casual,Low,4.7,M,Automn,o-neck,full,'?',cotton,'?','?',solid,1
cute,Average,4.3,free,Summer,boat-neck,sleevless,'?','?','?','?','?',2
Sexy,Low,0,free,Automn,slash-neck,short,empire,'?','?',hollowout,solid,1
cute,Low,4.7,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,1
Sexy,low,4.5,L,Spring,o-neck,sleevless,'?','?','?',lace,solid,1
Casual,Average,4.7,M,Automn,o-neck,sleevless,'?',cotton,'?','?',animal,2
Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,'?',lace,solid,2
cute,low,4.7,free,Summer,o-neck,sleevless,'?','?',chiffon,'?',print,2
Casual,low,4.4,free,Summer,turndowncollor,sleevless,natural,cotton,'?','?',solid,1
Casual,Average,4.8,L,winter,v-neck,short,empire,polyster,'?',ruffles,solid,1
vintage,Average,4.3,free,winter,o-neck,short,'?',chiffonfabric,chiffon,'?',print,1
cute,low,4.5,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,2
Casual,Average,4.4,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,'?',solid,1
vintage,Medium,0,S,Winter,turndowncollor,halfsleeve,natural,cotton,broadcloth,'?',plaid,1
Sexy,low,4.7,free,Summer,turndowncollor,sleevless,natural,cotton,'?','?',solid,2
vintage,High,0,L,Summer,o-neck,short,natural,cotton,'?','?',print,1
Casual,low,0,free,Spring,v-neck,threequarter,'?',silk,'?',lace,'?',2
Sexy,Average,0,S,Automn,slash-neck,short,natural,'?','?',lace,solid,1
Casual,Low,0,free,Spring,o-neck,short,natural,'?','?',hollowout,solid,1
cute,Medium,5,free,Winter,o-neck,sleevless,natural,silk,'?',lace,solid,2
Casual,Low,4.7,free,Summer,o-neck,sleevless,'?','?','?','?',print,1
Sexy,Low,4.8,free,Spring,v-neck,sleevless,'?','?','?',sequined,solid,2
Casual,Average,4.5,L,Winter,o-neck,short,natural,cotton,'?',bow,patchwork,1
vintage,Average,0,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,1
Casual,Average,3.7,free,Automn,boat-neck,full,'?','?','?','?',solid,2
vintage,Average,4.8,L,Winter,o-neck,sleevless,natural,cotton,'?','?',patchwork,1
cute,Average,0,XL,Spring,boat-neck,full,'?',cotton,worsted,applique,dot,2
Casual,Average,0,L,Winter,open,short,natural,mix,poplin,applique,solid,2
sexy,Medium,5,M,Winter,o-neck,sleevless,empire,polyster,'?',bow,solid,1
Brief,Average,4.9,free,Summer,slash-neck,sleevless,natural,'?','?','?',solid,1
Casual,High,4.9,S,Spring,o-neck,threequarter,natural,'?','?','?',dot,2
Brief,Average,4.6,free,Winter,o-neck,full,natural,mix,'?',sashes,solid,1
Casual,Low,4.5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid,1
Casual,Low,4.8,XL,Summer,o-neck,short,empire,mix,chiffon,sashes,geometric,1
Sexy,Medium,4.6,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid,1
Casual,Average,4.5,M,Winter,v-neck,sleevless,natural,'?',chiffon,button,striped,1
work,Average,0,S,Automn,o-neck,sleevless,natural,linen,'?','?',patchwork,1
Casual,Low,0,L,Winter,o-neck,sleevless,empire,polyster,'?','?',leopard,1
cute,low,5,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,1
Brief,Average,4.3,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork,2
Sexy,low,4.4,free,Automn,o-neck,full,empire,cotton,'?','?',leopard,1
cute,low,0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,1
Casual,Average,4.5,free,Summer,o-neck,short,natural,cotton,'?','?',solid,2
Sexy,low,4.7,M,Winter,slash-neck,sleevless,'?',nylon,'?',sashes,solid,2
Casual,low,4.7,free,Spring,o-neck,sleevless,empire,cotton,chiffon,'?',floral,1
Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork,1
Sexy,low,4.3,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,2
bohemian,Average,0,L,Winter,turndowncollor,full,natural,mix,'?','?',solid,1
Casual,Low,0,free,'?',o-neck,full,natural,cotton,'?','?',patchwork,1
cute,Medium,4.8,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid,2
Sexy,Average,0,S,Automn,v-neck,sleevless,empire,cotton,'?',beading,solid,1
Casual,Low,4.6,S,Spring,o-neck,full,natural,cotton,'?','?',solid,2
vintage,Medium,4.7,free,Spring,turndowncollor,sleevless,natural,mix,'?',lace,solid,2
work,low,4.7,free,Summer,o-neck,full,empire,cotton,'?','?',solid,1
cute,Average,4.8,M,Summer,o-neck,short,natural,cotton,'?',rivet,solid,1
cute,Average,0,M,Summer,o-neck,short,natural,cotton,chiffon,'?',print,1
Casual,Average,4.7,M,winter,o-neck,full,'?','?','?','?',animal,1
Casual,low,4.6,free,winter,o-neck,full,natural,polyster,'?',applique,solid,2
party,Average,5,free,Summer,v-neck,sleevless,'?','?','?','?','?',1
Casual,Average,0,free,Summer,v-neck,sleevless,natural,cotton,chiffon,'?',patchwork,1
Sexy,Average,5,L,winter,o-neck,threequarter,natural,polyster,'?',lace,geometric,1
Sexy,Average,4.8,free,Winter,o-neck,sleevless,natural,polyster,'?',embroidary,solid,1
Casual,Average,4.7,S,Summer,v-neck,short,natural,cotton,'?','?',dot,1
Casual,Average,4.1,M,Automn,v-neck,full,'?','?',chiffon,sashes,'?',2
Casual,Average,5,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,'?','?',1
Sexy,Average,5,M,Summer,v-neck,sleevless,empire,cotton,'?',sequined,solid,2
work,Average,4.6,L,Summer,slash-neck,short,natural,cotton,'?','?',solid,1
Casual,Average,4.5,M,Summer,peterpan-collor,sleevless,'?','?','?','?','?',1
vintage,Average,4.5,L,Automn,o-neck,sleevless,empire,'?',worsted,'?',solid,1
Casual,Average,0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,'?',solid,2
cute,Average,4.7,L,Summer,o-neck,sleevless,natural,cotton,worsted,'?',print,1
bohemian,Low,4.7,free,Winter,o-neck,short,natural,nylon,'?',sashes,print,1
Casual,low,5,free,Spring,slash-neck,sleevless,empire,spandex,'?','?',striped,2
Casual,Average,5,M,Winter,o-neck,sleevless,natural,'?',chiffon,sashes,solid,2
Casual,Average,4.3,free,Summer,o-neck,sleevless,natural,cotton,worsted,'?',striped,1
work,low,4.5,M,Winter,v-neck,threequarter,'?','?','?','?',patchwork,1
Casual,Average,4.3,S,Spring,boat-neck,full,natural,cotton,'?',lace,patchwork,2
Casual,Average,4.4,L,Automn,o-neck,halfsleeve,natural,'?',dobby,lace,animal,1
sexy,Low,4.3,M,Automn,open,short,natural,lace,'?',lace,print,1
Casual,Low,4.6,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,2
Casual,low,4.6,L,Winter,o-neck,full,'?',cotton,'?','?','?',1
Casual,Average,4.6,M,Spring,o-neck,sleevless,natural,'?',chiffon,sashes,solid,2
Casual,low,0,free,Automn,peterpan-collor,threequarter,empire,'?','?','?','?',1
Casual,Average,4.7,S,Spring,o-neck,halfsleeve,empire,'?',chiffon,'?','?',2
Casual,Average,0,S,Summer,o-neck,sleevless,empire,cotton,'?','?',solid,1
Casual,low,4.8,free,Summer,o-neck,sleevless,natural,cotton,'?','?',print,2
Casual,Average,5,S,Winter,o-neck,sleevless,empire,polyster,chiffon,'?',plaid,1
Sexy,very-high,0,free,Winter,v-neck,sleevless,natural,polyster,knitting,'?',solid,1
Casual,low,4.4,free,Summer,o-neck,sleevless,natural,polyster,'?',sashes,print,1
Casual,Average,4.8,M,Automn,v-neck,short,'?','?',chiffon,embroidary,print,2
Casual,Average,5,free,Summer,v-neck,sleevless,'?',modal,'?','?',patchwork,1
Sexy,low,4.8,M,Automn,v-neck,full,natural,cotton,'?','?',print,2
Casual,Average,4.6,free,Winter,v-neck,full,natural,cotton,flannel,'?',striped,1
Casual,Average,4.6,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,'?','?',1
Casual,low,5,S,Spring,o-neck,sleevless,natural,chiffonfabric,'?','?',print,1
cute,Average,0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,1
Casual,low,4.8,free,Spring,o-neck,sleevless,'?',chiffonfabric,chiffon,'?',print,2
Casual,Average,4.6,M,Automn,o-neck,short,empire,polyster,'?',applique,dot,1
bohemian,Average,5,M,Spring,slash-neck,sleevless,empire,'?',chiffon,ruffles,solid,2
Casual,Low,4.9,free,winter,o-neck,sleevless,empire,silk,'?',sashes,print,2
Casual,Average,4.7,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,1
Casual,Medium,4.6,M,winter,o-neck,full,natural,cashmere,'?','?',solid,2
Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,1
Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,'?',patchwork,1
Casual,Average,3.5,M,winter,v-neck,short,natural,'?','?','?',solid,1
Casual,Average,4.8,M,winter,o-neck,threequarter,natural,'?','?','?',print,2
Casual,Average,0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,2
Casual,low,4.6,M,Summer,o-neck,sleevless,natural,cotton,'?',sashes,striped,1
Casual,Average,4.7,L,Spring,v-neck,halfsleeve,natural,'?',broadcloth,'?',print,2
Casual,low,4.5,free,Summer,o-neck,full,natural,cotton,'?',button,solid,1
Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,'?','?',character,1
Casual,low,4.5,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,'?',solid,1
Casual,low,4.7,S,summer,o-neck,full,natural,cotton,'?','?',patchwork,1
cute,Low,0,free,Summer,boat-neck,sleevless,'?',cotton,'?','?',print,1
party,very-high,5,M,Spring,slash-neck,sleevless,natural,chiffonfabric,chiffon,flowers,'?',2
Casual,Average,4.9,M,Automn,v-neck,sleevless,'?',polyster,'?','?','?',2
party,very-high,0,L,Winter,v-neck,sleevless,natural,polyster,tulle,beading,'?',1
