@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute Class {1,2,3,4}

@data
0.791,0.751,2
0.798,0.743,2
0.811,0.836,2
1.824,0.835,1
1.821,0.371,4
1.817,0.363,4
1.816,0.357,4
1.814,0.357,4
1.813,0.357,4
1.813,0.357,4
1.81,0.357,4
1.81,0.356,4
1.81,0.356,4
0.963,0.356,4
1.81,0.356,4
0.957,0.357,4
1.799,0.357,4
0.937,0.358,4
0.93,0.362,4
0.919,0.747,1
0.912,0.746,1
0.905,0.742,1
0.9,0.738,2
0.898,0.734,2
1.727,0.383,4
2.715,0.374,4
2.094,0.374,4
2.693,0.378,4
2.681,0.386,4
2.67,0.7,1
2.66,0.697,1
2.651,0.693,1
2.644,0.69,1
2.634,0.687,1
2.622,0.683,1
2.618,0.68,1
2.595,0.676,1
1.567,0.672,1
1.557,0.668,1
1.537,0.664,1
2.528,0.66,1
1.499,0.655,1
1.478,0.651,1
1.459,0.647,1
1.441,0.538,1
1.422,0.64,1
1.407,0.636,1
1.388,0.632,1
1.369,0.628,1
1.35,0.624,1
1.331,0.62,1
1.309,0.616,1
1.294,0.612,1
1.275,0.608,1
2.249,0.604,1
2.23,0.599,1
2.21,0.595,1
2.191,0.589,1
2.171,0.585,1
2.151,0.583,1
2.131,0.58,1
2.111,0.576,1
2.092,0.572,1
2.072,0.568,1
2.053,0.564,1
2.034,0.561,1
2.014,0.557,1
1.994,0.553,1
1.975,0.549,1
1.955,0.545,1
1.935,0.541,1
1.916,0.537,1
1.897,0.533,1
1.878,0.53,1
1.859,0.526,1
1.84,0.522,1
1.822,0.518,1
0.584,0.515,2
0.577,0.511,2
0.577,0.507,2
0.573,0.504,2
0.79,0.5,2
0.777,0.497,2
0.765,0.494,2
0.76,0.491,2
0.761,0.49,2
0.769,0.49,2
0.77,0.489,2
0.773,0.49,2
0.773,0.489,2
0.77,0.489,2
0.773,0.488,2
1.501,0.487,4
1.495,0.487,4
1.494,0.486,4
1.491,0.485,4
1.496,0.485,4
1.702,0.485,4
1.492,0.485,4
1.491,0.485,4
1.492,0.485,4
1.694,0.484,4
1.689,0.483,4
1.682,0.483,4
1.675,0.482,4
1.666,0.481,4
1.656,0.48,4
0.583,0.479,2
1.635,0.478,4
1.624,0.478,4
1.613,0.478,4
1.603,0.477,4
1.593,0.477,4
1.584,0.478,4
1.575,0.477,4
1.567,0.478,4
1.559,0.478,4
1.55,0.478,4
1.541,0.479,4
1.531,0.48,4
1.521,0.48,4
1.511,0.481,4
1.316,0.482,4
1.304,0.483,4
1.296,0.484,4
1.291,0.485,4
1.283,0.486,4
1.278,0.487,4
1.273,0.488,4
1.432,0.49,4
1.422,0.491,4
1.412,0.493,4
1.402,0.494,4
1.392,0.496,1
1.382,0.498,1
1.372,0.499,1
1.361,0.501,1
1.349,0.503,1
1.336,0.506,1
1.322,0.509,1
1.308,0.513,1
1.292,0.516,1
1.275,0.521,1
1.259,0.526,1
1.241,0.531,1
1.223,0.536,1
1.205,0.541,1
1.186,0.547,1
1.168,0.553,1
1.15,0.559,1
1.131,0.565,1
1.113,0.571,1
1.094,0.578,1
1.075,0.584,1
1.056,0.591,1
1.037,0.597,1
1.018,0.604,1
0.998,0.608,1
0.979,0.615,1
0.959,0.623,1
0.94,0.631,1
0.923,0.638,1
0.904,0.645,1
0.882,0.652,2
0.864,0.658,2
0.846,0.665,2
0.827,0.671,2
0.809,0.678,2
0.792,0.684,2
0.776,0.689,2
0.767,0.69,2
0.767,0.687,2
0.769,0.686,2
0.77,0.685,2
0.77,0.685,2
0.769,0.685,2
0.769,0.684,2
0.769,0.684,2
0.769,0.683,2
0.768,0.683,2
0.768,0.682,2
0.768,0.681,2
0.769,0.68,2
0.765,0.682,2
0.763,0.684,2
0.762,0.683,2
0.761,0.681,2
0.76,0.677,2
0.759,0.676,2
0.758,0.679,2
0.757,0.679,2
0.756,0.682,2
0.755,0.689,2
0.762,0.72,2
0.769,0.783,2
0.772,0.685,2
0.758,0.779,2
0.758,0.779,2
0.758,0.776,2
0.761,0.851,2
0.764,0.713,2
0.768,0.753,2
1.566,0.749,1
1.567,0.745,1
1.568,0.711,1
1.57,0.741,1
1.572,0.74,1
1.567,0.742,1
1.56,0.724,1
1.551,0.734,1
1.54,0.726,1
1.527,0.72,1
1.513,0.714,1
1.497,0.707,1
1.481,0.7,1
1.464,0.693,1
1.447,0.686,1
1.429,0.678,1
1.411,0.671,1
1.392,0.664,1
1.374,0.656,1
1.355,0.648,1
1.335,0.644,1
1.316,0.638,1
1.297,0.63,1
1.278,0.624,1
1.262,0.617,1
1.24,0.61,1
1.223,0.604,1
1.2,0.597,1
1.18,0.587,1
1.161,0.58,1
1.141,0.574,1
1.121,0.566,1
1.102,0.562,1
1.083,0.556,1
1.065,0.549,1
1.046,0.543,1
1.028,0.537,1
1.01,0.53,1
0.992,0.524,1
0.974,0.517,1
0.956,0.512,1
0.938,0.505,1
0.69,0.498,2
0.671,0.489,2
0.619,0.483,2
0.607,0.477,2
0.593,0.473,2
0.58,0.465,2
0.568,0.462,2
0.821,0.462,2
0.824,0.458,2
0.826,0.455,2
0.825,0.454,2
0.825,0.454,2
0.825,0.453,2
0.822,0.452,2
0.507,0.452,2
0.507,0.451,2
0.507,0.451,2
0.508,0.45,2
0.508,0.45,2
0.508,0.449,2
0.508,0.448,2
0.508,0.448,2
0.512,0.447,2
0.823,0.447,2
0.823,0.446,2
0.823,0.445,2
0.823,0.443,2
0.823,0.438,2
0.824,0.44,2
0.824,0.438,2
0.829,0.436,2
0.83,0.435,2
0.829,0.433,2
0.826,0.431,2
0.826,0.428,2
0.825,0.426,2
0.825,0.423,2
0.825,0.421,2
0.828,0.419,2
0.828,0.417,2
0.829,0.416,2
0.831,0.414,2
0.826,0.411,2
0.825,0.408,2
0.824,0.405,2
0.82,0.403,2
0.82,0.4,2
0.822,0.399,2
0.821,0.397,2
0.824,0.396,2
0.824,0.395,2
0.819,0.407,2
0.813,0.399,2
0.811,0.395,2
0.81,0.393,2
0.805,0.393,2
0.808,0.396,2
0.806,0.423,2
0.809,0.431,2
0.811,0.435,2
0.904,0.403,4
0.804,0.404,2
0.803,0.405,2
0.802,0.427,2
0.802,0.431,2
0.805,0.478,2
0.802,0.477,2
0.805,0.477,2
0.805,0.479,2
0.805,0.479,2
0.808,0.478,2
0.822,0.49,2
0.825,0.937,2
3.338,0.423,4
3.335,0.424,4
3.335,0.425,4
3.335,0.422,4
3.335,0.425,4
3.335,0.422,4
3.335,0.425,4
3.335,0.425,4
3.335,0.425,4
3.334,0.427,4
2.935,0.426,4
2.923,0.431,4
3.322,0.436,4
3.316,0.443,4
3.309,0.454,4
3.301,0.463,4
3.29,0.479,4
3.281,0.761,1
3.273,0.756,1
3.267,0.751,1
3.258,0.747,1
3.25,0.746,1
3.237,0.741,1
3.22,0.735,1
3.205,0.729,1
3.189,0.723,1
3.172,0.716,1
3.16,0.713,1
3.138,0.706,1
3.082,0.71,1
0.94,0.694,1
0.94,0.694,1
3.023,0.684,1
3.001,0.682,1
2.981,0.656,1
2.965,0.646,1
2.659,0.65,1
2.641,0.634,1
2.651,0.625,1
2.885,0.623,1
2.866,0.614,1
2.581,0.613,1
2.828,0.607,1
2.549,0.599,1
2.544,0.597,1
2.505,0.593,1
2.471,0.589,1
2.466,0.589,1
2.715,0.587,1
2.696,0.585,1
2.281,0.606,1
2.261,0.598,1
2.248,0.593,1
2.63,0.584,1
2.604,0.597,1
2.585,0.574,1
2.565,0.568,1
2.546,0.559,1
2.527,0.553,1
2.508,0.547,1
2.486,0.54,1
2.468,0.534,1
2.448,0.528,1
2.432,0.52,1
2.41,0.518,1
2.394,0.525,1
2.372,0.501,1
2.353,0.497,1
2.338,0.491,4
2.316,0.481,4
2.297,0.476,4
1.914,0.471,4
1.889,0.464,4
1.877,0.463,4
2.225,0.461,4
2.209,0.46,4
2.194,0.461,4
2.18,0.458,4
2.166,0.457,4
1.877,0.515,1
1.879,0.474,4
2.13,0.471,4
2.12,0.467,4
1.838,0.46,4
1.827,0.46,4
2.09,0.464,4
2.081,0.458,4
1.84,0.458,4
1.832,0.468,4
1.791,0.567,1
1.78,0.598,1
1.776,0.537,1
1.839,0.562,1
2.025,0.578,1
2.011,3.134,3
2,0.515,1
1.987,0.489,4
1.974,0.495,1
1.96,1.434,3
1.945,1.426,3
1.93,1.422,3
1.914,1.415,3
1.897,1.413,3
1.881,1.407,3
1.865,1.406,3
1.848,1.404,3
1.831,1.402,3
1.815,1.403,3
1.798,1.398,3
1.781,1.396,3
1.764,1.397,3
1.748,1.395,3
1.732,1.393,3
1.647,1.394,3
1.631,1.406,3
1.628,1.405,3
1.612,1.39,3
1.596,1.388,3
1.557,1.387,3
1.559,1.386,3
1.581,1.387,3
1.463,0.715,1
1.458,0.709,1
1.37,0.723,1
1.367,0.724,1
1.429,0.73,1
1.417,0.798,1
1.347,0.848,1
1.332,2.171,3
1.323,2.177,3
1.312,2.185,3
1.3,2.197,3
1.284,2.208,3
1.274,2.224,3
1.261,2.233,3
1.251,2.241,3
1.242,2.252,3
1.226,2.261,3
1.213,2.267,3
1.197,0.862,1
1.182,2.282,3
1.17,0.868,1
1.158,2.295,3
1.144,2.302,3
1.133,0.819,1
1.118,0.821,1
1.103,0.824,1
1.089,0.826,1
1.074,0.828,1
1.059,0.83,1
1.042,0.828,1
1.025,0.823,1
1.007,0.797,1
0.985,0.792,1
0.967,0.795,1
0.947,0.794,1
0.928,0.797,1
0.908,0.8,1
0.889,0.804,2
0.869,0.808,2
0.849,0.812,2
0.83,0.813,2
0.811,0.817,2
0.793,0.822,2
0.78,0.824,2
0.778,0.825,2
0.784,0.823,2
0.785,0.819,2
0.786,0.819,2
0.786,0.818,2
0.786,0.817,2
0.785,0.817,2
0.785,0.816,2
0.785,0.816,2
0.785,0.815,2
0.785,0.814,2
0.784,0.813,2
0.78,0.812,2
0.78,0.811,2
0.779,0.81,2
0.779,0.808,2
0.778,0.807,2
0.777,0.805,2
0.78,0.808,2
0.779,0.813,2
0.779,0.825,2
0.779,0.817,2
0.778,0.812,2
0.776,0.808,2
0.771,0.803,2
0.77,0.803,2
0.769,0.802,2
0.768,0.828,2
0.767,0.878,2
0.769,0.863,2
0.769,0.871,2
0.769,0.82,2
0.778,0.8,2
0.803,0.792,2
0.774,0.789,2
0.767,0.788,2
0.766,0.782,2
0.769,0.791,2
0.776,0.767,2
0.831,0.761,2
0.792,0.758,2
0.854,0.755,2
0.894,0.755,2
1.182,0.752,1
0.892,0.746,2
1.346,0.743,1
1.349,0.741,1
1.349,0.737,1
1.348,0.737,1
1.346,0.741,1
1.342,0.737,1
1.34,0.74,1
1.339,0.736,1
1.338,0.735,1
1.341,0.738,1
1.337,0.738,1
1.34,0.738,1
1.336,0.738,1
1.332,0.741,1
1.325,0.74,1
1.316,0.732,1
1.305,0.742,1
1.292,0.726,1
1.278,0.72,1
1.265,0.714,1
1.248,0.708,1
1.231,0.705,1
1.213,0.698,1
1.195,0.692,1
1.176,0.702,1
1.157,0.681,1
1.138,0.68,1
1.119,0.682,1
1.1,0.722,1
0.943,0.654,1
0.923,0.65,1
0.899,0.641,2
0.881,0.669,2
0.864,0.627,2
0.847,0.623,2
0.83,0.619,2
0.816,0.613,2
0.803,0.601,2
0.818,0.589,2
0.917,0.586,1
0.92,0.586,1
0.921,0.586,1
0.921,0.586,1
0.919,0.586,1
0.917,0.585,1
0.915,0.584,1
0.913,0.584,1
0.912,0.584,1
0.911,0.584,1
0.91,0.583,1
0.908,0.583,1
0.907,0.582,1
0.906,0.582,1
0.904,0.581,1
0.902,0.581,1
0.9,0.581,2
0.899,0.581,2
0.898,0.58,2
0.897,0.58,2
0.896,0.579,2
0.895,0.579,2
0.895,0.578,2
0.895,0.578,2
0.896,0.577,2
0.896,0.576,2
0.896,0.575,2
0.896,0.574,2
0.897,0.572,2
0.897,0.57,2
0.898,0.569,2
0.899,0.567,2
0.9,0.566,2
0.899,0.564,2
0.898,0.563,2
0.897,0.56,2
0.897,0.557,2
0.896,0.555,2
0.896,0.553,2
0.896,0.551,2
0.896,0.549,2
0.896,0.548,2
0.895,0.546,2
0.894,0.544,2
0.893,0.541,2
0.892,0.538,2
0.891,0.535,2
0.891,0.533,2
0.891,0.532,2
0.894,0.53,2
0.894,0.529,2
0.892,0.53,2
0.887,0.524,2
0.886,0.526,2
0.884,0.532,2
0.882,0.531,2
0.881,0.527,2
0.88,0.527,2
0.88,0.526,2
0.879,0.526,2
0.882,0.535,2
0.881,0.914,2
1.325,0.907,3
1.761,0.902,3
0.88,0.708,2
0.879,0.699,2
0.878,0.696,2
0.878,0.697,2
0.878,0.7,2
0.878,0.695,2
0.878,0.694,2
0.881,0.693,2
0.881,0.692,2
0.887,0.691,2
0.888,0.69,2
0.891,0.692,2
0.904,0.711,1
1.744,0.541,1
1.75,0.542,1
1.753,0.867,1
1.751,0.867,1
1.745,0.551,1
1.741,0.863,1
1.732,0.567,1
1.721,0.571,1
1.707,0.583,1
0.96,0.842,1
1.677,0.835,1
0.975,0.827,1
1.642,0.819,1
1.627,0.811,1
0.948,0.802,1
0.887,0.794,2
0.923,0.714,1
0.866,0.774,2
0.873,0.768,2
0.851,0.759,2
0.837,0.751,2
0.824,0.742,2
0.817,0.735,2
1.459,0.725,1
0.863,0.722,2
1.462,0.722,1
1.462,0.723,1
1.46,0.722,1
1.459,0.721,1
1.458,0.721,1
1.457,0.72,1
1.456,0.719,1
1.454,0.719,1
1.453,0.719,1
0.921,0.718,1
0.92,0.718,1
0.914,0.717,1
0.912,0.716,1
0.913,0.714,1
1.436,0.711,1
1.428,0.707,1
1.417,0.702,1
1.407,0.697,1
1.392,0.691,1
1.376,0.685,1
1.359,0.678,1
1.341,0.67,1
1.325,0.663,1
0.819,0.656,2
1.284,0.649,1
1.264,0.641,1
1.247,0.633,1
1.225,0.625,1
1.205,0.617,1
1.187,0.61,1
1.166,0.602,1
1.149,0.595,1
1.132,0.589,1
1.115,0.582,1
1.098,0.575,1
1.078,0.568,1
1.064,0.562,1
0.733,0.555,2
0.715,0.55,2
1.01,0.543,1
0.992,0.54,1
0.689,0.53,2
0.712,0.524,2
0.692,0.516,2
0.676,0.512,2
0.651,0.515,2
0.693,0.498,2
0.712,0.496,2
0.91,0.495,1
0.907,0.495,1
0.906,0.494,4
0.905,0.494,4
0.904,0.493,4
0.9,0.491,2
0.772,0.488,2
0.766,0.486,2
0.885,0.484,2
0.878,0.482,2
0.874,0.48,2
0.866,0.478,2
0.863,0.477,2
0.86,0.476,2
0.86,0.475,2
0.859,0.474,2
0.857,0.473,2
0.856,0.472,2
0.855,0.472,2
0.852,0.471,2
0.851,0.471,2
0.848,0.469,2
0.85,0.468,2
0.846,0.466,2
0.848,0.464,2
0.851,0.461,2
0.85,0.459,2
0.853,0.457,2
1.493,0.455,4
1.492,0.453,4
1.2,0.451,4
1.199,0.449,4
1.197,0.448,4
1.196,0.448,4
1.195,0.448,4
1.195,0.448,4
1.196,0.448,4
1.195,0.448,4
1.195,0.448,4
1.194,0.448,4
1.193,0.449,4
1.191,0.449,4
1.191,0.45,4
1.19,0.451,4
1.57,0.453,4
1.206,0.454,4
1.558,0.455,4
1.549,0.456,4
1.54,0.457,4
1.534,0.459,4
1.553,0.461,4
1.54,0.463,4
1.504,0.466,4
1.493,0.468,4
1.476,0.471,4
1.467,0.474,4
1.488,0.476,4
1.463,0.479,4
1.468,0.482,4
1.459,0.485,4
1.424,0.488,4
1.414,0.491,4
1.428,0.494,4
1.418,0.498,1
1.38,0.502,1
1.37,0.505,1
1.36,0.509,1
1.347,0.513,1
1.338,0.519,1
1.325,0.525,1
1.31,0.532,1
1.295,0.54,1
1.279,0.548,1
1.297,0.556,1
1.284,0.564,1
1.27,0.574,1
1.257,0.582,1
1.374,0.591,1
1.364,0.601,1
1.351,0.61,1
1.341,0.619,1
1.329,0.628,1
1.319,0.638,1
1.31,0.647,1
1.301,0.657,1
1.292,0.666,1
1.511,0.676,1
1.495,0.685,1
1.476,0.698,1
1.451,0.705,1
1.434,0.715,1
1.419,0.724,1
0.94,0.727,1
0.917,0.73,1
0.897,0.736,2
0.878,0.743,2
0.862,0.75,2
0.846,0.757,2
0.831,0.765,2
0.816,0.769,2
0.804,0.779,2
0.795,0.783,2
0.794,0.782,2
0.799,0.78,2
0.799,0.78,2
0.799,0.783,2
0.799,0.782,2
0.803,0.786,2
1.257,0.785,1
1.257,0.788,1
1.264,0.811,1
1.273,0.807,1
1.415,0.812,1
1.275,0.817,1
1.273,0.82,1
1.4,0.828,1
1.389,0.802,1
1.223,0.806,1
1.362,0.814,1
1.19,0.827,1
1.172,0.837,1
1.156,0.85,1
1.137,0.868,1
1.122,0.875,1
1.106,0.9,1
1.086,0.899,1
1.07,0.904,3
1.052,0.904,3
1.036,0.908,3
1.018,0.908,3
1.001,0.906,3
0.983,0.91,3
0.967,0.946,3
0.954,0.988,3
0.938,0.911,3
0.922,0.909,3
0.907,0.911,3
0.892,0.912,2
0.878,0.914,2
0.861,0.919,2
0.849,0.918,2
0.837,0.92,2
0.827,0.922,2
0.825,0.921,2
0.827,0.916,2
0.829,0.914,2
0.829,0.914,2
0.829,0.914,2
0.829,0.914,2
0.828,0.913,2
0.831,0.912,2
0.831,0.911,2
0.826,0.897,2
0.825,0.897,2
0.823,0.893,2
0.821,0.888,2
0.82,1.001,2
0.819,0.904,2
0.817,0.897,2
0.816,0.499,2
0.816,0.489,2
0.815,0.484,2
0.817,0.482,2
0.858,0.483,2
0.86,0.502,2
0.818,0.837,2
0.817,0.833,2
0.817,0.482,2
0.82,0.472,2
0.827,0.469,2
0.844,0.467,2
0.917,0.468,4
0.916,0.802,1
0.925,0.799,1
1.713,0.796,1
1.713,0.795,1
1.711,0.795,1
1.705,0.795,1
1.699,0.793,1
1.689,0.789,1
1.681,0.785,1
1.668,0.481,4
1.653,0.476,4
1.636,0.478,4
1.616,0.484,4
1.603,0.487,4
1.586,0.497,1
1.571,0.507,1
1.556,0.736,1
1.552,0.731,1
1.555,0.726,1
2.482,0.72,1
2.468,0.714,1
2.453,0.709,1
2.437,0.577,1
2.421,0.571,1
2.404,0.58,1
2.386,0.598,1
2.371,0.604,1
2.352,0.616,1
2.334,0.629,1
2.315,0.642,1
2.296,0.648,1
2.277,0.641,1
2.258,0.634,1
2.24,0.626,1
2.221,0.621,1
2.002,0.616,1
1.985,0.606,1
1.965,0.601,1
1.944,0.591,1
1.924,0.585,1
1.9,0.58,1
1.88,0.571,1
1.098,0.565,1
1.076,0.558,1
1.054,0.552,1
1.032,0.545,1
1.007,0.539,1
0.991,0.534,1
0.969,0.528,1
0.95,0.518,1
0.932,0.514,1
0.913,0.505,1
0.896,0.501,2
0.878,0.495,2
0.861,0.488,2
0.843,0.481,2
0.826,0.475,2
0.81,0.472,2
1.553,0.466,4
1.542,0.458,4
1.543,0.453,4
1.545,0.453,4
1.544,0.453,4
1.542,0.453,4
1.541,0.452,4
1.541,0.452,4
1.54,0.452,4
1.541,0.452,4
1.541,0.452,4
1.54,0.452,4
1.54,0.452,4
1.54,0.452,4
1.539,0.451,4
1.537,0.451,4
0.504,0.449,2
0.503,0.447,2
0.501,0.445,2
0.5,0.442,2
0.495,0.439,2
0.497,0.437,2
0.496,0.435,2
0.496,0.433,2
0.747,0.432,2
0.744,0.432,2
0.745,0.432,2
0.742,0.431,2
0.742,0.431,2
0.742,0.427,2
0.741,0.426,2
0.741,0.425,2
0.738,0.427,2
0.738,0.426,2
0.738,0.426,2
0.741,0.426,2
0.74,0.425,2
0.743,0.424,2
1.493,0.423,4
1.496,0.422,4
1.732,0.42,4
1.731,0.418,4
1.731,0.418,4
1.731,0.418,4
1.732,0.418,4
1.731,0.418,4
1.731,0.418,4
1.731,0.418,4
1.731,0.418,4
1.731,0.418,4
1.731,0.418,4
1.729,0.418,4
1.726,0.418,4
1.721,0.417,4
1.714,0.417,4
1.707,0.416,4
1.698,0.416,4
1.689,0.416,4
1.679,0.416,4
1.668,0.416,4
1.657,0.416,4
1.647,0.416,4
1.636,0.417,4
1.411,0.418,4
1.615,0.42,4
1.604,0.421,4
1.594,0.422,4
1.584,0.423,4
1.36,0.425,4
1.348,0.426,4
1.34,0.428,4
1.331,0.429,4
1.323,0.431,4
1.314,0.433,4
1.305,0.435,4
1.298,0.437,4
1.289,0.439,4
1.285,0.441,4
1.473,0.443,4
1.463,0.445,4
1.452,0.447,4
1.442,0.449,4
1.432,0.451,4
1.422,0.453,4
1.411,0.455,4
1.401,0.458,4
1.391,0.46,4
1.381,0.462,4
1.371,0.465,4
1.362,0.467,4
1.352,0.469,4
1.343,0.472,4
1.333,0.474,4
