%%  AutoUniv Version 1 User Guide 

%%  1 About AutoUniv 
%%  AutoUniv (AU) is a tool for creating classification models and generating 
%%  classified examples. 
%%  AU was designed by 
%%  Ray J. Hickey 
%%  E: ray.j.hickey@gmail.com
%%  W: http://sites.google.com/site/autouniv
%%  AU was programmed in Win-Prolog, version 4.9 from Logic Programming 
%%  Associates and makes use of the Prolog compiler and reasoning engine. 

%%  2 Installation 
%%  AU runs under Windows. Around 2GB of memory will be sufficient. Simply 
%%  extract AU.zip. AU does not alter registry settings. 
%%  All files are in the top-level folder. AU consists of four files: au.exe, au.dll, au.ini, 
%%  au.ovl. Two sub-folders exist containing examples of models and of data sets. 
%%  In addition to this User Guide there is also a Reference Manual. 
%%  Memory settings are in au.ini. These have been set to cater for the largest 
%%  models and should not need adjusting. 

%%  3 Running AU 
%%  Run au.exe. This will start the Launcher. From here you can run the two 
%%  applications namely the model builder, Create Model, and the data generator, 
%%  Generate Data. 
%%  The following sections provide a brief description of the use of the model builder 
%%  and data generator. These should be read in conjunction with the more detailed 
%%  account of AU in the Reference Manual. 

%%  4 The model builder tool 
%%  The Build Classification Model dialog is available from the Launcher. Settings 
%%  are made for attributes, classes and rules. The order in which settings are 
%%  entered is controlled. For example, the number of relevant attributes cannot be 
%%  specified until the number of attributes overall is specified. Validity checks 
%%  operate to prevent illegitimate entries. There is also auto completion. 
%%  The Class Distribution Settings dialog is available from the Customise 
%%  Distribution button or these settings can be randomised from the Randomise 
%%  Distributions button. A total weight of 1000 must be distributed across the 
%%  classes to reflect the prominence of each class. Applying Hold to any weight will 
%%  cause it to be retained when randomisation is applied. Minimum and maximum 
%%  values for the majority class probability are set for each class. These are 
%%  expressed as integers up to 1000 subject to a minimum necessary to secure a 
%%  majority class (which is displayed). Randomisation is also available, with hold. 
%%  Selecting Zero Noise followed by randomisation will set minimum and maximum - 2 - 
%%  to 1000 for unheld classes. Illegitimate values will be notified to the user when 
%%  the Apply button is pressed. 
%%  When all build settings have been made the Apply button in the Build 
%%  Classification Model dialog is enabled. When activated, this will enable the Start
%%  button for model building. Progress in the building of the model is echoed in the 
%%  Build Log window. After completion or failure, the model may be rebuilt with or 
%%  without attribute definitions and attribute factorisation being retained. 
%%  Once built, a model may be saved which creates its .aupl, .aurules and 
%%  .auprops files. The .aupl file provides the Prolog source code definition of the 
%%  model. 
%%  A new model may now be built or drift may be applied to the existing model by 
%%  selecting Keep attribute definitions and, possibly, other keep options depending 
%%  on the type of drift required. 
%%  When the user returns to the Launcher, the current build settings are retained. 

%%  5 The data generator tool 
%%  The Generate Data Set from Model dialog is available from the Launcher. Here 
%%  a model is selected and will be compiled into the Prolog system. A file format 
%%  for the examples is selected. The three available formats are CSV, ARFF (for 
%%  WEKA) and C4.5. Examples may be generated with or without header attribute 
%%  information. The latter is useful for appending examples to existing files. 

%%  6 Modification of the .aupl file 
%%  The user can edit the .aupl file for a model in order to manually alter the model 
%%  definition. Caution should be exercised when doing this. It is the user’s 
%%  responsibility to ensure the logical integrity and syntactic correctness of any 
%%  alterations. Logical flaws will cause the data generator to crash. In this situation, 
%%  the system should be exited and restarted. Syntax errors will produce a Prolog 
%%  compiler error message. 

@relation autoUniv-au7-300-drift-au7-cpd1-800

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 {v1,v2}
@attribute V6 {v1,v2}
@attribute V7 numeric
@attribute V8 {v1,v2,v3}
@attribute V9 numeric
@attribute V10 {v1,v2,v3}
@attribute V11 numeric
@attribute V12 numeric
@attribute Class {class1,class2,class3,class4,class5}

@data
1.82,3553,0.42,2,v2,v1,4556,v3,1,v1,1.61,1,class3
1.58,3522,0.13,0,v1,v1,4549,v3,2,v1,1.79,1,class2
5.74,3505,0.4,0,v1,v1,6098,v1,0,v1,1.88,1,class3
7.65,3168,0.13,1,v2,v1,3979,v2,1,v1,0.55,1,class2
6.38,3125,0.66,2,v2,v1,4559,v3,1,v1,0.68,1,class2
6.12,3132,0.13,2,v1,v2,7337,v2,2,v2,1.69,0,class2
1.47,3613,0.52,1,v1,v1,4507,v3,0,v1,1.86,0,class3
1.55,3466,0.62,0,v1,v1,4522,v2,1,v1,0.82,1,class1
6.9,3132,0.18,1,v2,v1,4079,v1,2,v1,1.5,1,class2
8.26,3133,0.47,2,v2,v1,3605,v2,2,v1,1.36,0,class2
1.47,3487,0.63,2,v1,v1,4502,v3,2,v2,1.06,0,class3
5.58,3242,0.14,0,v2,v1,4616,v1,0,v2,0.98,1,class1
5.66,3425,0.14,0,v2,v1,3981,v2,0,v1,1.94,2,class2
1.97,3147,0.52,2,v2,v1,3178,v3,2,v1,1.87,2,class1
5.83,3389,0.45,1,v2,v1,3093,v3,1,v1,0.57,2,class2
6.8,3423,0.44,1,v2,v1,2996,v1,2,v1,0.58,2,class1
5.72,3318,0.48,0,v1,v1,7336,v3,2,v2,0.58,0,class3
7.82,3485,0.66,2,v1,v1,4472,v1,1,v1,1.98,1,class1
8.21,3249,0.34,0,v2,v1,3192,v2,0,v1,1.63,0,class3
6.9,3223,0.6,0,v2,v2,4539,v2,2,v2,1.97,1,class2
7.22,3431,0.36,0,v2,v1,3497,v1,0,v1,0.57,1,class3
1.45,3131,0.48,2,v2,v1,6154,v2,0,v1,0.6,0,class2
2.17,3571,0.28,2,v1,v1,4005,v1,0,v1,1.17,0,class3
6.36,3549,0.51,0,v1,v1,4538,v2,0,v1,1.69,0,class3
7.9,3531,0.28,0,v2,v2,6760,v3,1,v3,1.73,2,class2
5.59,3473,0.13,2,v1,v1,4565,v3,1,v1,1.08,1,class2
7.15,3140,0.4,2,v2,v1,7270,v3,2,v1,1.98,1,class3
1.44,3142,0.55,2,v2,v1,3359,v3,2,v1,0.91,2,class3
1.71,3450,0.49,0,v1,v1,5206,v2,1,v1,1.31,2,class1
5.53,3489,0.52,2,v2,v2,7272,v3,2,v3,1.65,2,class3
5.93,3479,0.56,0,v1,v1,7306,v1,0,v1,0.55,1,class1
5.5,3146,0.13,1,v2,v2,5528,v1,0,v3,1.96,0,class1
2.03,3548,0.52,1,v2,v1,4307,v3,2,v1,1.2,1,class3
5.88,3263,0.13,0,v1,v1,3361,v2,2,v1,0.87,2,class3
8.34,3118,0.49,2,v2,v1,4535,v2,2,v1,0.68,2,class3
1.61,3128,0.45,2,v2,v1,5291,v3,2,v1,0.88,1,class1
7.67,3423,0.15,0,v2,v2,3318,v3,1,v3,0.86,0,class3
7.29,3404,0.18,0,v2,v1,7278,v3,1,v1,0.58,0,class3
7.83,3133,0.18,2,v2,v2,3111,v1,1,v3,1.88,1,class1
6.9,3137,0.48,2,v2,v1,3483,v2,1,v1,1.46,2,class1
5.69,3129,0.13,2,v1,v2,3400,v1,2,v2,1.7,2,class2
1.45,3120,0.48,1,v2,v1,3341,v3,0,v1,0.88,0,class2
5.61,3140,0.46,1,v1,v1,5295,v3,0,v1,1.95,2,class2
6.24,3131,0.48,1,v2,v1,4271,v3,2,v1,1.27,1,class1
3.18,3117,0.46,1,v1,v1,4643,v1,0,v1,1.18,0,class2
2.25,3488,0.52,2,v2,v2,7229,v1,2,v3,1.96,0,class3
7,3289,0.63,0,v2,v1,3273,v1,0,v1,0.61,1,class3
5.44,3138,0.56,1,v1,v2,6268,v1,2,v3,1.77,2,class1
1.93,3119,0.64,2,v2,v1,7322,v1,2,v1,1.36,1,class3
5.73,3117,0.52,1,v2,v1,4589,v3,1,v1,0.59,1,class1
6.21,3468,0.6,0,v2,v2,4553,v1,0,v3,1.17,1,class2
1.9,3361,0.61,0,v1,v1,4085,v1,0,v1,1.65,0,class1
7.92,3120,0.14,2,v1,v1,7160,v3,2,v1,0.72,1,class1
6,3103,0.48,0,v2,v1,4575,v3,2,v1,1.45,2,class1
6.7,3443,0.43,1,v2,v1,6870,v3,0,v3,2.02,2,class1
5.57,3395,0.52,0,v1,v1,3589,v2,0,v1,1.38,1,class3
2.03,3117,0.14,2,v2,v1,6357,v1,1,v1,2.07,2,class1
5.77,3167,0.57,0,v2,v1,3207,v3,1,v1,1.8,0,class2
2.02,3496,0.48,1,v1,v1,4376,v3,2,v1,0.65,1,class3
1.49,3146,0.53,2,v1,v1,4446,v2,2,v1,1.64,1,class1
4.9,3145,0.49,2,v2,v1,3335,v3,2,v1,2.01,0,class1
6.36,3509,0.53,1,v2,v1,4476,v2,1,v1,1.52,1,class3
7.04,3470,0.63,2,v1,v1,5936,v3,1,v1,1.88,2,class1
5.86,3405,0.14,0,v2,v1,4575,v2,1,v1,1.78,1,class2
3.48,3142,0.14,2,v2,v1,4698,v3,2,v1,0.71,1,class1
2.76,3244,0.18,0,v1,v1,7225,v2,1,v1,0.61,0,class3
6.96,3140,0.49,2,v1,v1,3763,v1,1,v1,1.33,1,class3
1.5,3076,0.39,2,v1,v1,5129,v1,2,v1,0.65,1,class3
6.13,3361,0.66,0,v2,v1,7315,v1,0,v1,1.73,0,class1
1.66,3221,0.59,0,v1,v2,7255,v2,1,v2,0.83,0,class3
7.75,3139,0.53,1,v2,v1,7242,v3,0,v1,1.78,2,class2
5.58,3070,0.13,1,v2,v1,7250,v2,0,v1,1.73,2,class2
1.66,3142,0.44,2,v2,v1,3821,v1,0,v1,1.88,1,class1
3.74,3115,0.46,1,v2,v1,6889,v1,0,v1,1.13,0,class1
7.11,3603,0.44,0,v2,v2,4491,v1,2,v3,1.51,1,class2
6.35,3189,0.49,0,v2,v1,4410,v2,0,v1,1.68,1,class2
6.18,3123,0.14,2,v2,v1,3216,v1,2,v1,1.44,0,class2
5.61,3505,0.46,0,v2,v2,3245,v2,2,v3,0.58,1,class2
5.58,3180,0.51,0,v1,v2,4553,v2,0,v3,1.74,1,class3
5.54,3115,0.57,2,v2,v1,6288,v3,1,v1,1.75,1,class2
8.14,3146,0.52,1,v2,v1,7286,v2,2,v1,1.58,2,class1
7.85,3570,0.57,2,v2,v2,3218,v2,2,v3,1.85,2,class2
6.64,3142,0.53,2,v1,v1,7161,v1,0,v1,1.68,1,class1
7.39,3559,0.13,2,v1,v1,5808,v3,1,v1,0.56,1,class2
1.49,3131,0.65,2,v2,v1,3568,v1,2,v1,1.24,1,class1
7.53,3124,0.42,2,v2,v2,4500,v3,1,v3,0.57,1,class2
1.6,3138,0.37,2,v2,v1,4515,v3,0,v1,0.83,2,class3
2,3463,0.5,0,v1,v2,3932,v2,1,v3,1.65,1,class3
2.11,3549,0.46,0,v1,v1,7179,v2,2,v1,0.66,2,class3
1.5,3134,0.42,2,v1,v1,4207,v3,0,v1,1.92,2,class3
8.17,3335,0.17,0,v2,v1,3288,v2,0,v1,1.72,1,class1
1.58,3146,0.52,2,v1,v1,4837,v3,0,v2,1.27,0,class3
5.19,3184,0.47,0,v2,v1,4591,v1,0,v1,0.73,0,class3
5.79,3569,0.5,0,v2,v1,3740,v2,2,v1,1.57,1,class3
7.42,3486,0.13,0,v1,v1,5501,v2,1,v1,0.59,2,class2
1.91,3252,0.22,0,v1,v1,5691,v1,0,v1,0.56,1,class3
1.59,3478,0.48,0,v1,v1,3293,v1,2,v1,1.97,1,class2
5.98,3134,0.46,2,v1,v1,4571,v1,0,v1,0.95,0,class1
5.67,3263,0.57,0,v2,v1,3594,v1,2,v1,0.58,0,class1
1.63,3540,0.46,0,v1,v1,3795,v2,0,v1,1.67,0,class3
5.7,3603,0.47,0,v1,v1,7271,v1,2,v1,1.76,0,class3
5.14,3556,0.67,1,v1,v1,4559,v2,2,v1,0.67,1,class3
7.27,3382,0.57,0,v2,v1,7331,v3,2,v1,1.87,0,class1
1.76,3134,0.53,1,v2,v1,4470,v3,2,v1,0.55,1,class2
5.51,3409,0.13,0,v1,v1,3095,v1,0,v2,1.81,1,class1
2.16,3137,0.13,2,v1,v1,7302,v1,0,v1,1.32,1,class3
1.53,3398,0.63,1,v1,v2,7288,v2,0,v3,1.88,0,class1
5.46,3604,0.14,0,v2,v1,3123,v3,0,v1,0.94,2,class3
5.69,3147,0.52,1,v2,v1,3204,v1,1,v1,0.55,1,class1
8.26,3151,0.5,1,v2,v1,4560,v2,2,v1,1.81,1,class1
5.92,3119,0.52,2,v2,v1,7200,v2,1,v1,0.84,2,class2
6.28,3507,0.62,0,v2,v2,3116,v1,0,v1,1.61,1,class2
6.14,3149,0.43,1,v2,v2,7168,v3,2,v2,1.85,0,class1
1.55,3147,0.2,2,v2,v2,3517,v1,0,v3,1.7,1,class2
5.71,3575,0.52,2,v2,v1,4124,v1,2,v1,0.86,0,class3
2.19,3344,0.52,0,v1,v1,7241,v3,1,v1,2,1,class2
2.11,3131,0.34,1,v1,v1,3106,v2,0,v1,1.79,2,class2
6.78,3505,0.46,1,v1,v2,5264,v1,0,v3,1.93,1,class2
6,3151,0.51,2,v2,v1,4845,v3,2,v1,0.93,0,class1
1.55,3281,0.37,0,v1,v1,5255,v2,1,v1,0.57,0,class1
2.81,3132,0.42,2,v2,v1,4560,v3,0,v1,1.59,1,class3
7.77,3143,0.14,1,v1,v1,7186,v2,2,v2,1.87,1,class1
5.45,3069,0.43,1,v1,v1,4848,v1,1,v1,1.64,0,class3
6.36,3553,0.53,0,v2,v2,7204,v3,2,v3,0.6,0,class2
7.89,3589,0.6,2,v2,v1,3679,v3,2,v1,1.23,0,class1
7.81,3139,0.14,2,v2,v1,4483,v2,1,v1,2.04,1,class2
5.46,3169,0.43,0,v1,v1,3343,v1,0,v1,2.06,2,class2
5.43,3136,0.2,2,v2,v2,7277,v2,1,v3,1.66,2,class1
6.91,3120,0.14,2,v1,v2,4506,v3,2,v3,1.94,0,class1
6.24,3274,0.39,0,v1,v1,4580,v1,2,v1,1.39,1,class1
1.54,3138,0.26,0,v1,v2,5698,v2,1,v3,2.07,1,class2
1.61,3152,0.63,2,v1,v1,3038,v3,2,v1,1.19,0,class2
7.21,3125,0.59,1,v2,v1,4566,v3,1,v3,1.91,1,class2
5.3,3139,0.45,2,v2,v2,6621,v1,0,v3,1.52,2,class3
5.88,3130,0.14,2,v2,v1,6489,v2,0,v1,1.65,2,class3
6.94,3122,0.52,2,v1,v2,3930,v3,0,v3,1.94,2,class2
3.18,3372,0.14,0,v2,v1,3185,v2,2,v1,1.7,0,class2
6.66,3226,0.13,0,v2,v1,3433,v1,2,v1,1.27,2,class3
5.53,3265,0.13,2,v1,v1,4509,v2,0,v1,0.56,1,class2
7.75,3281,0.58,0,v2,v1,7349,v3,2,v1,0.56,0,class3
5.54,3120,0.37,2,v1,v1,7326,v2,0,v1,0.87,2,class1
4.35,3466,0.5,2,v2,v1,4281,v2,2,v1,2.03,0,class2
8.33,3413,0.37,0,v1,v1,7295,v2,0,v1,1.78,2,class1
5.26,3072,0.53,1,v2,v1,3097,v1,0,v1,0.99,2,class3
5.46,3124,0.51,1,v1,v1,7315,v3,1,v1,0.99,1,class2
3.32,3138,0.31,2,v1,v1,7200,v1,1,v1,1.93,1,class1
7.9,3467,0.47,2,v2,v1,3614,v2,2,v1,1.92,1,class1
1.6,3615,0.36,0,v2,v1,3796,v1,2,v1,1.65,0,class3
8.27,3340,0.19,0,v1,v1,3093,v2,0,v1,1.23,0,class3
1.43,3465,0.4,0,v2,v1,6131,v1,0,v2,0.72,2,class3
5.81,3148,0.46,0,v2,v2,4488,v3,2,v3,1.77,1,class1
5.58,3487,0.13,0,v1,v1,4117,v2,0,v1,1.2,0,class1
3.12,3576,0.48,0,v2,v1,7306,v3,0,v1,1.9,2,class1
6.47,3119,0.14,2,v1,v2,4742,v3,2,v3,1.28,2,class3
7.91,3131,0.51,2,v1,v2,7176,v2,0,v3,0.86,0,class1
6.66,3136,0.13,2,v1,v1,7292,v3,0,v1,1.56,2,class1
1.58,3625,0.42,2,v2,v1,5728,v3,1,v2,1.05,0,class2
7.91,3271,0.14,0,v1,v1,3603,v3,0,v1,1.23,2,class3
5.87,3133,0.14,1,v2,v2,4473,v2,0,v3,0.57,1,class2
8.35,3146,0.45,1,v2,v2,3097,v2,0,v3,1.56,0,class2
5.43,3148,0.43,2,v2,v1,7159,v3,0,v1,1.64,0,class1
2.97,3463,0.4,0,v2,v1,3033,v2,0,v1,1.61,2,class1
1.59,3125,0.56,2,v1,v1,7055,v2,2,v1,0.58,1,class1
1.58,3146,0.53,1,v2,v2,5438,v3,1,v2,1.91,2,class1
4.67,3125,0.47,2,v1,v1,4584,v2,2,v1,1.68,1,class3
6.93,3364,0.51,0,v2,v1,4417,v3,1,v1,0.64,0,class3
5.85,3140,0.13,2,v1,v1,4419,v1,2,v1,1.73,0,class1
7.99,3138,0.42,2,v2,v1,4507,v2,0,v2,1.58,1,class3
1.63,3123,0.62,2,v1,v1,6773,v1,0,v1,1.24,2,class2
6.8,3147,0.42,2,v1,v1,4848,v2,2,v1,2.06,0,class1
7.1,3072,0.2,1,v2,v1,3753,v3,2,v1,1.09,1,class3
6.1,3237,0.31,0,v1,v2,6319,v2,1,v3,0.75,2,class3
2.05,3148,0.53,2,v2,v1,4476,v3,2,v1,2.05,1,class1
7.55,3152,0.35,2,v2,v1,4591,v1,1,v1,1.87,1,class2
5.71,3118,0.52,1,v2,v1,7360,v1,1,v1,0.93,2,class1
1.61,3613,0.39,1,v2,v1,4494,v3,1,v1,1.8,1,class2
6.86,3122,0.59,2,v2,v1,4028,v1,0,v1,1.23,0,class1
5.66,3129,0.51,1,v1,v1,4281,v1,2,v1,2.06,2,class1
5.78,3152,0.49,1,v1,v1,3584,v2,1,v1,1.03,1,class2
5.22,3606,0.58,0,v1,v1,7292,v3,0,v1,1.06,0,class3
5.66,3135,0.2,2,v2,v1,7215,v2,1,v1,1.89,0,class2
7.75,3141,0.51,2,v2,v1,4548,v2,0,v2,1.17,0,class3
5.55,3411,0.13,0,v2,v1,6693,v2,2,v1,0.6,2,class1
2.1,3550,0.51,1,v2,v2,7312,v3,0,v3,2.01,0,class3
1.93,3505,0.46,1,v1,v1,4485,v2,1,v1,1.66,0,class3
1.97,3584,0.53,1,v2,v1,4072,v3,1,v1,0.75,1,class3
5.55,3325,0.39,0,v2,v1,7273,v3,0,v1,1.04,0,class1
1.77,3131,0.51,2,v2,v1,7320,v1,1,v1,1.22,0,class1
6.65,3528,0.63,2,v1,v1,6935,v3,2,v1,0.97,2,class3
8.09,3480,0.55,2,v2,v1,4582,v3,2,v1,0.9,0,class1
6.98,3529,0.2,0,v2,v1,6046,v3,0,v1,1.19,2,class3
8.03,3143,0.25,1,v1,v1,3910,v2,0,v1,0.58,0,class1
4.24,3517,0.53,1,v2,v1,4560,v1,2,v1,1.55,1,class3
1.58,3147,0.41,1,v1,v1,7083,v3,0,v1,0.6,1,class2
2.25,3516,0.53,0,v2,v1,4520,v3,0,v1,1.73,1,class3
4.93,3513,0.47,1,v2,v1,6393,v1,0,v1,1.9,2,class3
7.54,3401,0.49,0,v2,v2,4483,v2,2,v1,0.58,0,class3
5.58,3383,0.14,0,v2,v1,7302,v1,0,v1,1.29,2,class1
6.14,3119,0.13,2,v1,v1,4105,v1,2,v1,2.03,1,class1
5.69,3582,0.58,1,v1,v1,6977,v2,1,v1,0.57,1,class3
1.54,3123,0.57,1,v2,v2,4560,v1,0,v3,1.22,1,class3
5.64,3121,0.5,2,v2,v1,6432,v1,0,v1,0.78,2,class1
6.03,3136,0.51,2,v1,v1,4540,v1,2,v1,1.08,0,class2
1.58,3124,0.24,2,v2,v2,3930,v1,2,v3,2.05,1,class1
3.92,3126,0.14,2,v1,v1,4455,v2,1,v1,1.6,0,class1
7.6,3115,0.14,2,v2,v2,3542,v2,1,v3,0.99,0,class1
1.79,3149,0.5,2,v1,v1,5593,v3,2,v1,0.8,1,class1
4.73,3146,0.13,2,v1,v2,3115,v2,0,v3,1.9,2,class1
6.73,3337,0.29,0,v1,v2,7289,v2,2,v3,1.13,1,class3
6.99,3126,0.56,2,v2,v1,4484,v1,0,v1,0.77,2,class1
1.43,3228,0.18,0,v2,v1,6098,v3,0,v1,1.58,2,class2
1.5,3126,0.14,1,v1,v1,4755,v1,0,v1,1.86,1,class2
1.49,3120,0.16,2,v1,v1,4985,v2,1,v1,1.7,1,class1
4,3139,0.47,1,v1,v1,5725,v3,0,v1,1.81,1,class2
6.59,3149,0.14,0,v2,v1,3376,v1,2,v1,0.6,2,class1
6.69,3117,0.13,2,v2,v1,3585,v1,1,v1,0.7,0,class2
6.13,3149,0.52,1,v2,v1,3376,v2,1,v1,1.84,0,class2
4.07,3121,0.34,1,v1,v1,4538,v2,1,v1,1.38,0,class2
5.98,3465,0.51,0,v2,v1,4075,v3,0,v1,0.55,1,class1
5.1,3512,0.14,1,v2,v1,6302,v3,2,v1,1.09,0,class3
