%%  Source:
%%  
%%  The dataset was created by Angeliki Xifara (angxifara '@' gmail.com, 
%%  Civil/Structural Engineer) and was processed by Athanasios Tsanas 
%%  (tsanasthanasis '@' gmail.com, Oxford Centre for Industrial and Applied 
%%  Mathematics, University of Oxford, UK).
%%  
%%  Data Set Information:
%%  
%%  We perform energy analysis using 12 different building shapes simulated in Ecotect. 
%%  The buildings differ with respect to the glazing area, the glazing area distribution, 
%%  and the orientation, amongst other parameters. We simulate various settings as functions 
%%  of the afore-mentioned characteristics to obtain 768 building shapes. The dataset 
%%  comprises 768 samples and 8 features, aiming to predict two real valued responses. It can 
%%  also be used as a multi-class classification problem if the response is rounded to the 
%%  nearest integer.
%%  
%%  Attribute Information:
%%  
%%  The dataset contains eight attributes (or features, denoted by X1...X8) and two responses 
%%  (or outcomes, denoted by y1 and y2). The aim is to use the eight features to predict each of 
%%  the two responses. 
%%  
%%  Specifically: 
%%  X1  Relative Compactness 
%%  X2  Surface Area 
%%  X3  Wall Area 
%%  X4  Roof Area 
%%  X5  Overall Height 
%%  X6  Orientation 
%%  X7  Glazing Area 
%%  X8  Glazing Area Distribution 
%%  y1  Heating Load 

@relation energy-efficiency-y1

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute Class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37}

@data
0.71,710.5,269.5,220.5,3.5,5,0.1,4,2
0.69,735,294,220.5,3.5,2,0.1,4,2
0.69,735,294,220.5,3.5,3,0.1,4,2
0.69,735,294,220.5,3.5,4,0.1,4,2
0.69,735,294,220.5,3.5,5,0.1,4,2
0.66,759.5,318.5,220.5,3.5,2,0.1,4,2
0.66,759.5,318.5,220.5,3.5,3,0.1,4,2
0.66,759.5,318.5,220.5,3.5,4,0.1,4,2
0.66,759.5,318.5,220.5,3.5,5,0.1,4,2
0.64,784,343,220.5,3.5,2,0.1,4,6
0.64,784,343,220.5,3.5,3,0.1,4,6
0.64,784,343,220.5,3.5,4,0.1,4,6
0.64,784,343,220.5,3.5,5,0.1,4,6
0.62,808.5,367.5,220.5,3.5,2,0.1,4,4
0.62,808.5,367.5,220.5,3.5,3,0.1,4,4
0.62,808.5,367.5,220.5,3.5,4,0.1,4,4
0.62,808.5,367.5,220.5,3.5,5,0.1,4,4
0.98,514.5,294,110.25,7,2,0.1,5,14
0.98,514.5,294,110.25,7,3,0.1,5,14
0.98,514.5,294,110.25,7,4,0.1,5,14
0.98,514.5,294,110.25,7,5,0.1,5,14
0.9,563.5,318.5,122.5,7,2,0.1,5,20
0.9,563.5,318.5,122.5,7,3,0.1,5,19
0.9,563.5,318.5,122.5,7,4,0.1,5,18
0.9,563.5,318.5,122.5,7,5,0.1,5,19
0.86,588,294,147,7,2,0.1,5,17
0.86,588,294,147,7,3,0.1,5,16
0.86,588,294,147,7,4,0.1,5,15
0.86,588,294,147,7,5,0.1,5,16
0.82,612.5,318.5,147,7,2,0.1,5,14
0.82,612.5,318.5,147,7,3,0.1,5,14
0.82,612.5,318.5,147,7,4,0.1,5,13
0.82,612.5,318.5,147,7,5,0.1,5,14
0.79,637,343,147,7,2,0.1,5,27
0.79,637,343,147,7,3,0.1,5,27
0.79,637,343,147,7,4,0.1,5,27
0.79,637,343,147,7,5,0.1,5,25
0.76,661.5,416.5,122.5,7,2,0.1,5,22
0.76,661.5,416.5,122.5,7,3,0.1,5,23
0.76,661.5,416.5,122.5,7,4,0.1,5,22
0.76,661.5,416.5,122.5,7,5,0.1,5,23
0.74,686,245,220.5,3.5,2,0.1,5,1
0.74,686,245,220.5,3.5,3,0.1,5,1
0.74,686,245,220.5,3.5,4,0.1,5,1
0.74,686,245,220.5,3.5,5,0.1,5,1
0.71,710.5,269.5,220.5,3.5,2,0.1,5,2
0.71,710.5,269.5,220.5,3.5,3,0.1,5,2
0.71,710.5,269.5,220.5,3.5,4,0.1,5,2
0.71,710.5,269.5,220.5,3.5,5,0.1,5,5
0.69,735,294,220.5,3.5,2,0.1,5,2
0.69,735,294,220.5,3.5,3,0.1,5,2
0.69,735,294,220.5,3.5,4,0.1,5,2
0.69,735,294,220.5,3.5,5,0.1,5,2
0.66,759.5,318.5,220.5,3.5,2,0.1,5,2
0.66,759.5,318.5,220.5,3.5,3,0.1,5,2
0.66,759.5,318.5,220.5,3.5,4,0.1,5,2
0.66,759.5,318.5,220.5,3.5,5,0.1,5,2
0.64,784,343,220.5,3.5,2,0.1,5,6
0.64,784,343,220.5,3.5,3,0.1,5,6
0.64,784,343,220.5,3.5,4,0.1,5,6
0.64,784,343,220.5,3.5,5,0.1,5,6
0.62,808.5,367.5,220.5,3.5,2,0.1,5,4
0.62,808.5,367.5,220.5,3.5,3,0.1,5,4
0.62,808.5,367.5,220.5,3.5,4,0.1,5,4
0.62,808.5,367.5,220.5,3.5,5,0.1,5,4
0.98,514.5,294,110.25,7,2,0.25,1,18
0.98,514.5,294,110.25,7,3,0.25,1,18
0.98,514.5,294,110.25,7,4,0.25,1,18
0.98,514.5,294,110.25,7,5,0.25,1,18
0.9,563.5,318.5,122.5,7,2,0.25,1,23
0.9,563.5,318.5,122.5,7,3,0.25,1,23
0.9,563.5,318.5,122.5,7,4,0.25,1,23
0.9,563.5,318.5,122.5,7,5,0.25,1,22
0.86,588,294,147,7,2,0.25,1,20
0.86,588,294,147,7,3,0.25,1,20
0.86,588,294,147,7,4,0.25,1,20
0.86,588,294,147,7,5,0.25,1,19
0.82,612.5,318.5,147,7,2,0.25,1,17
0.82,612.5,318.5,147,7,3,0.25,1,17
0.82,612.5,318.5,147,7,4,0.25,1,17
0.82,612.5,318.5,147,7,5,0.25,1,16
0.79,637,343,147,7,2,0.25,1,29
0.79,637,343,147,7,3,0.25,1,30
0.79,637,343,147,7,4,0.25,1,30
0.79,637,343,147,7,5,0.25,1,29
0.76,661.5,416.5,122.5,7,2,0.25,1,27
0.76,661.5,416.5,122.5,7,3,0.25,1,26
0.76,661.5,416.5,122.5,7,4,0.25,1,27
0.76,661.5,416.5,122.5,7,5,0.25,1,26
0.74,686,245,220.5,3.5,2,0.25,1,3
0.74,686,245,220.5,3.5,3,0.25,1,3
0.74,686,245,220.5,3.5,4,0.25,1,3
0.74,686,245,220.5,3.5,5,0.25,1,3
0.71,710.5,269.5,220.5,3.5,2,0.25,1,4
0.71,710.5,269.5,220.5,3.5,3,0.25,1,4
0.71,710.5,269.5,220.5,3.5,4,0.25,1,4
0.71,710.5,269.5,220.5,3.5,5,0.25,1,4
0.69,735,294,220.5,3.5,2,0.25,1,4
0.69,735,294,220.5,3.5,3,0.25,1,4
0.69,735,294,220.5,3.5,4,0.25,1,4
0.69,735,294,220.5,3.5,5,0.25,1,4
0.66,759.5,318.5,220.5,3.5,2,0.25,1,4
0.66,759.5,318.5,220.5,3.5,3,0.25,1,4
0.66,759.5,318.5,220.5,3.5,4,0.25,1,4
0.66,759.5,318.5,220.5,3.5,5,0.25,1,4
0.64,784,343,220.5,3.5,2,0.25,1,9
0.64,784,343,220.5,3.5,3,0.25,1,8
0.64,784,343,220.5,3.5,4,0.25,1,9
0.64,784,343,220.5,3.5,5,0.25,1,8
0.62,808.5,367.5,220.5,3.5,2,0.25,1,6
0.62,808.5,367.5,220.5,3.5,3,0.25,1,6
0.62,808.5,367.5,220.5,3.5,4,0.25,1,6
0.62,808.5,367.5,220.5,3.5,5,0.25,1,6
0.98,514.5,294,110.25,7,2,0.25,2,19
0.98,514.5,294,110.25,7,3,0.25,2,19
0.98,514.5,294,110.25,7,4,0.25,2,18
0.98,514.5,294,110.25,7,5,0.25,2,19
0.9,563.5,318.5,122.5,7,2,0.25,2,22
0.9,563.5,318.5,122.5,7,3,0.25,2,23
0.9,563.5,318.5,122.5,7,4,0.25,2,22
0.9,563.5,318.5,122.5,7,5,0.25,2,22
0.86,588,294,147,7,2,0.25,2,19
0.86,588,294,147,7,3,0.25,2,20
0.86,588,294,147,7,4,0.25,2,19
0.86,588,294,147,7,5,0.25,2,18
0.82,612.5,318.5,147,7,2,0.25,2,16
0.82,612.5,318.5,147,7,3,0.25,2,16
0.82,612.5,318.5,147,7,4,0.25,2,15
0.82,612.5,318.5,147,7,5,0.25,2,15
0.79,637,343,147,7,2,0.25,2,29
0.79,637,343,147,7,3,0.25,2,30
0.79,637,343,147,7,4,0.25,2,30
0.79,637,343,147,7,5,0.25,2,29
0.76,661.5,416.5,122.5,7,2,0.25,2,27
0.76,661.5,416.5,122.5,7,3,0.25,2,26
0.76,661.5,416.5,122.5,7,4,0.25,2,27
0.76,661.5,416.5,122.5,7,5,0.25,2,26
0.74,686,245,220.5,3.5,2,0.25,2,3
0.74,686,245,220.5,3.5,3,0.25,2,3
0.74,686,245,220.5,3.5,4,0.25,2,3
0.74,686,245,220.5,3.5,5,0.25,2,3
0.71,710.5,269.5,220.5,3.5,2,0.25,2,3
0.71,710.5,269.5,220.5,3.5,3,0.25,2,3
0.71,710.5,269.5,220.5,3.5,4,0.25,2,3
0.71,710.5,269.5,220.5,3.5,5,0.25,2,3
0.69,735,294,220.5,3.5,2,0.25,2,4
0.69,735,294,220.5,3.5,3,0.25,2,4
0.69,735,294,220.5,3.5,4,0.25,2,4
0.69,735,294,220.5,3.5,5,0.25,2,4
0.66,759.5,318.5,220.5,3.5,2,0.25,2,4
0.66,759.5,318.5,220.5,3.5,3,0.25,2,4
0.66,759.5,318.5,220.5,3.5,4,0.25,2,4
0.66,759.5,318.5,220.5,3.5,5,0.25,2,4
0.64,784,343,220.5,3.5,2,0.25,2,8
0.64,784,343,220.5,3.5,3,0.25,2,8
0.64,784,343,220.5,3.5,4,0.25,2,8
0.64,784,343,220.5,3.5,5,0.25,2,8
0.62,808.5,367.5,220.5,3.5,2,0.25,2,5
0.62,808.5,367.5,220.5,3.5,3,0.25,2,6
0.62,808.5,367.5,220.5,3.5,4,0.25,2,6
0.62,808.5,367.5,220.5,3.5,5,0.25,2,6
0.98,514.5,294,110.25,7,2,0.25,3,19
0.98,514.5,294,110.25,7,3,0.25,3,19
0.98,514.5,294,110.25,7,4,0.25,3,18
0.98,514.5,294,110.25,7,5,0.25,3,19
0.9,563.5,318.5,122.5,7,2,0.25,3,22
0.9,563.5,318.5,122.5,7,3,0.25,3,22
0.9,563.5,318.5,122.5,7,4,0.25,3,23
0.9,563.5,318.5,122.5,7,5,0.25,3,22
0.86,588,294,147,7,2,0.25,3,18
0.86,588,294,147,7,3,0.25,3,19
0.86,588,294,147,7,4,0.25,3,19
0.86,588,294,147,7,5,0.25,3,19
0.82,612.5,318.5,147,7,2,0.25,3,15
0.82,612.5,318.5,147,7,3,0.25,3,15
0.82,612.5,318.5,147,7,4,0.25,3,15
0.82,612.5,318.5,147,7,5,0.25,3,15
0.79,637,343,147,7,2,0.25,3,29
0.79,637,343,147,7,3,0.25,3,28
0.79,637,343,147,7,4,0.25,3,30
0.79,637,343,147,7,5,0.25,3,30
0.76,661.5,416.5,122.5,7,2,0.25,3,26
0.76,661.5,416.5,122.5,7,3,0.25,3,27
0.76,661.5,416.5,122.5,7,4,0.25,3,26
0.76,661.5,416.5,122.5,7,5,0.25,3,27
0.74,686,245,220.5,3.5,2,0.25,3,3
0.74,686,245,220.5,3.5,3,0.25,3,3
0.74,686,245,220.5,3.5,4,0.25,3,3
0.74,686,245,220.5,3.5,5,0.25,3,3
0.71,710.5,269.5,220.5,3.5,2,0.25,3,3
0.71,710.5,269.5,220.5,3.5,3,0.25,3,3
0.71,710.5,269.5,220.5,3.5,4,0.25,3,3
0.71,710.5,269.5,220.5,3.5,5,0.25,3,3
0.69,735,294,220.5,3.5,2,0.25,3,3
0.69,735,294,220.5,3.5,3,0.25,3,3
0.69,735,294,220.5,3.5,4,0.25,3,3
0.69,735,294,220.5,3.5,5,0.25,3,3
0.66,759.5,318.5,220.5,3.5,2,0.25,3,4
0.66,759.5,318.5,220.5,3.5,3,0.25,3,4
0.66,759.5,318.5,220.5,3.5,4,0.25,3,4
0.66,759.5,318.5,220.5,3.5,5,0.25,3,4
0.64,784,343,220.5,3.5,2,0.25,3,8
0.64,784,343,220.5,3.5,3,0.25,3,8
0.64,784,343,220.5,3.5,4,0.25,3,8
0.64,784,343,220.5,3.5,5,0.25,3,8
0.62,808.5,367.5,220.5,3.5,2,0.25,3,5
0.62,808.5,367.5,220.5,3.5,3,0.25,3,5
0.62,808.5,367.5,220.5,3.5,4,0.25,3,5
0.62,808.5,367.5,220.5,3.5,5,0.25,3,5
0.98,514.5,294,110.25,7,2,0.25,4,19
0.98,514.5,294,110.25,7,3,0.25,4,19
0.98,514.5,294,110.25,7,4,0.25,4,18
0.98,514.5,294,110.25,7,5,0.25,4,19
0.9,563.5,318.5,122.5,7,2,0.25,4,23
0.9,563.5,318.5,122.5,7,3,0.25,4,22
0.9,563.5,318.5,122.5,7,4,0.25,4,22
0.9,563.5,318.5,122.5,7,5,0.25,4,23
0.86,588,294,147,7,2,0.25,4,19
0.86,588,294,147,7,3,0.25,4,18
0.86,588,294,147,7,4,0.25,4,19
0.86,588,294,147,7,5,0.25,4,20
0.82,612.5,318.5,147,7,2,0.25,4,16
0.82,612.5,318.5,147,7,3,0.25,4,15
0.82,612.5,318.5,147,7,4,0.25,4,15
0.82,612.5,318.5,147,7,5,0.25,4,16
0.79,637,343,147,7,2,0.25,4,30
0.79,637,343,147,7,3,0.25,4,29
0.79,637,343,147,7,4,0.25,4,28
0.79,637,343,147,7,5,0.25,4,30
0.76,661.5,416.5,122.5,7,2,0.25,4,27
0.76,661.5,416.5,122.5,7,3,0.25,4,26
0.76,661.5,416.5,122.5,7,4,0.25,4,27
0.76,661.5,416.5,122.5,7,5,0.25,4,26
0.74,686,245,220.5,3.5,2,0.25,4,3
0.74,686,245,220.5,3.5,3,0.25,4,3
0.74,686,245,220.5,3.5,4,0.25,4,3
0.74,686,245,220.5,3.5,5,0.25,4,3
0.71,710.5,269.5,220.5,3.5,2,0.25,4,3
0.71,710.5,269.5,220.5,3.5,3,0.25,4,3
0.71,710.5,269.5,220.5,3.5,4,0.25,4,3
0.71,710.5,269.5,220.5,3.5,5,0.25,4,3
0.69,735,294,220.5,3.5,2,0.25,4,4
0.69,735,294,220.5,3.5,3,0.25,4,4
0.69,735,294,220.5,3.5,4,0.25,4,4
0.69,735,294,220.5,3.5,5,0.25,4,4
0.66,759.5,318.5,220.5,3.5,2,0.25,4,4
0.66,759.5,318.5,220.5,3.5,3,0.25,4,4
