@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute Class {1,2,3,4}

@data
1.198,0.455,1.835,1.035,4
1.197,0.456,1.835,1.039,4
1.198,0.456,1.926,1.042,4
1.191,0.457,1.928,1.043,4
1.186,0.458,1.898,0.553,4
1.567,0.459,1.82,0.554,4
1.208,0.461,1.783,1.006,4
1.553,0.462,1.839,1.013,4
1.191,0.464,1.84,1.021,4
1.535,0.465,1.805,0.916,4
1.528,0.466,1.802,0.921,4
1.519,0.468,1.785,0.929,4
1.512,0.47,1.782,0.938,4
1.416,0.471,1.775,0.946,4
1.522,0.473,1.521,0.954,4
1.475,0.476,1.482,0.963,4
1.487,0.478,1.53,0.971,4
1.473,0.48,1.485,1,4
1.472,0.483,1.468,1.006,4
1.459,0.486,1.461,1.012,4
1.462,0.489,1.451,1.021,4
1.34,0.491,1.441,1.243,4
1.335,0.494,1.44,1.252,4
1.421,0.497,1.428,0.828,1
1.421,0.5,1.426,0.84,1
1.414,0.504,1.506,0.849,1
1.404,0.507,1.429,1.289,1
1.393,0.511,1.421,1.297,1
1.381,0.515,1.42,1.312,1
1.368,0.52,1.472,1.326,1
1.353,0.526,1.579,0.903,1
1.309,0.531,1.581,1.291,1
1.293,0.538,1.415,0.934,1
1.273,0.545,1.608,0.935,1
1.287,0.551,1.507,0.955,1
1.269,0.559,1.503,0.976,1
1.22,0.566,1.625,1.007,1
1.202,0.574,1.622,1.025,1
1.183,0.581,1.577,1.482,1
1.165,0.589,1.526,1.502,1
1.143,0.597,1.56,1.525,1
1.128,0.604,1.527,1.544,1
1.106,0.612,1.535,0.951,1
1.09,0.619,1.544,0.976,1
1.068,0.627,1.557,0.997,1
1.049,0.635,1.766,1.622,1
1.03,0.642,1.786,1.642,1
1.012,0.65,1.884,1.567,1
0.994,0.657,1.611,1.575,1
0.975,0.664,2.005,1.602,1
0.957,0.672,1.655,1.545,1
0.942,0.679,2.099,1.645,1
1.173,0.686,3.014,1.585,1
1.16,0.695,3.007,1.685,1
1.148,0.702,2.195,1.621,1
1.139,0.707,2.198,1.824,1
1.128,0.702,2.294,1.571,1
1.126,0.704,2.274,1.594,1
1.473,0.71,2.283,1.269,1
1.454,0.713,2.286,1.287,1
1.434,0.719,2.956,1.734,1
1.412,0.726,2.949,1.732,1
1.063,0.733,2.192,1.751,1
1.05,0.741,2.308,1.749,1
1.04,0.748,2.928,1.765,1
1.03,0.756,2.303,1.273,1
1.021,0.763,2.318,1.291,1
1.011,0.771,2.323,1.827,1
0.642,0.778,2.331,1.846,2
0.622,0.786,2.343,1.869,2
0.606,0.793,2.006,1.885,2
0.589,0.801,2.014,1.908,2
0.574,0.805,2.367,1.93,2
0.559,0.807,2.375,1.951,2
0.547,0.797,2.86,1.398,2
0.541,0.786,2.373,1.919,2
0.549,0.784,2.37,1.93,2
0.983,0.78,2.373,1.701,1
0.984,0.78,2.372,1.7,1
0.983,0.78,2.378,1.602,1
0.983,0.78,2.381,1.701,1
0.981,0.78,2.387,1.703,1
0.98,0.78,2.391,1.606,1
0.979,0.779,2.388,1.61,1
0.978,0.779,2.385,1.614,1
0.978,0.779,2.388,1.704,1
0.977,0.779,2.388,1.708,1
0.976,0.778,2.392,1.709,1
0.974,0.778,2.392,1.71,1
0.972,0.777,2.391,1.616,1
0.968,0.777,2.39,1.624,1
0.961,0.776,2.393,1.628,1
0.952,0.775,2.387,1.642,1
0.937,0.773,2.392,2.247,1
0.924,0.775,2.398,1.669,1
0.91,0.774,2.402,1.685,1
0.895,0.773,2.411,1.679,2
0.88,0.779,2.418,2.315,2
0.864,0.779,2.428,1.758,2
0.847,0.779,2.104,2.351,2
0.832,0.778,2.798,5,2
0.817,0.775,2.12,5,2
0.804,0.771,2.784,5,2
0.793,0.771,2.779,1.272,2
0.792,0.769,2.479,1.272,2
0.789,0.768,2.783,1.272,2
0.791,0.767,2.785,1.283,2
0.792,0.766,2.786,1.278,2
0.792,0.766,2.787,1.277,2
0.792,0.765,2.787,1.593,2
0.791,0.765,2.787,1.278,2
0.79,0.764,2.788,1.596,2
0.791,0.766,2.789,1.599,2
0.79,0.766,2.789,5,2
0.79,0.769,2.789,1.172,2
0.789,0.872,2.217,1.169,2
0.789,0.87,2.211,1.172,2
0.789,0.865,2.189,1.141,2
0.788,0.772,2.185,5,2
0.787,0.759,2.194,5,2
0.786,0.753,2.14,4.301,2
0.785,0.751,2.134,0.922,2
0.785,0.749,2.128,4.285,2
0.784,0.746,2.137,0.916,2
0.787,0.744,2.809,5,2
1.815,0.746,2.217,0.926,1
0.81,0.381,2.212,0.908,2
0.789,0.376,2.208,0.904,2
0.785,0.374,2.212,0.92,2
0.785,0.374,2.213,0.897,2
0.785,0.373,2.217,0.896,2
0.785,0.373,2.149,0.895,2
0.785,0.372,2.137,0.894,2
0.785,0.372,2.222,0.893,2
0.785,0.371,2.212,0.889,2
0.788,0.37,2.18,0.885,2
0.788,0.37,2.139,0.888,2
0.788,0.372,2.139,0.884,2
0.791,0.751,2.146,0.884,2
0.798,0.743,2.149,0.886,2
0.811,0.836,2.639,0.886,2
1.824,0.835,2.15,0.874,1
1.821,0.371,2.158,0.836,4
1.817,0.363,2.239,0.832,4
1.816,0.357,2.24,0.831,4
1.814,0.357,2.244,0.833,4
1.813,0.357,2.644,0.834,4
1.813,0.357,2.641,0.834,4
1.81,0.357,2.164,0.834,4
1.81,0.356,2.236,0.834,4
1.81,0.356,2.173,0.834,4
0.963,0.356,2.239,0.835,4
1.81,0.356,2.239,0.837,4
0.957,0.357,2.648,0.841,4
1.799,0.357,2.246,0.847,4
0.937,0.358,2.234,0.852,4
0.93,0.362,2.159,0.86,4
0.919,0.747,2.241,0.868,1
0.912,0.746,2.663,0.893,1
0.905,0.742,2.16,0.882,1
0.9,0.738,2.157,0.95,2
0.898,0.734,2.153,0.899,2
1.727,0.383,2.149,0.901,4
2.715,0.374,2.144,0.906,4
2.094,0.374,2.144,0.914,4
2.693,0.378,2.182,0.922,4
2.681,0.386,2.163,0.93,4
2.67,0.7,2.707,0.937,1
2.66,0.697,2.094,0.945,1
2.651,0.693,2.094,0.952,1
2.644,0.69,2.084,0.955,1
2.634,0.687,2.085,0.962,1
2.622,0.683,2.077,0.97,1
2.618,0.68,2.098,0.98,1
2.595,0.676,2.09,0.917,1
1.567,0.672,2.084,0.928,1
1.557,0.668,2.043,0.94,1
1.537,0.664,2.072,0.955,1
2.528,0.66,2.066,0.972,1
1.499,0.655,2.059,0.991,1
1.478,0.651,2.059,1.008,1
1.459,0.647,1.945,1.026,1
1.441,0.538,1.973,1.044,1
1.422,0.64,2.027,1.062,1
1.407,0.636,2.035,1.084,1
1.388,0.632,2.025,1.103,1
1.369,0.628,2.785,0.59,1
1.35,0.624,2.795,0.601,1
1.331,0.62,2.055,0.614,1
1.309,0.616,2.052,0.63,1
1.294,0.612,2.058,0.642,1
1.275,0.608,2.027,0.657,1
2.249,0.604,2.195,0.676,1
2.23,0.599,2.143,0.691,1
2.21,0.595,2.166,0.706,1
2.191,0.589,2.828,0.718,1
2.171,0.585,2.145,0.737,1
2.151,0.583,2.141,0.752,1
2.131,0.58,2.147,0.768,1
2.111,0.576,2.835,0.783,1
2.092,0.572,2.152,0.798,1
2.072,0.568,2.148,0.812,1
2.053,0.564,2.18,0.828,1
2.034,0.561,2.148,0.843,1
2.014,0.557,2.154,0.858,1
1.994,0.553,1.918,0.874,1
1.975,0.549,2.167,0.889,1
1.955,0.545,2.165,0.904,1
1.935,0.541,2.175,0.919,1
1.916,0.537,1.909,0.934,1
1.897,0.533,1.874,0.949,1
1.878,0.53,1.865,0.964,1
1.859,0.526,1.857,0.979,1
1.84,0.522,1.856,0.994,1
1.822,0.518,1.855,1.008,1
0.584,0.515,1.854,1.023,2
0.577,0.511,1.856,1.038,2
0.577,0.507,1.855,1.053,2
0.573,0.504,1.852,1.067,2
0.79,0.5,1.851,1.08,2
0.777,0.497,1.854,1.093,2
0.765,0.494,1.854,1.104,2
0.76,0.491,1.852,1.109,2
0.761,0.49,1.754,1.145,2
0.769,0.49,1.754,1.117,2
0.77,0.489,1.758,1.768,2
0.773,0.49,1.758,1.13,2
0.773,0.489,1.758,1.134,2
0.77,0.489,1.76,1.141,2
0.773,0.488,1.761,1.103,2
1.501,0.487,1.763,1.095,4
1.495,0.487,1.764,1.094,4
1.494,0.486,1.766,1.093,4
1.491,0.485,1.771,1.093,4
1.496,0.485,1.873,1.09,4
1.702,0.485,1.772,1.094,4
1.492,0.485,1.768,1.095,4
1.491,0.485,1.767,1.095,4
1.492,0.485,1.872,1.097,4
1.694,0.484,1.765,1.1,4
1.689,0.483,1.866,1.104,4
1.682,0.483,1.865,1.106,4
1.675,0.482,1.999,1.111,4
1.666,0.481,1.993,1.118,4
1.656,0.48,1.984,1.126,4
0.583,0.479,1.981,1.135,2
1.635,0.478,1.718,1.144,4
1.624,0.478,1.711,1.153,4
1.613,0.478,1.701,1.163,4
1.603,0.477,1.695,1.172,4
1.593,0.477,1.959,1.181,4
1.584,0.478,1.865,1.189,4
1.575,0.477,1.854,1.196,4
1.567,0.478,1.852,1.204,4
1.559,0.478,1.85,1.212,4
1.55,0.478,1.842,1.22,4
1.541,0.479,1.843,1.228,4
1.531,0.48,1.841,1.237,4
1.521,0.48,1.836,1.25,4
1.511,0.481,1.834,1.259,4
1.316,0.482,1.829,1.27,4
1.304,0.483,1.827,1.279,4
1.296,0.484,1.825,1.288,4
1.291,0.485,1.819,1.298,4
1.283,0.486,1.817,1.309,4
1.278,0.487,1.815,1.318,4
1.273,0.488,1.812,1.327,4
1.432,0.49,1.81,1.337,4
1.422,0.491,1.808,1.347,4
1.412,0.493,1.805,1.356,4
1.402,0.494,1.8,0.589,4
1.392,0.496,1.798,1.374,1
1.382,0.498,1.795,1.383,1
1.372,0.499,1.793,1.393,1
1.361,0.501,1.79,1.403,1
1.349,0.503,1.787,0.884,1
1.336,0.506,1.783,0.895,1
1.322,0.509,1.779,0.904,1
1.308,0.513,1.774,0.918,1
1.292,0.516,1.769,0.932,1
1.275,0.521,1.764,0.948,1
1.259,0.526,1.758,0.964,1
1.241,0.531,1.753,0.981,1
1.223,0.536,1.747,0.998,1
1.205,0.541,1.74,1.015,1
1.186,0.547,1.733,1.034,1
1.168,0.553,1.726,1.052,1
1.15,0.559,1.719,1.074,1
1.131,0.565,1.712,1.095,1
1.113,0.571,1.705,0.644,1
1.094,0.578,1.698,0.65,1
1.075,0.584,1.69,1.697,1
1.056,0.591,1.679,0.661,1
1.037,0.597,1.646,1.737,1
1.018,0.604,1.631,1.757,1
0.998,0.608,1.622,1.777,1
0.979,0.615,1.609,1.801,1
0.959,0.623,1.601,0.71,1
0.94,0.631,1.592,1.839,1
0.923,0.638,1.584,1.862,1
0.904,0.645,1.572,1.337,1
0.882,0.652,1.564,1.353,2
0.864,0.658,1.556,0.723,2
0.846,0.665,1.549,0.729,2
0.827,0.671,1.542,0.736,2
0.809,0.678,1.534,0.743,2
0.792,0.684,1.528,0.749,2
0.776,0.689,1.522,0.753,2
0.767,0.69,1.52,0.755,2
0.767,0.687,1.523,0.751,2
0.769,0.686,1.525,0.745,2
0.77,0.685,1.525,0.744,2
0.77,0.685,1.525,0.744,2
0.769,0.685,1.529,0.743,2
0.769,0.684,1.529,0.745,2
0.769,0.684,1.53,0.78,2
0.769,0.683,1.531,0.748,2
0.768,0.683,1.533,1.452,2
0.768,0.682,1.534,0.776,2
0.768,0.681,1.536,0.773,2
0.769,0.68,1.537,0.762,2
0.765,0.682,1.539,0.721,2
0.763,0.684,1.54,0.714,2
0.762,0.683,1.538,0.711,2
0.761,0.681,1.54,0.704,2
0.76,0.677,1.542,0.701,2
0.759,0.676,1.547,0.7,2
0.758,0.679,1.549,0.694,2
0.757,0.679,1.551,0.701,2
0.756,0.682,1.556,0.685,2
0.755,0.689,1.56,0.678,2
0.762,0.72,1.566,0.674,2
0.769,0.783,1.564,0.668,2
0.772,0.685,1.564,0.665,2
0.758,0.779,1.566,0.662,2
0.758,0.779,1.572,0.66,2
0.758,0.776,1.579,0.658,2
0.761,0.851,5,0.663,2
0.764,0.713,3.251,0.65,2
0.768,0.753,3.25,0.648,2
1.566,0.749,1.618,0.645,1
1.567,0.745,1.622,0.643,1
1.568,0.711,1.623,0.641,1
1.57,0.741,1.626,0.64,1
1.572,0.74,1.626,0.642,1
1.567,0.742,1.621,0.646,1
1.56,0.724,1.613,0.652,1
1.551,0.734,1.601,0.662,1
1.54,0.726,1.592,0.673,1
1.527,0.72,1.58,0.685,1
1.513,0.714,1.566,0.699,1
1.497,0.707,1.554,0.715,1
1.481,0.7,3.298,0.731,1
1.464,0.693,3.315,0.748,1
1.447,0.686,3.326,0.765,1
1.429,0.678,1.493,0.783,1
1.411,0.671,1.473,0.801,1
1.392,0.664,3.363,0.819,1
1.374,0.656,4.051,0.838,1
1.355,0.648,3.07,0.857,1
1.335,0.644,3.067,0.876,1
1.316,0.638,3.084,0.895,1
1.297,0.63,3.078,0.914,1
1.278,0.624,3.079,0.933,1
1.262,0.617,3.08,0.952,1
1.24,0.61,3.092,0.971,1
1.223,0.604,3.093,0.991,1
1.2,0.597,3.107,1.01,1
1.18,0.587,3.11,1.03,1
1.161,0.58,3.146,1.05,1
1.141,0.574,3.125,1.069,1
1.121,0.566,3.142,1.089,1
1.102,0.562,5,1.108,1
1.083,0.556,3.158,1.127,1
1.065,0.549,1.131,1.145,1
1.046,0.543,3.17,1.163,1
1.028,0.537,3.167,1.181,1
1.01,0.53,3.18,1.199,1
0.992,0.524,3.173,1.217,1
0.974,0.517,1.041,1.235,1
0.956,0.512,1.022,1.253,1
0.938,0.505,1.004,1.271,1
0.69,0.498,0.983,1.289,2
0.671,0.489,0.964,1.307,2
0.619,0.483,0.95,1.325,2
0.607,0.477,0.929,1.343,2
0.593,0.473,0.909,1.36,2
0.58,0.465,0.896,1.375,2
0.568,0.462,0.89,1.387,2
0.821,0.462,3.257,1.388,2
0.824,0.458,3.251,1.385,2
0.826,0.455,3.252,1.384,2
0.825,0.454,3.252,1.384,2
0.825,0.454,3.252,1.384,2
0.825,0.453,2.649,1.384,2
0.822,0.452,3.248,1.384,2
0.507,0.452,3.254,1.384,2
0.507,0.451,3.251,1.384,2
0.507,0.451,3.251,1.384,2
0.508,0.45,3.248,1.383,2
0.508,0.45,2.64,1.386,2
0.508,0.449,3.246,1.385,2
0.508,0.448,3.246,1.385,2
0.508,0.448,2.638,1.385,2
0.512,0.447,2.642,1.384,2
0.823,0.447,2.641,1.381,2
0.823,0.446,2.641,1.38,2
0.823,0.445,3.248,1.38,2
0.823,0.443,3.256,1.38,2
0.823,0.438,3.249,1.379,2
0.824,0.44,2.67,1.38,2
0.824,0.438,0.895,1.38,2
0.829,0.436,2.639,1.383,2
0.83,0.435,2.637,1.383,2
0.829,0.433,2.638,1.383,2
0.826,0.431,2.639,1.383,2
0.826,0.428,2.64,1.394,2
0.825,0.426,2.642,1.41,2
0.825,0.423,2.644,1.387,2
0.825,0.421,2.646,1.388,2
0.828,0.419,2.648,1.389,2
0.828,0.417,1.479,1.39,2
0.829,0.416,2.654,1.395,2
0.831,0.414,2.655,0.769,2
0.826,0.411,2.656,0.768,2
0.825,0.408,1.449,0.766,2
0.824,0.405,1.44,0.766,2
0.82,0.403,1.441,0.47,2
0.82,0.4,2.663,0.461,2
0.822,0.399,2.669,0.452,2
0.821,0.397,1.484,0.444,2
0.824,0.396,1.473,0.449,2
0.824,0.395,1.604,0.438,2
0.819,0.407,1.46,0.467,2
0.813,0.399,1.426,0.432,2
0.811,0.395,1.422,0.425,2
0.81,0.393,1.425,0.421,2
0.805,0.393,1.421,0.438,2
0.808,0.396,1.446,0.428,2
0.806,0.423,1.44,0.425,2
0.809,0.431,1.43,0.408,2
0.811,0.435,1.423,0.394,2
0.904,0.403,1.417,0.388,4
0.804,0.404,1.417,0.386,2
0.803,0.405,1.417,0.384,2
0.802,0.427,1.418,0.382,2
0.802,0.431,1.42,0.381,2
0.805,0.478,1.419,0.381,2
0.802,0.477,1.422,0.38,2
0.805,0.477,1.422,0.38,2
0.805,0.479,1.437,0.379,2
0.805,0.479,1.431,0.378,2
0.808,0.478,1.428,0.38,2
0.822,0.49,1.424,0.377,2
0.825,0.937,1.425,0.372,2
3.338,0.423,1.42,0.371,4
3.335,0.424,1.418,0.369,4
3.335,0.425,1.421,0.367,4
3.335,0.422,1.421,0.368,4
3.335,0.425,1.421,0.368,4
3.335,0.422,1.421,0.368,4
3.335,0.425,1.421,0.367,4
3.335,0.425,1.421,0.367,4
3.335,0.425,1.421,0.368,4
3.334,0.427,1.422,0.368,4
2.935,0.426,1.424,0.37,4
2.923,0.431,1.426,0.375,4
3.322,0.436,1.429,0.38,4
3.316,0.443,1.432,0.386,4
3.309,0.454,1.436,0.393,4
3.301,0.463,1.441,0.401,4
3.29,0.479,1.445,0.409,4
3.281,0.761,1.45,0.418,1
3.273,0.756,1.455,0.426,1
3.267,0.751,1.46,0.435,1
3.258,0.747,1.465,0.445,1
3.25,0.746,1.469,0.455,1
3.237,0.741,1.475,0.467,1
3.22,0.735,1.481,0.481,1
3.205,0.729,1.487,0.496,1
3.189,0.723,1.494,0.512,1
3.172,0.716,1.501,0.529,1
3.16,0.713,1.508,0.547,1
3.138,0.706,1.516,0.566,1
3.082,0.71,1.537,0.622,1
0.94,0.694,1.544,0.642,1
0.94,0.694,1.551,0.661,1
3.023,0.684,1.558,0.68,1
3.001,0.682,1.565,0.7,1
2.981,0.656,1.572,0.719,1
2.965,0.646,1.579,0.738,1
2.659,0.65,1.585,0.757,1
2.641,0.634,1.592,0.776,1
2.651,0.625,1.599,0.795,1
2.885,0.623,1.606,0.814,1
2.866,0.614,1.613,0.833,1
2.581,0.613,1.619,0.852,1
2.828,0.607,1.626,0.871,1
2.549,0.599,1.633,0.889,1
2.544,0.597,1.639,0.908,1
2.505,0.593,1.646,0.927,1
2.471,0.589,1.652,0.946,1
2.466,0.589,1.659,0.964,1
2.715,0.587,1.669,0.982,1
2.696,0.585,1.673,1.001,1
2.281,0.606,1.679,1.02,1
2.261,0.598,1.686,1.038,1
2.248,0.593,1.693,1.056,1
2.63,0.584,1.7,1.074,1
2.604,0.597,1.707,1.093,1
2.585,0.574,1.714,1.111,1
2.565,0.568,1.722,1.131,1
2.546,0.559,1.729,1.149,1
2.527,0.553,1.736,1.169,1
2.508,0.547,1.744,1.188,1
2.486,0.54,1.751,1.207,1
2.468,0.534,1.758,1.226,1
2.448,0.528,1.766,1.245,1
2.432,0.52,1.773,1.263,1
2.41,0.518,1.781,1.282,1
2.394,0.525,1.789,1.301,1
2.372,0.501,1.796,1.319,1
2.353,0.497,1.804,1.338,1
2.338,0.491,1.812,1.356,4
2.316,0.481,1.82,1.375,4
2.297,0.476,1.827,1.394,4
1.914,0.471,1.835,1.412,4
1.889,0.464,1.842,1.431,4
1.877,0.463,1.849,1.448,4
2.225,0.461,1.856,1.465,4
2.209,0.46,1.862,1.48,4
2.194,0.461,1.868,1.495,4
2.18,0.458,1.874,1.509,4
2.166,0.457,1.88,1.523,4
1.877,0.515,1.885,1.535,1
1.879,0.474,1.89,1.547,4
2.13,0.471,1.894,1.558,4
2.12,0.467,1.899,1.569,4
1.838,0.46,1.903,1.579,4
1.827,0.46,1.907,1.589,4
2.09,0.464,1.911,1.598,4
2.081,0.458,1.915,1.607,4
1.84,0.458,1.919,1.616,4
1.832,0.468,1.923,1.624,4
1.791,0.567,1.927,1.633,1
1.78,0.598,1.93,1.641,1
1.776,0.537,1.934,1.65,1
1.839,0.562,1.939,1.659,1
2.025,0.578,1.943,1.668,1
2.011,3.134,1.948,1.678,3
2,0.515,1.957,1.689,1
1.987,0.489,1.958,1.701,4
1.974,0.495,1.962,1.712,1
1.96,1.434,1.966,1.725,3
1.945,1.426,1.97,1.739,3
1.93,1.422,1.974,1.754,3
1.914,1.415,1.978,1.769,3
